
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.22      1.96      0.62      0.00      2.84    918.86      1.00
                    E0     13.11     13.51      9.16      0.01     28.93     64.73      1.07
                    H0      1.39      1.43      0.94      0.00      3.18   1469.72      1.00
                    I0      7.32      7.60      4.84      0.07     16.40     52.00      1.09
                 beta0      1.29      0.63      1.20      0.39      2.15      4.47      2.00
  confirmed_dispersion      0.16      0.03      0.15      0.12      0.20   1589.56      1.00
      death_dispersion      0.57      0.05      0.57      0.49      0.64   2311.89      1.00
            death_prob      0.02      0.00      0.02      0.02      0.03     52.12      1.00
            death_rate      0.05      0.01      0.04      0.03      0.06    236.93      1.00
           det_prob[0]      0.24      0.06      0.24      0.14      0.34    197.75      1.00
           det_prob[1]      0.23      0.07      0.22      0.13      0.34    193.99      1.00
           det_prob[2]      0.22      0.07      0.21      0.10      0.32    171.83      1.01
           det_prob[3]      0.20      0.07      0.19      0.09      0.32    148.09      1.01
           det_prob[4]      0.19      0.07      0.18      0.08      0.30    148.44      1.01
           det_prob[5]      0.18      0.07      0.17      0.07      0.29    130.45      1.01
           det_prob[6]      0.17      0.07      0.16      0.07      0.27    125.23      1.01
           det_prob[7]      0.16      0.07      0.15      0.06      0.27    123.32      1.01
           det_prob[8]      0.15      0.06      0.14      0.05      0.24    116.77      1.01
           det_prob[9]      0.15      0.06      0.13      0.05      0.23    121.36      1.01
          det_prob[10]      0.14      0.06      0.13      0.05      0.23    121.93      1.01
          det_prob[11]      0.14      0.06      0.13      0.05      0.23    112.31      1.01
          det_prob[12]      0.14      0.06      0.13      0.05      0.22    114.80      1.01
          det_prob[13]      0.14      0.06      0.13      0.06      0.22    116.87      1.01
          det_prob[14]      0.14      0.06      0.14      0.05      0.22    118.11      1.01
          det_prob[15]      0.15      0.06      0.14      0.06      0.23    116.73      1.01
          det_prob[16]      0.16      0.06      0.15      0.07      0.25    122.64      1.00
          det_prob[17]      0.16      0.06      0.16      0.07      0.25    124.92      1.00
          det_prob[18]      0.17      0.06      0.16      0.08      0.27    122.09      1.00
          det_prob[19]      0.17      0.06      0.17      0.08      0.27    124.04      1.00
          det_prob[20]      0.18      0.06      0.17      0.09      0.27    125.35      1.00
          det_prob[21]      0.18      0.06      0.17      0.09      0.27    129.92      1.00
          det_prob[22]      0.19      0.06      0.18      0.09      0.28    118.93      1.00
          det_prob[23]      0.19      0.06      0.18      0.09      0.28    119.80      1.00
          det_prob[24]      0.19      0.06      0.18      0.10      0.29    123.26      1.00
          det_prob[25]      0.20      0.06      0.19      0.10      0.30    118.65      1.00
          det_prob[26]      0.20      0.06      0.19      0.10      0.29    117.22      1.00
          det_prob[27]      0.20      0.07      0.20      0.11      0.32    112.40      1.00
          det_prob[28]      0.21      0.07      0.20      0.11      0.32    102.17      1.01
