
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.26      2.16      0.62      0.00      2.86   1212.05      1.00
                    E0     78.75     63.64     63.15      0.23    159.43    106.02      1.03
                    H0      3.27      2.76      2.59      0.00      6.95   1048.89      1.00
                    I0     13.93     17.17      8.06      0.02     34.57    583.76      1.01
                 beta0      1.82      0.84      1.69      0.54      2.96     10.42      1.42
  confirmed_dispersion      0.20      0.04      0.20      0.15      0.27   1525.35      1.00
      death_dispersion      0.58      0.05      0.58      0.50      0.67   1538.24      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     57.57      1.01
            death_rate      0.06      0.01      0.06      0.04      0.08     94.33      1.02
           det_prob[0]      0.21      0.06      0.21      0.11      0.30    210.29      1.00
           det_prob[1]      0.20      0.06      0.19      0.10      0.29    226.83      1.00
           det_prob[2]      0.18      0.06      0.17      0.08      0.27    211.85      1.01
           det_prob[3]      0.17      0.06      0.16      0.08      0.27    190.62      1.01
           det_prob[4]      0.16      0.06      0.15      0.06      0.25    185.17      1.01
           det_prob[5]      0.16      0.06      0.15      0.06      0.24    167.12      1.01
           det_prob[6]      0.16      0.06      0.15      0.07      0.24    154.93      1.01
           det_prob[7]      0.15      0.06      0.14      0.06      0.23    143.78      1.02
           det_prob[8]      0.14      0.05      0.13      0.06      0.22    148.59      1.02
           det_prob[9]      0.13      0.05      0.12      0.06      0.21    148.70      1.02
          det_prob[10]      0.12      0.05      0.12      0.05      0.19    132.79      1.02
          det_prob[11]      0.11      0.04      0.11      0.05      0.18    135.49      1.02
          det_prob[12]      0.11      0.04      0.10      0.04      0.17    133.33      1.01
          det_prob[13]      0.10      0.04      0.10      0.04      0.16    135.11      1.01
          det_prob[14]      0.10      0.04      0.10      0.04      0.15    130.35      1.01
          det_prob[15]      0.10      0.04      0.09      0.04      0.15    126.76      1.01
          det_prob[16]      0.10      0.04      0.09      0.04      0.15    133.47      1.01
          det_prob[17]      0.10      0.04      0.09      0.04      0.15    143.59      1.01
          det_prob[18]      0.10      0.04      0.09      0.04      0.15    148.00      1.01
          det_prob[19]      0.10      0.04      0.09      0.04      0.15    138.22      1.01
          det_prob[20]      0.10      0.04      0.09      0.04      0.15    141.05      1.01
          det_prob[21]      0.10      0.04      0.10      0.04      0.15    142.83      1.01
          det_prob[22]      0.10      0.04      0.10      0.04      0.15    140.45      1.01
          det_prob[23]      0.10      0.04      0.10      0.04      0.15    146.97      1.01
          det_prob[24]      0.10      0.04      0.09      0.04      0.15    149.05      1.01
          det_prob[25]      0.10      0.04      0.09      0.05      0.15    131.96      1.01
          det_prob[26]      0.10      0.04      0.10      0.05      0.16    129.09      1.01
          det_prob[27]      0.10      0.04      0.10      0.05      0.15    129.52      1.01
          det_prob[28]      0.10      0.04      0.10      0.04      0.15    125.03      1.02
          det_prob[29]      0.10      0.04      0.10      0.05      0.15    135.40      1.01
          det_prob[30]      0.10      0.04      0.10      0.04      0.15    152.04      1.01
          det_prob[31]      0.10      0.04      0.09      0.05      0.15    144.73      1.02
          det_prob[32]      0.10      0.04      0.09      0.04      0.15    170.67      1.02
          det_prob[33]      0.10      0.04      0.09      0.04      0.15    158.57      1.01
          det_prob[34]      0.10      0.04      0.09      0.04      0.15    155.42      1.01
          det_prob[35]      0.10      0.04      0.10      0.04      0.16    148.88      1.01
          det_prob[36]      0.10      0.04      0.10      0.05      0.16    149.63      1.01
          det_prob[37]      0.11      0.04      0.10      0.05      0.17    155.49      1.01
          det_prob[38]      0.11      0.04      0.10      0.05      0.17    130.83      1.01
          det_prob[39]      0.11      0.04      0.10      0.05      0.17    135.63      1.01
          det_prob[40]      0.11      0.04      0.11      0.05      0.18    158.08      1.01
          det_prob[41]      0.11      0.04      0.11      0.06      0.18    160.16      1.01
          det_prob[42]      0.12      0.04      0.11      0.05      0.18    159.67      1.01
          det_prob[43]      0.12      0.04      0.12      0.06      0.19    147.76      1.01
          det_prob[44]      0.13      0.04      0.12      0.06      0.19    133.43      1.02
          det_prob[45]      0.13      0.05      0.12      0.07      0.21    132.53      1.01
          det_prob[46]      0.14      0.05      0.13      0.07      0.22    137.19      1.01
          det_prob[47]      0.15      0.05      0.14      0.07      0.23    134.29      1.02
          det_prob[48]      0.16      0.05      0.15      0.08      0.24    123.87      1.02
          det_prob[49]      0.17      0.06      0.16      0.09      0.26    121.35      1.03
          det_prob[50]      0.18      0.06      0.18      0.09      0.27    107.25      1.02
          det_prob[51]      0.19      0.06      0.18      0.09      0.28     96.67      1.02
          det_prob[52]      0.19      0.06      0.18      0.09      0.29     96.26      1.01
          det_prob[53]      0.20      0.07      0.19      0.09      0.29    103.91      1.01
          det_prob[54]      0.20      0.07      0.19      0.09      0.30     93.70      1.01
          det_prob[55]      0.20      0.07      0.20      0.09      0.31     89.72      1.01
          det_prob[56]      0.21      0.07      0.20      0.09      0.32     84.21      1.01
          det_prob[57]      0.22      0.08      0.20      0.10      0.34     83.35      1.01
          det_prob[58]      0.22      0.08      0.21      0.09      0.34     75.55      1.01
          det_prob[59]      0.22      0.08      0.21      0.09      0.34     74.09      1.01
