
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.76      0.90      0.48      0.00      1.78   1410.29      1.00
                    E0     35.84     33.24     26.37      0.04     76.75     75.76      1.09
                    H0     13.33      6.69     12.29      2.59     23.01    372.29      1.00
                    I0     16.87     15.35     12.03      0.19     35.95     45.06      1.11
                 beta0      1.82      0.87      1.66      0.68      3.03      3.71      2.21
  confirmed_dispersion      0.13      0.02      0.13      0.10      0.16   1012.19      1.00
      death_dispersion      0.29      0.02      0.29      0.25      0.33   1571.58      1.00
            death_prob      0.02      0.00      0.02      0.02      0.02     45.78      1.00
            death_rate      0.03      0.01      0.03      0.03      0.05     74.51      1.00
           det_prob[0]      0.22      0.06      0.21      0.13      0.31    197.39      1.00
           det_prob[1]      0.20      0.06      0.20      0.10      0.30    174.39      1.00
           det_prob[2]      0.19      0.06      0.19      0.10      0.30    147.23      1.00
           det_prob[3]      0.18      0.06      0.17      0.08      0.28    135.56      1.00
           det_prob[4]      0.17      0.06      0.16      0.07      0.26    119.10      1.00
           det_prob[5]      0.16      0.06      0.15      0.07      0.25    110.54      1.01
           det_prob[6]      0.16      0.06      0.15      0.06      0.25    112.04      1.02
           det_prob[7]      0.15      0.06      0.14      0.07      0.25    115.36      1.01
           det_prob[8]      0.15      0.06      0.14      0.07      0.24    115.23      1.01
           det_prob[9]      0.15      0.05      0.14      0.07      0.23    108.10      1.01
          det_prob[10]      0.15      0.05      0.14      0.07      0.23    120.52      1.01
          det_prob[11]      0.14      0.05      0.14      0.06      0.22    127.06      1.01
          det_prob[12]      0.15      0.05      0.15      0.08      0.23    132.37      1.01
          det_prob[13]      0.16      0.05      0.15      0.07      0.23    123.53      1.00
          det_prob[14]      0.16      0.05      0.15      0.08      0.23    129.44      1.00
          det_prob[15]      0.15      0.05      0.15      0.08      0.22    146.62      1.00
          det_prob[16]      0.15      0.05      0.15      0.09      0.23    153.93      1.00
          det_prob[17]      0.15      0.05      0.14      0.08      0.22    138.31      1.00
          det_prob[18]      0.15      0.05      0.14      0.07      0.22    152.33      1.00
          det_prob[19]      0.14      0.04      0.14      0.08      0.22    170.81      1.00
          det_prob[20]      0.15      0.04      0.14      0.08      0.22    170.54      1.00
