
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.77      0.91      0.52      0.00      1.74   1348.30      1.00
                    E0      8.20      9.07      5.58      0.00     18.07    167.72      1.03
                    H0      0.83      0.81      0.60      0.00      1.85   1944.89      1.00
                    I0      4.39      5.75      2.49      0.01     10.56    256.69      1.04
                 beta0      0.99      0.48      0.91      0.29      1.67      9.34      1.53
  confirmed_dispersion      0.39      0.08      0.38      0.27      0.51   2057.88      1.00
      death_dispersion      0.33      0.11      0.33      0.16      0.50   1370.04      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     47.78      1.00
            death_rate      0.06      0.01      0.06      0.04      0.08    690.15      1.01
           det_prob[0]      0.30      0.08      0.29      0.17      0.41    136.84      1.00
           det_prob[1]      0.30      0.09      0.29      0.15      0.43    129.71      1.01
           det_prob[2]      0.30      0.10      0.29      0.14      0.45    110.38      1.01
           det_prob[3]      0.30      0.10      0.29      0.14      0.47    103.69      1.01
           det_prob[4]      0.30      0.11      0.29      0.12      0.46     96.01      1.01
           det_prob[5]      0.31      0.12      0.29      0.12      0.48     89.38      1.01
           det_prob[6]      0.31      0.12      0.29      0.12      0.48     86.70      1.01
           det_prob[7]      0.32      0.12      0.30      0.12      0.51     81.80      1.02
           det_prob[8]      0.32      0.13      0.30      0.12      0.52     79.75      1.01
           det_prob[9]      0.33      0.13      0.32      0.13      0.54     77.25      1.01
          det_prob[10]      0.34      0.14      0.33      0.13      0.54     77.03      1.01
          det_prob[11]      0.35      0.14      0.34      0.13      0.56     74.20      1.02
          det_prob[12]      0.36      0.14      0.35      0.14      0.57     70.58      1.02
          det_prob[13]      0.37      0.14      0.36      0.13      0.57     66.31      1.02
          det_prob[14]      0.38      0.14      0.37      0.15      0.59     66.03      1.02
          det_prob[15]      0.39      0.15      0.37      0.14      0.61     64.83      1.02
          det_prob[16]      0.39      0.15      0.38      0.13      0.61     64.69      1.02
          det_prob[17]      0.40      0.15      0.38      0.15      0.64     63.68      1.02
          det_prob[18]      0.40      0.15      0.38      0.16      0.64     62.91      1.02
          det_prob[19]      0.41      0.16      0.39      0.17      0.66     61.67      1.02
          det_prob[20]      0.41      0.16      0.39      0.14      0.65     61.34      1.02
          det_prob[21]      0.42      0.16      0.40      0.13      0.65     61.57      1.02
          det_prob[22]      0.43      0.16      0.40      0.16      0.68     58.67      1.02
          det_prob[23]      0.44      0.16      0.41      0.18      0.70     57.36      1.03
          det_prob[24]      0.44      0.17      0.42      0.17      0.71     57.14      1.03
