
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.71      0.76      0.49      0.00      1.65   1284.80      1.00
                    E0     19.60     20.58     13.52      0.05     44.06     34.12      1.11
                    H0      0.79      0.80      0.55      0.00      1.85   1232.57      1.00
                    I0      8.03     10.29      4.42      0.02     18.97     59.27      1.09
                 beta0      1.31      0.76      1.11      0.28      2.49      3.97      1.89
  confirmed_dispersion      0.20      0.04      0.19      0.14      0.26    543.92      1.00
      death_dispersion      0.22      0.03      0.22      0.17      0.27   1248.86      1.00
            death_prob      0.01      0.00      0.01      0.00      0.01     30.99      1.01
            death_rate      0.07      0.01      0.07      0.05      0.09    317.07      1.00
           det_prob[0]      0.24      0.06      0.24      0.15      0.35    382.84      1.00
           det_prob[1]      0.23      0.07      0.22      0.12      0.35    300.22      1.00
           det_prob[2]      0.23      0.07      0.22      0.11      0.34    262.61      1.00
           det_prob[3]      0.22      0.07      0.21      0.10      0.33    252.65      1.00
           det_prob[4]      0.22      0.08      0.21      0.10      0.34    169.77      1.00
           det_prob[5]      0.21      0.08      0.21      0.09      0.34    145.04      1.00
           det_prob[6]      0.20      0.08      0.19      0.08      0.32    158.85      1.00
           det_prob[7]      0.19      0.07      0.18      0.07      0.30    128.19      1.00
           det_prob[8]      0.18      0.07      0.17      0.06      0.28    105.92      1.00
           det_prob[9]      0.17      0.07      0.16      0.05      0.27    106.49      1.00
          det_prob[10]      0.16      0.07      0.15      0.05      0.25     95.00      1.00
          det_prob[11]      0.15      0.07      0.14      0.05      0.25     83.11      1.00
          det_prob[12]      0.15      0.07      0.14      0.04      0.24     73.97      1.00
          det_prob[13]      0.15      0.07      0.14      0.04      0.24     77.78      1.00
          det_prob[14]      0.14      0.07      0.13      0.04      0.23     79.72      1.00
          det_prob[15]      0.14      0.06      0.12      0.04      0.22     68.38      1.00
          det_prob[16]      0.14      0.06      0.12      0.05      0.23     65.67      1.00
          det_prob[17]      0.13      0.06      0.12      0.04      0.21     65.30      1.00
          det_prob[18]      0.13      0.06      0.12      0.04      0.21     61.58      1.00
          det_prob[19]      0.12      0.06      0.11      0.04      0.21     58.93      1.00
          det_prob[20]      0.12      0.06      0.11      0.03      0.20     58.62      1.00
          det_prob[21]      0.12      0.06      0.12      0.04      0.22     55.63      1.00
          det_prob[22]      0.12      0.06      0.12      0.03      0.20     56.79      1.00
          det_prob[23]      0.12      0.06      0.12      0.04      0.21     57.84      1.00
          det_prob[24]      0.12      0.06      0.11      0.04      0.20     59.33      1.00
          det_prob[25]      0.12      0.06      0.12      0.04      0.20     58.73      1.00
          det_prob[26]      0.12      0.06      0.11      0.04      0.19     60.16      1.00
          det_prob[27]      0.12      0.06      0.11      0.03      0.19     67.36      1.00
          det_prob[28]      0.12      0.05      0.11      0.04      0.19     63.61      1.00
          det_prob[29]      0.12      0.06      0.11      0.04      0.20     61.50      1.00
          det_prob[30]      0.12      0.06      0.11      0.04      0.20     61.02      1.00
          det_prob[31]      0.12      0.06      0.11      0.04      0.20     62.08      1.00
          det_prob[32]      0.12      0.06      0.12      0.04      0.20     61.82      1.00
          det_prob[33]      0.13      0.06      0.12      0.04      0.21     62.70      1.00
          det_prob[34]      0.13      0.06      0.12      0.04      0.21     59.06      1.00
          det_prob[35]      0.13      0.06      0.12      0.05      0.22     59.29      1.00
          det_prob[36]      0.14      0.06      0.13      0.05      0.22     61.27      1.00
          det_prob[37]      0.14      0.06      0.13      0.04      0.23     57.07      1.00
          det_prob[38]      0.14      0.06      0.13      0.05      0.24     55.83      1.00
          det_prob[39]      0.15      0.07      0.14      0.05      0.24     56.07      1.01
          det_prob[40]      0.15      0.07      0.14      0.05      0.25     56.18      1.00
          det_prob[41]      0.16      0.07      0.15      0.05      0.26     56.64      1.00
          det_prob[42]      0.17      0.07      0.16      0.06      0.27     53.47      1.00
          det_prob[43]      0.18      0.07      0.16      0.06      0.28     48.54      1.00
          det_prob[44]      0.18      0.08      0.18      0.08      0.31     50.87      1.00
          det_prob[45]      0.20      0.08      0.19      0.07      0.32     55.42      1.00
          det_prob[46]      0.21      0.08      0.19      0.07      0.33     54.21      1.00
          det_prob[47]      0.21      0.09      0.20      0.08      0.34     52.84      1.00
          det_prob[48]      0.21      0.09      0.20      0.07      0.33     48.48      1.00
          det_prob[49]      0.22      0.09      0.20      0.06      0.34     49.03      1.00
          det_prob[50]      0.23      0.09      0.22      0.09      0.37     46.46      1.00
          det_prob[51]      0.24      0.09      0.23      0.09      0.39     48.90      1.01
          det_prob[52]      0.24      0.09      0.23      0.08      0.37     50.27      1.01
          det_prob[53]      0.24      0.09      0.23      0.09      0.39     46.84      1.01
          det_prob[54]      0.25      0.09      0.24      0.10      0.40     46.00      1.01
          det_prob[55]      0.25      0.10      0.24      0.10      0.40     47.28      1.01
          det_prob[56]      0.25      0.10      0.24      0.11      0.42     45.97      1.01
          det_prob[57]      0.26      0.10      0.25      0.10      0.42     45.93      1.01
          det_prob[58]      0.26      0.10      0.25      0.10      0.41     48.60      1.01
          det_prob[59]      0.25      0.10      0.24      0.09      0.41     48.80      1.01
          det_prob[60]      0.25      0.10      0.23      0.09      0.41     47.91      1.02
          det_prob[61]      0.24      0.10      0.23      0.08      0.39     48.43      1.02
          det_prob[62]      0.24      0.10      0.22      0.08      0.40     47.97      1.01
          det_prob[63]      0.24      0.10      0.22      0.09      0.39     46.12      1.01
          det_prob[64]      0.23      0.10      0.22      0.08      0.40     47.73      1.01
          det_prob[65]      0.23      0.10      0.22      0.07      0.39     48.90      1.02
          det_prob[66]      0.23      0.10      0.21      0.09      0.40     51.74      1.01
          det_prob[67]      0.24      0.11      0.22      0.10      0.42     51.41      1.01
          det_prob[68]      0.25      0.11      0.23      0.08      0.41     53.16      1.01
          det_prob[69]      0.25      0.11      0.23      0.08      0.41     50.08      1.01
          det_prob[70]      0.26      0.11      0.24      0.09      0.42     46.74      1.02
          det_prob[71]      0.26      0.12      0.25      0.07      0.42     48.38      1.01
          det_prob[72]      0.27      0.12      0.25      0.09      0.44     48.61      1.01
          det_prob[73]      0.28      0.12      0.26      0.10      0.46     51.19      1.01
          det_prob[74]      0.29      0.13      0.27      0.11      0.51     50.22      1.01
          det_prob[75]      0.31      0.13      0.28      0.10      0.50     51.42      1.02
          det_prob[76]      0.33      0.14      0.31      0.11      0.54     47.60      1.02
          det_prob[77]      0.35      0.14      0.33      0.14      0.58     45.86      1.02
          det_prob[78]      0.36      0.15      0.34      0.14      0.60     49.30      1.02
          det_prob[79]      0.38      0.15      0.36      0.16      0.64     50.61      1.02
          det_prob[80]      0.40      0.16      0.38      0.15      0.64     49.82      1.02
          det_prob[81]      0.42      0.16      0.40      0.15      0.66     48.43      1.02
