
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.83      1.03      0.52      0.00      1.94   1515.69      1.00
                    E0     16.50     19.78     10.20      0.00     38.09     64.33      1.06
                    H0      2.65      1.87      2.30      0.03      5.17   1445.21      1.00
                    I0      8.04     13.79      3.91      0.00     19.64     84.81      1.07
                 beta0      1.38      0.72      1.30      0.36      2.33      5.38      1.82
  confirmed_dispersion      0.37      0.06      0.36      0.27      0.46   1331.44      1.00
      death_dispersion      0.35      0.05      0.34      0.26      0.44   1993.18      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     46.72      1.00
            death_rate      0.06      0.01      0.06      0.04      0.08    427.99      1.00
           det_prob[0]      0.21      0.06      0.21      0.11      0.31    184.73      1.00
           det_prob[1]      0.20      0.06      0.19      0.10      0.31    203.23      1.00
           det_prob[2]      0.18      0.06      0.18      0.08      0.29    169.08      1.00
           det_prob[3]      0.17      0.07      0.16      0.07      0.27    181.64      1.00
           det_prob[4]      0.16      0.07      0.15      0.06      0.25    167.28      1.00
           det_prob[5]      0.15      0.07      0.14      0.05      0.24    161.35      1.00
           det_prob[6]      0.14      0.06      0.13      0.05      0.23    151.97      1.00
           det_prob[7]      0.14      0.06      0.13      0.04      0.22    147.42      1.00
           det_prob[8]      0.13      0.06      0.12      0.04      0.21    140.16      1.01
           det_prob[9]      0.12      0.06      0.11      0.03      0.20    142.95      1.00
          det_prob[10]      0.12      0.05      0.11      0.04      0.20    141.71      1.00
          det_prob[11]      0.11      0.05      0.10      0.03      0.18    142.15      1.00
          det_prob[12]      0.11      0.05      0.10      0.03      0.17    143.75      1.00
          det_prob[13]      0.10      0.05      0.09      0.04      0.17    149.07      1.01
          det_prob[14]      0.10      0.04      0.09      0.03      0.16    148.43      1.01
          det_prob[15]      0.09      0.04      0.09      0.03      0.16    145.40      1.01
          det_prob[16]      0.09      0.04      0.08      0.03      0.14    146.70      1.01
          det_prob[17]      0.08      0.04      0.08      0.03      0.14    151.72      1.00
          det_prob[18]      0.08      0.04      0.08      0.03      0.13    150.37      1.00
          det_prob[19]      0.08      0.03      0.07      0.03      0.13    146.37      1.00
          det_prob[20]      0.08      0.03      0.07      0.03      0.13    155.51      1.00
          det_prob[21]      0.08      0.03      0.07      0.03      0.12    155.16      1.00
          det_prob[22]      0.08      0.03      0.07      0.03      0.12    145.07      1.00
          det_prob[23]      0.08      0.03      0.07      0.03      0.12    157.52      1.00
          det_prob[24]      0.08      0.03      0.07      0.03      0.11    141.06      1.00
          det_prob[25]      0.08      0.03      0.07      0.03      0.12    130.51      1.00
          det_prob[26]      0.08      0.03      0.07      0.03      0.12    122.16      1.00
          det_prob[27]      0.08      0.03      0.07      0.04      0.13    120.39      1.00
          det_prob[28]      0.08      0.03      0.07      0.03      0.12    110.30      1.01
          det_prob[29]      0.08      0.03      0.08      0.04      0.14    116.53      1.00
          det_prob[30]      0.09      0.03      0.08      0.03      0.14    130.12      1.00
          det_prob[31]      0.09      0.04      0.08      0.04      0.14    131.75      1.00
          det_prob[32]      0.10      0.04      0.09      0.04      0.15    142.61      1.01
          det_prob[33]      0.10      0.04      0.09      0.04      0.16    137.78      1.00
          det_prob[34]      0.11      0.04      0.10      0.05      0.17    127.62      1.00
          det_prob[35]      0.11      0.04      0.11      0.05      0.18    124.47      1.01
          det_prob[36]      0.12      0.05      0.11      0.06      0.20    125.93      1.01
          det_prob[37]      0.13      0.05      0.12      0.05      0.20    109.82      1.01
          det_prob[38]      0.14      0.06      0.13      0.05      0.22    112.45      1.01
          det_prob[39]      0.15      0.06      0.14      0.06      0.24    106.81      1.01
          det_prob[40]      0.16      0.06      0.16      0.07      0.26    104.92      1.01
          det_prob[41]      0.18      0.07      0.17      0.09      0.29    121.10      1.00
          det_prob[42]      0.20      0.07      0.20      0.08      0.31    109.45      1.00
          det_prob[43]      0.23      0.08      0.22      0.10      0.36    104.51      1.01
          det_prob[44]      0.25      0.09      0.24      0.11      0.39     94.09      1.01
          det_prob[45]      0.28      0.09      0.27      0.13      0.42     95.25      1.01
          det_prob[46]      0.31      0.10      0.30      0.14      0.46     89.37      1.01
          det_prob[47]      0.34      0.10      0.33      0.18      0.51     85.73      1.01
          det_prob[48]      0.37      0.11      0.36      0.19      0.54     86.80      1.01
          det_prob[49]      0.41      0.11      0.40      0.23      0.58     80.17      1.01
          det_prob[50]      0.43      0.11      0.43      0.25      0.61     77.90      1.00
          det_prob[51]      0.46      0.12      0.45      0.26      0.65     74.88      1.00
          det_prob[52]      0.48      0.12      0.48      0.28      0.68     78.32      1.00
          det_prob[53]      0.51      0.13      0.50      0.32      0.73     82.63      1.00
          det_prob[54]      0.53      0.13      0.54      0.35      0.75     80.06      1.00
          det_prob[55]      0.56      0.13      0.56      0.36      0.76     75.79      1.00
          det_prob[56]      0.58      0.12      0.58      0.40      0.80     75.27      1.00
          det_prob[57]      0.60      0.12      0.61      0.40      0.81     78.58      1.00
          det_prob[58]      0.61      0.13      0.62      0.41      0.83     78.82      1.00
          det_prob[59]      0.63      0.13      0.64      0.43      0.84     73.15      1.00
          det_prob[60]      0.64      0.13      0.65      0.44      0.85     75.82      1.00
          det_prob[61]      0.66      0.13      0.67      0.46      0.86     76.27      1.00
          det_prob[62]      0.67      0.12      0.68      0.48      0.88     74.74      1.00
          det_prob[63]      0.68      0.12      0.70      0.48      0.87     77.02      1.00
          det_prob[64]      0.69      0.12      0.71      0.49      0.89     77.00      1.00
          det_prob[65]      0.69      0.12      0.71      0.50      0.89     71.21      1.00
          det_prob[66]      0.70      0.13      0.72      0.50      0.89     73.74      1.00
          det_prob[67]      0.70      0.13      0.73      0.47      0.88     72.04      1.00
          det_prob[68]      0.71      0.13      0.73      0.49      0.89     69.58      1.00
          det_prob[69]      0.71      0.13      0.74      0.50      0.91     66.96      1.00
          det_prob[70]      0.72      0.13      0.74      0.50      0.92     67.57      1.00
          det_prob[71]      0.72      0.13      0.75      0.51      0.91     68.81      1.00
          det_prob[72]      0.73      0.13      0.75      0.52      0.93     61.34      1.01
          det_prob[73]      0.73      0.14      0.75      0.51      0.93     58.91      1.01
          det_prob[74]      0.74      0.13      0.76      0.54      0.94     55.02      1.01
          det_prob[75]      0.74      0.14      0.76      0.53      0.94     51.19      1.02
          det_prob[76]      0.74      0.14      0.77      0.53      0.96     50.03      1.01
          det_prob[77]      0.74      0.14      0.77      0.54      0.96     46.91      1.01
          det_prob[78]      0.74      0.14      0.77      0.53      0.96     44.02      1.01
          det_prob[79]      0.74      0.15      0.77      0.53      0.96     43.94      1.02
          det_prob[80]      0.74      0.15      0.77      0.52      0.96     41.43      1.02
          det_prob[81]      0.74      0.15      0.77      0.52      0.96     42.04      1.02
          det_prob[82]      0.74      0.15      0.77      0.52      0.97     41.18      1.02
          det_prob[83]      0.75      0.16      0.77      0.53      0.97     40.22      1.02
          det_prob[84]      0.75      0.15      0.78      0.52      0.97     39.71      1.02
          det_prob[85]      0.76      0.15      0.79      0.54      0.97     39.46      1.02
          det_prob[86]      0.76      0.16      0.79      0.53      0.97     37.69      1.02
          det_prob[87]      0.76      0.16      0.79      0.53      0.97     37.04      1.02
          det_prob[88]      0.76      0.16      0.79      0.53      0.98     34.92      1.03
          det_prob[89]      0.76      0.16      0.80      0.52      0.98     32.86      1.03
          det_prob[90]      0.76      0.16      0.80      0.51      0.98     32.43      1.03
          det_prob[91]      0.76      0.16      0.80      0.52      0.99     31.22      1.03
          det_prob[92]      0.77      0.16      0.80      0.52      0.98     30.32      1.03
          det_prob[93]      0.77      0.16      0.81      0.51      0.98     29.58      1.04
          det_prob[94]      0.77      0.16      0.81      0.52      0.98     28.27      1.04
          det_prob[95]      0.77      0.16      0.82      0.51      0.98     27.49      1.04
          det_prob[96]      0.78      0.16      0.83      0.51      0.99     27.67      1.04
          det_prob[97]      0.78      0.16      0.83      0.52      0.99     28.05      1.04
          det_prob[98]      0.78      0.16      0.84      0.51      0.99     27.57      1.04
          det_prob[99]      0.79      0.16      0.83      0.52      0.99     27.70      1.04
         det_prob[100]      0.79      0.16      0.84      0.52      0.99     27.40      1.05
         det_prob[101]      0.80      0.16      0.84      0.54      0.99     27.04      1.04
         det_prob[102]      0.80      0.16      0.85      0.56      0.99     26.90      1.04
         det_prob[103]      0.80      0.16      0.86      0.56      0.99     26.95      1.05
         det_prob[104]      0.81      0.15      0.86      0.57      0.99     26.89      1.05
         det_prob[105]      0.81      0.15      0.86      0.56      0.99     26.60      1.04
         det_prob[106]      0.82      0.15      0.87      0.58      0.99     26.31      1.05
         det_prob[107]      0.82      0.15      0.87      0.58      0.99     25.86      1.05
         det_prob[108]      0.82      0.15      0.87      0.60      1.00     26.17      1.05
         det_prob[109]      0.83      0.14      0.87      0.61      1.00     26.65      1.05
         det_prob[110]      0.83      0.14      0.88      0.62      1.00     27.55      1.05
         det_prob[111]      0.84      0.14      0.89      0.64      0.99     26.59      1.06
         det_prob[112]      0.84      0.14      0.89      0.64      0.99     26.53      1.05
         det_prob[113]      0.85      0.14      0.89      0.64      1.00     27.02      1.05
         det_prob[114]      0.85      0.13      0.89      0.66      1.00     26.94      1.04
         det_prob[115]      0.85      0.13      0.90      0.66      1.00     26.80      1.04
         det_prob[116]      0.86      0.13      0.90      0.66      1.00     27.39      1.04
         det_prob[117]      0.86      0.13      0.90      0.66      1.00     28.20      1.03
         det_prob[118]      0.86      0.13      0.91      0.68      1.00     29.77      1.03
         det_prob[119]      0.86      0.13      0.91      0.68      1.00     29.76      1.03
         det_prob[120]      0.87      0.13      0.91      0.68      1.00     29.88      1.03
         det_prob[121]      0.87      0.13      0.91      0.69      1.00     29.64      1.03
         det_prob[122]      0.87      0.12      0.92      0.68      1.00     29.49      1.03
         det_prob[123]      0.87      0.12      0.92      0.68      1.00     29.84      1.03
         det_prob[124]      0.88      0.12      0.92      0.70      1.00     29.71      1.03
         det_prob[125]      0.88      0.12      0.92      0.70      1.00     29.82      1.03
         det_prob[126]      0.88      0.12      0.92      0.71      1.00     30.42      1.04
         det_prob[127]      0.88      0.12      0.93      0.72      1.00     30.54      1.04
         det_prob[128]      0.88      0.12      0.93      0.71      1.00     31.13      1.03
         det_prob[129]      0.88      0.12      0.93      0.71      1.00     31.04      1.03
         det_prob[130]      0.89      0.12      0.93      0.70      1.00     32.21      1.02
         det_prob[131]      0.89      0.12      0.93      0.71      1.00     33.23      1.02
         det_prob[132]      0.89      0.12      0.94      0.72      1.00     33.36      1.02
         det_prob[133]      0.89      0.12      0.94      0.72      1.00     33.75      1.02
         det_prob[134]      0.89      0.12      0.94      0.73      1.00     33.94      1.02
         det_prob[135]      0.89      0.12      0.94      0.72      1.00     33.88      1.02
         det_prob[136]      0.89      0.12      0.94      0.71      1.00     33.56      1.02
         det_prob[137]      0.90      0.12      0.94      0.73      1.00     34.04      1.02
         det_prob[138]      0.90      0.12      0.95      0.73      1.00     34.59      1.01
         det_prob[139]      0.90      0.12      0.95      0.74      1.00     34.16      1.02
         det_prob[140]      0.90      0.12      0.95      0.74      1.00     34.45      1.02
         det_prob[141]      0.90      0.12      0.95      0.74      1.00     35.02      1.02
         det_prob[142]      0.90      0.12      0.95      0.75      1.00     34.76      1.02
         det_prob[143]      0.90      0.12      0.95      0.75      1.00     35.10      1.01
         det_prob[144]      0.90      0.12      0.96      0.74      1.00     35.38      1.01
         det_prob[145]      0.91      0.12      0.95      0.74      1.00     36.15      1.01
         det_prob[146]      0.91      0.11      0.96      0.75      1.00     36.88      1.01
         det_prob[147]      0.91      0.11      0.96      0.75      1.00     37.56      1.01
         det_prob[148]      0.91      0.11      0.96      0.76      1.00     37.30      1.01
         det_prob[149]      0.91      0.11      0.96      0.76      1.00     38.16      1.01
         det_prob[150]      0.91      0.11      0.96      0.76      1.00     38.63      1.01
         det_prob[151]      0.92      0.11      0.96      0.76      1.00     38.80      1.01
         det_prob[152]      0.92      0.11      0.96      0.77      1.00     38.50      1.01
         det_prob[153]      0.92      0.11      0.96      0.77      1.00     39.09      1.02
         det_prob[154]      0.92      0.10      0.96      0.78      1.00     39.58      1.02
         det_prob[155]      0.92      0.10      0.96      0.78      1.00     41.09      1.01
         det_prob[156]      0.92      0.10      0.96      0.78      1.00     41.63      1.01
         det_prob[157]      0.92      0.10      0.96      0.79      1.00     41.52      1.01
         det_prob[158]      0.92      0.10      0.96      0.79      1.00     41.87      1.01
         det_prob[159]      0.92      0.10      0.97      0.79      1.00     41.22      1.01
         det_prob[160]      0.92      0.10      0.97      0.79      1.00     40.26      1.01
         det_prob[161]      0.92      0.10      0.97      0.80      1.00     41.35      1.01
         det_prob[162]      0.92      0.10      0.97      0.79      1.00     41.04      1.01
         det_prob[163]      0.92      0.10      0.97      0.80      1.00     40.95      1.01
         det_prob[164]      0.92      0.10      0.97      0.80      1.00     41.24      1.02
         det_prob[165]      0.92      0.10      0.97      0.80      1.00     40.50      1.02
