
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.60      0.63      0.41      0.00      1.39   1460.39      1.00
                    E0     21.88     19.11     17.03      0.02     46.27     55.32      1.07
                    H0      1.44      1.31      1.07      0.00      3.25   1217.87      1.00
                    I0      6.37      6.92      4.10      0.01     14.56    158.97      1.06
                 beta0      1.61      0.71      1.58      0.50      2.59      4.39      1.90
  confirmed_dispersion      0.11      0.01      0.11      0.10      0.12   1647.31      1.00
      death_dispersion      0.12      0.01      0.11      0.10      0.13   1422.48      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     57.46      1.00
            death_rate      0.05      0.01      0.05      0.04      0.06     44.16      1.09
           det_prob[0]      0.25      0.06      0.24      0.15      0.35    197.15      1.00
           det_prob[1]      0.24      0.07      0.23      0.13      0.34    163.64      1.01
           det_prob[2]      0.23      0.07      0.22      0.11      0.33    138.90      1.01
           det_prob[3]      0.22      0.07      0.20      0.10      0.33    123.81      1.01
           det_prob[4]      0.21      0.08      0.20      0.09      0.32    111.38      1.02
           det_prob[5]      0.20      0.08      0.19      0.09      0.32    106.29      1.02
           det_prob[6]      0.20      0.08      0.19      0.07      0.31    101.88      1.03
           det_prob[7]      0.20      0.08      0.19      0.09      0.32    101.88      1.03
           det_prob[8]      0.20      0.07      0.19      0.09      0.31    103.00      1.03
           det_prob[9]      0.19      0.07      0.18      0.09      0.31     96.01      1.03
          det_prob[10]      0.18      0.07      0.17      0.08      0.29    101.79      1.03
          det_prob[11]      0.18      0.07      0.16      0.07      0.28    103.09      1.03
          det_prob[12]      0.17      0.07      0.16      0.08      0.27     95.38      1.03
          det_prob[13]      0.17      0.06      0.16      0.07      0.26     91.35      1.04
          det_prob[14]      0.16      0.06      0.15      0.07      0.25     91.22      1.03
          det_prob[15]      0.16      0.06      0.15      0.07      0.24     98.07      1.03
          det_prob[16]      0.15      0.05      0.14      0.07      0.23    100.95      1.03
          det_prob[17]      0.14      0.05      0.13      0.06      0.21     95.86      1.03
          det_prob[18]      0.13      0.05      0.12      0.05      0.19     97.39      1.03
          det_prob[19]      0.12      0.04      0.11      0.05      0.18    103.55      1.02
          det_prob[20]      0.12      0.04      0.11      0.06      0.17    105.63      1.03
          det_prob[21]      0.12      0.04      0.11      0.06      0.18    103.13      1.03
          det_prob[22]      0.11      0.04      0.11      0.06      0.16    104.68      1.02
