
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.76      0.85      0.48      0.00      1.78   1055.99      1.00
                    E0     10.76     13.61      6.01      0.00     26.07     41.70      1.12
                    H0      0.93      0.96      0.62      0.00      2.20   1459.63      1.00
                    I0      5.12      7.41      2.62      0.01     12.68     43.86      1.10
                 beta0      1.38      0.80      1.14      0.27      2.51      4.60      2.03
  confirmed_dispersion      0.26      0.05      0.26      0.18      0.35   1006.53      1.00
      death_dispersion      0.23      0.08      0.22      0.10      0.35   1164.38      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     40.52      1.00
            death_rate      0.05      0.01      0.05      0.03      0.07    359.16      1.02
           det_prob[0]      0.25      0.07      0.25      0.14      0.36    354.96      1.00
           det_prob[1]      0.24      0.07      0.23      0.12      0.36    293.79      1.00
           det_prob[2]      0.24      0.08      0.23      0.13      0.37    268.39      1.00
           det_prob[3]      0.23      0.08      0.22      0.11      0.36    247.53      1.00
           det_prob[4]      0.22      0.08      0.22      0.10      0.35    205.12      1.00
           det_prob[5]      0.22      0.08      0.21      0.09      0.35    183.75      1.00
           det_prob[6]      0.22      0.09      0.21      0.08      0.35    190.27      1.00
           det_prob[7]      0.22      0.09      0.21      0.09      0.36    193.46      1.00
           det_prob[8]      0.23      0.09      0.21      0.08      0.36    176.49      1.00
           det_prob[9]      0.23      0.09      0.21      0.08      0.37    191.78      1.00
          det_prob[10]      0.22      0.09      0.21      0.09      0.37    168.51      1.01
          det_prob[11]      0.22      0.09      0.20      0.08      0.35    152.80      1.01
          det_prob[12]      0.21      0.09      0.20      0.07      0.34    146.84      1.01
          det_prob[13]      0.21      0.09      0.20      0.07      0.35    133.64      1.01
          det_prob[14]      0.21      0.09      0.19      0.06      0.33    124.32      1.01
          det_prob[15]      0.20      0.09      0.18      0.07      0.33    111.48      1.01
          det_prob[16]      0.19      0.08      0.18      0.05      0.30    116.06      1.01
          det_prob[17]      0.18      0.08      0.17      0.05      0.30    109.99      1.01
          det_prob[18]      0.18      0.08      0.16      0.06      0.29    111.38      1.01
          det_prob[19]      0.17      0.08      0.16      0.05      0.28    102.22      1.01
          det_prob[20]      0.16      0.07      0.15      0.06      0.29     98.00      1.01
          det_prob[21]      0.16      0.07      0.15      0.04      0.27     91.09      1.00
          det_prob[22]      0.16      0.07      0.15      0.05      0.26     92.87      1.01
          det_prob[23]      0.16      0.07      0.15      0.05      0.27     89.02      1.01
          det_prob[24]      0.16      0.07      0.15      0.05      0.26     88.41      1.00
          det_prob[25]      0.15      0.07      0.14      0.05      0.26     84.50      1.00
          det_prob[26]      0.15      0.07      0.14      0.04      0.25     82.84      1.00
          det_prob[27]      0.15      0.07      0.14      0.05      0.26     84.16      1.00
          det_prob[28]      0.16      0.07      0.15      0.05      0.26     85.10      1.00
          det_prob[29]      0.16      0.07      0.15      0.05      0.27     80.55      1.00
          det_prob[30]      0.15      0.07      0.14      0.04      0.25     84.77      1.00
          det_prob[31]      0.15      0.07      0.14      0.05      0.25     80.37      1.00
          det_prob[32]      0.15      0.07      0.14      0.04      0.26     77.16      1.00
          det_prob[33]      0.15      0.08      0.14      0.04      0.26     79.09      1.00
          det_prob[34]      0.16      0.08      0.14      0.04      0.26     75.16      1.00
          det_prob[35]      0.16      0.08      0.15      0.05      0.27     74.55      1.00
          det_prob[36]      0.17      0.08      0.16      0.05      0.29     72.40      1.00
          det_prob[37]      0.18      0.09      0.16      0.06      0.31     71.63      1.00
          det_prob[38]      0.19      0.09      0.18      0.07      0.33     68.06      1.00
          det_prob[39]      0.21      0.09      0.19      0.07      0.35     66.68      1.00
          det_prob[40]      0.21      0.10      0.20      0.07      0.36     68.75      1.00
          det_prob[41]      0.22      0.10      0.20      0.07      0.36     66.74      1.00
          det_prob[42]      0.22      0.10      0.21      0.07      0.37     63.36      1.00
          det_prob[43]      0.23      0.11      0.21      0.07      0.38     62.49      1.00
          det_prob[44]      0.23      0.11      0.21      0.08      0.41     61.64      1.00
          det_prob[45]      0.24      0.12      0.21      0.08      0.42     57.33      1.00
