
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.90      1.33      0.54      0.00      2.07   1113.40      1.00
                    E0     11.74     14.56      7.19      0.01     28.82    267.34      1.04
                    H0      2.45      1.83      2.08      0.00      4.76   1587.69      1.00
                    I0      4.30      5.36      2.23      0.01     11.11    103.31      1.08
                 beta0      2.10      0.99      1.91      0.74      3.54      9.69      1.55
  confirmed_dispersion      0.37      0.06      0.36      0.27      0.46   1343.30      1.00
      death_dispersion      0.40      0.04      0.40      0.34      0.46   1804.71      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     53.77      1.00
            death_rate      0.06      0.01      0.06      0.05      0.07    111.45      1.01
           det_prob[0]      0.21      0.06      0.21      0.11      0.30    207.65      1.00
           det_prob[1]      0.20      0.06      0.19      0.09      0.28    183.65      1.00
           det_prob[2]      0.18      0.06      0.17      0.08      0.27    147.11      1.00
           det_prob[3]      0.17      0.06      0.16      0.07      0.26    140.10      1.00
           det_prob[4]      0.16      0.06      0.15      0.06      0.24    130.95      1.00
           det_prob[5]      0.15      0.06      0.14      0.05      0.23    127.04      1.00
           det_prob[6]      0.14      0.06      0.13      0.05      0.23    122.26      1.00
           det_prob[7]      0.13      0.06      0.12      0.05      0.21    125.62      1.00
           det_prob[8]      0.13      0.05      0.12      0.05      0.21    123.86      1.00
           det_prob[9]      0.12      0.05      0.11      0.05      0.20    120.53      1.00
          det_prob[10]      0.11      0.05      0.10      0.03      0.17    120.72      1.00
          det_prob[11]      0.11      0.04      0.10      0.04      0.17    115.55      1.00
          det_prob[12]      0.10      0.04      0.09      0.04      0.16    115.50      1.00
          det_prob[13]      0.09      0.04      0.09      0.03      0.15    117.71      1.00
          det_prob[14]      0.09      0.04      0.08      0.03      0.14    123.37      1.00
          det_prob[15]      0.09      0.03      0.08      0.04      0.14    126.98      1.00
          det_prob[16]      0.08      0.03      0.08      0.03      0.13    134.96      1.00
          det_prob[17]      0.08      0.03      0.07      0.03      0.13    134.62      1.00
          det_prob[18]      0.08      0.03      0.07      0.03      0.13    138.02      1.00
          det_prob[19]      0.07      0.03      0.07      0.03      0.12    142.30      1.00
          det_prob[20]      0.07      0.03      0.07      0.03      0.12    141.89      1.00
          det_prob[21]      0.07      0.03      0.07      0.03      0.11    144.25      1.00
          det_prob[22]      0.07      0.03      0.07      0.03      0.11    137.75      1.00
          det_prob[23]      0.07      0.03      0.07      0.03      0.12    135.11      1.00
          det_prob[24]      0.08      0.03      0.07      0.03      0.12    128.70      1.00
          det_prob[25]      0.08      0.03      0.07      0.03      0.12    129.11      1.00
          det_prob[26]      0.08      0.03      0.07      0.04      0.13    128.27      1.00
          det_prob[27]      0.08      0.03      0.08      0.04      0.13    118.32      1.00
          det_prob[28]      0.09      0.03      0.08      0.04      0.13    120.16      1.01
          det_prob[29]      0.09      0.04      0.08      0.04      0.14    117.08      1.01
          det_prob[30]      0.09      0.04      0.08      0.04      0.14    127.20      1.01
          det_prob[31]      0.09      0.04      0.09      0.04      0.15    130.80      1.01
          det_prob[32]      0.10      0.04      0.09      0.04      0.16    126.22      1.01
          det_prob[33]      0.10      0.04      0.09      0.04      0.16    123.57      1.01
          det_prob[34]      0.10      0.04      0.10      0.04      0.16    121.07      1.01
          det_prob[35]      0.11      0.04      0.10      0.04      0.16    122.76      1.01
          det_prob[36]      0.11      0.04      0.10      0.05      0.17    121.68      1.01
          det_prob[37]      0.11      0.04      0.10      0.05      0.17    123.51      1.01
          det_prob[38]      0.12      0.05      0.11      0.05      0.19    106.57      1.01
          det_prob[39]      0.13      0.05      0.12      0.05      0.19    102.06      1.01
          det_prob[40]      0.13      0.05      0.12      0.05      0.20    104.07      1.01
          det_prob[41]      0.14      0.05      0.13      0.06      0.21    103.77      1.01
          det_prob[42]      0.14      0.06      0.14      0.06      0.23    103.00      1.00
          det_prob[43]      0.15      0.06      0.14      0.07      0.24     95.89      1.01
          det_prob[44]      0.16      0.06      0.15      0.07      0.25     91.71      1.01
          det_prob[45]      0.17      0.07      0.16      0.06      0.26     84.76      1.01
          det_prob[46]      0.18      0.07      0.17      0.06      0.28     83.36      1.01
          det_prob[47]      0.20      0.07      0.18      0.07      0.30     78.88      1.01
          det_prob[48]      0.21      0.08      0.20      0.09      0.33     74.99      1.01
          det_prob[49]      0.23      0.09      0.22      0.10      0.36     69.36      1.01
          det_prob[50]      0.24      0.09      0.23      0.11      0.39     66.01      1.01
          det_prob[51]      0.25      0.10      0.24      0.10      0.39     59.25      1.01
          det_prob[52]      0.27      0.10      0.25      0.12      0.43     59.94      1.00
          det_prob[53]      0.28      0.11      0.26      0.11      0.44     62.20      1.00
          det_prob[54]      0.30      0.11      0.28      0.12      0.47     61.05      1.00
          det_prob[55]      0.32      0.12      0.30      0.13      0.50     53.99      1.00
          det_prob[56]      0.33      0.12      0.32      0.12      0.50     52.80      1.00
          det_prob[57]      0.34      0.13      0.33      0.14      0.54     52.45      1.00
          det_prob[58]      0.35      0.13      0.34      0.14      0.55     54.26      1.00
          det_prob[59]      0.36      0.14      0.34      0.12      0.55     51.48      1.00
          det_prob[60]      0.37      0.14      0.35      0.15      0.59     49.85      1.00
          det_prob[61]      0.38      0.14      0.36      0.15      0.61     51.84      1.00
          det_prob[62]      0.40      0.15      0.38      0.14      0.61     53.17      1.00
          det_prob[63]      0.41      0.15      0.40      0.17      0.64     52.19      1.00
          det_prob[64]      0.42      0.15      0.42      0.18      0.66     51.90      1.00
          det_prob[65]      0.44      0.15      0.43      0.19      0.67     48.50      1.00
          det_prob[66]      0.45      0.15      0.45      0.21      0.69     49.57      1.00
          det_prob[67]      0.47      0.16      0.46      0.21      0.72     50.35      1.00
          det_prob[68]      0.48      0.16      0.49      0.23      0.74     50.44      1.00
          det_prob[69]      0.50      0.16      0.51      0.25      0.77     51.09      1.00
          det_prob[70]      0.52      0.16      0.52      0.26      0.77     48.77      1.00
          det_prob[71]      0.53      0.16      0.54      0.27      0.79     48.75      1.00
          det_prob[72]      0.55      0.16      0.55      0.29      0.81     46.01      1.00
          det_prob[73]      0.56      0.17      0.56      0.28      0.81     45.18      1.01
          det_prob[74]      0.57      0.16      0.57      0.31      0.83     45.31      1.01
          det_prob[75]      0.58      0.16      0.59      0.33      0.85     45.40      1.01
          det_prob[76]      0.59      0.16      0.60      0.33      0.87     44.91      1.01
          det_prob[77]      0.60      0.17      0.60      0.31      0.85     43.48      1.01
          det_prob[78]      0.61      0.17      0.62      0.34      0.88     42.52      1.01
          det_prob[79]      0.61      0.17      0.63      0.37      0.92     43.56      1.01
          det_prob[80]      0.62      0.17      0.63      0.37      0.93     42.32      1.01
          det_prob[81]      0.63      0.17      0.64      0.36      0.91     43.38      1.02
          det_prob[82]      0.64      0.17      0.65      0.37      0.92     41.50      1.02
          det_prob[83]      0.65      0.17      0.67      0.38      0.92     39.83      1.02
          det_prob[84]      0.66      0.17      0.68      0.40      0.93     39.97      1.02
          det_prob[85]      0.67      0.17      0.69      0.41      0.93     41.58      1.02
          det_prob[86]      0.68      0.17      0.70      0.43      0.94     39.86      1.02
          det_prob[87]      0.68      0.17      0.71      0.44      0.95     38.99      1.02
          det_prob[88]      0.68      0.17      0.71      0.45      0.95     37.05      1.02
          det_prob[89]      0.69      0.17      0.71      0.45      0.95     35.70      1.02
          det_prob[90]      0.69      0.17      0.72      0.45      0.96     34.37      1.03
          det_prob[91]      0.70      0.17      0.72      0.46      0.96     33.37      1.03
          det_prob[92]      0.70      0.17      0.74      0.46      0.96     32.86      1.03
          det_prob[93]      0.70      0.18      0.74      0.44      0.96     31.81      1.03
          det_prob[94]      0.69      0.18      0.73      0.41      0.95     31.22      1.04
          det_prob[95]      0.69      0.19      0.73      0.42      0.97     31.15      1.03
          det_prob[96]      0.70      0.19      0.73      0.41      0.97     30.54      1.03
          det_prob[97]      0.70      0.19      0.74      0.40      0.97     30.90      1.03
          det_prob[98]      0.71      0.19      0.74      0.41      0.97     31.42      1.03
          det_prob[99]      0.71      0.19      0.74      0.41      0.97     30.46      1.04
         det_prob[100]      0.71      0.19      0.75      0.42      0.97     30.01      1.04
         det_prob[101]      0.72      0.18      0.76      0.44      0.99     29.95      1.04
         det_prob[102]      0.72      0.18      0.76      0.45      0.98     29.11      1.04
         det_prob[103]      0.73      0.18      0.77      0.47      0.99     28.83      1.04
         det_prob[104]      0.74      0.18      0.78      0.46      0.98     28.80      1.04
         det_prob[105]      0.75      0.18      0.79      0.49      0.99     28.91      1.03
         det_prob[106]      0.76      0.17      0.79      0.51      0.99     28.65      1.03
         det_prob[107]      0.76      0.17      0.79      0.51      0.99     28.62      1.03
         det_prob[108]      0.76      0.17      0.80      0.50      0.99     28.13      1.04
         det_prob[109]      0.77      0.17      0.81      0.52      0.99     29.00      1.04
         det_prob[110]      0.77      0.17      0.81      0.53      0.99     28.82      1.04
         det_prob[111]      0.78      0.16      0.82      0.53      0.99     28.31      1.04
         det_prob[112]      0.79      0.16      0.82      0.54      0.99     27.78      1.04
         det_prob[113]      0.79      0.16      0.82      0.55      0.99     27.98      1.04
         det_prob[114]      0.80      0.16      0.83      0.57      0.99     28.38      1.03
         det_prob[115]      0.80      0.16      0.84      0.57      1.00     27.69      1.03
         det_prob[116]      0.80      0.15      0.84      0.58      1.00     27.38      1.03
         det_prob[117]      0.81      0.15      0.85      0.59      0.99     28.14      1.03
         det_prob[118]      0.81      0.15      0.85      0.59      0.99     27.97      1.03
         det_prob[119]      0.82      0.15      0.86      0.60      0.99     28.50      1.03
         det_prob[120]      0.83      0.14      0.86      0.62      0.99     29.14      1.03
         det_prob[121]      0.83      0.14      0.87      0.63      0.99     29.32      1.03
         det_prob[122]      0.83      0.14      0.87      0.63      0.99     29.70      1.02
         det_prob[123]      0.84      0.13      0.88      0.65      1.00     29.74      1.03
         det_prob[124]      0.85      0.13      0.88      0.65      0.99     30.02      1.03
         det_prob[125]      0.85      0.13      0.89      0.67      0.99     29.58      1.03
         det_prob[126]      0.86      0.12      0.89      0.68      1.00     30.05      1.03
         det_prob[127]      0.86      0.12      0.90      0.68      1.00     29.86      1.03
         det_prob[128]      0.87      0.12      0.90      0.70      1.00     30.10      1.03
         det_prob[129]      0.87      0.11      0.91      0.69      1.00     30.74      1.03
         det_prob[130]      0.87      0.11      0.91      0.71      1.00     31.49      1.02
         det_prob[131]      0.88      0.11      0.92      0.73      1.00     31.89      1.02
         det_prob[132]      0.88      0.11      0.92      0.73      1.00     32.13      1.02
         det_prob[133]      0.89      0.10      0.92      0.73      1.00     32.08      1.02
         det_prob[134]      0.89      0.10      0.93      0.74      1.00     32.15      1.02
         det_prob[135]      0.89      0.10      0.93      0.74      1.00     32.28      1.02
         det_prob[136]      0.89      0.10      0.93      0.74      1.00     32.43      1.02
         det_prob[137]      0.89      0.10      0.93      0.73      1.00     32.61      1.02
         det_prob[138]      0.89      0.10      0.93      0.74      1.00     32.42      1.01
         det_prob[139]      0.89      0.10      0.93      0.73      1.00     32.82      1.02
         det_prob[140]      0.90      0.10      0.93      0.74      1.00     33.19      1.01
         det_prob[141]      0.90      0.10      0.94      0.74      1.00     33.33      1.01
         det_prob[142]      0.90      0.10      0.94      0.74      1.00     33.41      1.01
         det_prob[143]      0.90      0.10      0.94      0.74      1.00     33.77      1.01
         det_prob[144]      0.90      0.10      0.94      0.74      1.00     33.27      1.01
         det_prob[145]      0.90      0.11      0.94      0.74      1.00     34.72      1.01
         det_prob[146]      0.90      0.11      0.95      0.73      1.00     33.93      1.01
         det_prob[147]      0.90      0.11      0.95      0.73      1.00     33.79      1.01
         det_prob[148]      0.90      0.11      0.95      0.73      1.00     33.55      1.01
         det_prob[149]      0.90      0.11      0.95      0.73      1.00     33.94      1.01
         det_prob[150]      0.90      0.11      0.95      0.73      1.00     34.03      1.01
         det_prob[151]      0.90      0.11      0.95      0.73      1.00     34.70      1.01
         det_prob[152]      0.90      0.12      0.95      0.73      1.00     34.70      1.01
         det_prob[153]      0.90      0.12      0.95      0.73      1.00     35.54      1.01
         det_prob[154]      0.90      0.12      0.95      0.72      1.00     36.03      1.01
         det_prob[155]      0.90      0.12      0.95      0.73      1.00     36.10      1.01
         det_prob[156]      0.90      0.12      0.95      0.72      1.00     36.53      1.01
         det_prob[157]      0.90      0.12      0.95      0.73      1.00     36.25      1.01
         det_prob[158]      0.90      0.12      0.95      0.72      1.00     35.43      1.01
