
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.09      1.75      0.61      0.00      2.40    795.15      1.00
                    E0      5.91      7.04      3.79      0.00     13.92     74.79      1.07
                    H0      1.27      1.39      0.85      0.00      2.87    380.56      1.01
                    I0      3.28      4.15      1.68      0.00      8.24     33.97      1.12
                 beta0      1.18      0.64      1.09      0.27      2.01      4.71      1.92
  confirmed_dispersion      0.21      0.05      0.20      0.13      0.29   1526.81      1.00
      death_dispersion      0.51      0.11      0.50      0.35      0.69   1582.66      1.00
            death_prob      0.02      0.00      0.02      0.01      0.02     41.32      1.01
            death_rate      0.06      0.01      0.06      0.04      0.08    322.69      1.02
           det_prob[0]      0.28      0.07      0.28      0.15      0.38    117.98      1.00
           det_prob[1]      0.28      0.08      0.28      0.15      0.41    101.88      1.01
           det_prob[2]      0.28      0.09      0.27      0.13      0.42     91.59      1.01
           det_prob[3]      0.28      0.10      0.27      0.12      0.43     84.18      1.00
           det_prob[4]      0.28      0.11      0.27      0.10      0.43     77.89      1.00
           det_prob[5]      0.28      0.11      0.27      0.11      0.45     77.49      1.01
           det_prob[6]      0.29      0.12      0.27      0.11      0.47     75.24      1.01
           det_prob[7]      0.29      0.12      0.27      0.11      0.48     71.79      1.01
           det_prob[8]      0.30      0.12      0.28      0.10      0.48     66.32      1.01
           det_prob[9]      0.30      0.13      0.29      0.10      0.49     66.94      1.01
          det_prob[10]      0.30      0.13      0.29      0.09      0.48     66.13      1.01
          det_prob[11]      0.31      0.13      0.28      0.10      0.50     65.10      1.01
          det_prob[12]      0.31      0.14      0.29      0.10      0.50     64.60      1.01
          det_prob[13]      0.32      0.14      0.30      0.10      0.51     63.43      1.01
          det_prob[14]      0.33      0.14      0.31      0.11      0.53     60.68      1.02
          det_prob[15]      0.35      0.14      0.32      0.14      0.56     62.66      1.02
          det_prob[16]      0.36      0.14      0.33      0.14      0.55     64.20      1.01
          det_prob[17]      0.37      0.14      0.34      0.17      0.60     65.02      1.01
          det_prob[18]      0.38      0.14      0.35      0.17      0.61     64.35      1.01
          det_prob[19]      0.40      0.14      0.38      0.17      0.61     63.40      1.01
          det_prob[20]      0.42      0.14      0.40      0.18      0.62     64.32      1.01
          det_prob[21]      0.43      0.14      0.41      0.19      0.64     65.80      1.01
          det_prob[22]      0.45      0.14      0.43      0.21      0.67     63.25      1.01
          det_prob[23]      0.46      0.14      0.44      0.22      0.69     63.28      1.01
          det_prob[24]      0.47      0.14      0.45      0.23      0.69     61.55      1.01
          det_prob[25]      0.48      0.15      0.46      0.24      0.73     60.22      1.01
          det_prob[26]      0.49      0.15      0.47      0.24      0.73     60.76      1.01
          det_prob[27]      0.49      0.15      0.48      0.25      0.76     62.04      1.01
          det_prob[28]      0.51      0.15      0.49      0.25      0.76     60.45      1.01
          det_prob[29]      0.51      0.16      0.49      0.25      0.76     57.80      1.01
          det_prob[30]      0.52      0.16      0.50      0.29      0.81     56.92      1.01
          det_prob[31]      0.53      0.16      0.52      0.26      0.79     59.00      1.01
          det_prob[32]      0.54      0.16      0.53      0.25      0.78     56.90      1.01
          det_prob[33]      0.55      0.16      0.54      0.31      0.84     55.46      1.01
          det_prob[34]      0.56      0.16      0.54      0.30      0.85     54.00      1.01
          det_prob[35]      0.56      0.16      0.55      0.27      0.82     53.27      1.01
          det_prob[36]      0.57      0.17      0.55      0.26      0.82     53.57      1.00
          det_prob[37]      0.57      0.17      0.56      0.29      0.85     53.14      1.00
          det_prob[38]      0.57      0.17      0.56      0.26      0.84     51.90      1.00
          det_prob[39]      0.57      0.18      0.56      0.27      0.85     50.21      1.00
          det_prob[40]      0.57      0.18      0.56      0.29      0.88     48.84      1.00
          det_prob[41]      0.58      0.18      0.57      0.29      0.86     47.33      1.00
          det_prob[42]      0.58      0.18      0.58      0.32      0.90     47.53      1.00
          det_prob[43]      0.58      0.18      0.58      0.30      0.89     44.93      1.00
          det_prob[44]      0.58      0.18      0.58      0.30      0.90     45.06      1.00
          det_prob[45]      0.58      0.18      0.58      0.29      0.89     45.73      1.00
          det_prob[46]      0.58      0.19      0.58      0.26      0.89     44.98      1.00
          det_prob[47]      0.58      0.19      0.58      0.26      0.89     44.94      1.00
          det_prob[48]      0.58      0.19      0.57      0.26      0.89     44.15      1.00
          det_prob[49]      0.58      0.19      0.58      0.28      0.92     43.24      1.00
          det_prob[50]      0.58      0.19      0.58      0.29      0.94     43.42      1.00
          det_prob[51]      0.58      0.20      0.58      0.23      0.88     42.44      1.00
          det_prob[52]      0.58      0.20      0.58      0.29      0.95     41.75      1.00
          det_prob[53]      0.59      0.20      0.59      0.25      0.91     41.19      1.00
          det_prob[54]      0.59      0.20      0.58      0.22      0.89     40.50      1.00
          det_prob[55]      0.59      0.20      0.59      0.23      0.89     38.98      1.00
          det_prob[56]      0.59      0.20      0.59      0.26      0.93     38.76      1.00
          det_prob[57]      0.59      0.20      0.59      0.26      0.93     39.05      1.00
          det_prob[58]      0.59      0.20      0.60      0.25      0.91     39.37      1.00
          det_prob[59]      0.59      0.20      0.61      0.27      0.93     38.13      1.01
          det_prob[60]      0.59      0.21      0.61      0.30      0.97     37.37      1.01
          det_prob[61]      0.59      0.21      0.60      0.24      0.91     37.18      1.01
          det_prob[62]      0.60      0.21      0.61      0.28      0.94     35.50      1.01
          det_prob[63]      0.60      0.21      0.62      0.27      0.94     35.26      1.01
          det_prob[64]      0.61      0.20      0.63      0.30      0.95     34.27      1.01
          det_prob[65]      0.61      0.21      0.63      0.32      0.97     34.06      1.01
          det_prob[66]      0.62      0.20      0.64      0.29      0.94     33.46      1.02
          det_prob[67]      0.63      0.20      0.65      0.31      0.95     33.17      1.02
          det_prob[68]      0.63      0.20      0.66      0.33      0.96     32.82      1.03
          det_prob[69]      0.64      0.20      0.66      0.34      0.97     31.69      1.03
          det_prob[70]      0.64      0.20      0.67      0.35      0.97     31.24      1.03
          det_prob[71]      0.65      0.20      0.68      0.36      0.98     30.72      1.03
          det_prob[72]      0.65      0.20      0.68      0.36      0.98     30.06      1.04
          det_prob[73]      0.66      0.20      0.68      0.37      0.98     29.64      1.04
          det_prob[74]      0.66      0.20      0.69      0.37      0.97     29.00      1.05
          det_prob[75]      0.66      0.20      0.69      0.36      0.97     28.60      1.05
          det_prob[76]      0.66      0.20      0.70      0.38      0.98     27.66      1.05
          det_prob[77]      0.66      0.20      0.69      0.35      0.98     27.12      1.05
          det_prob[78]      0.66      0.21      0.70      0.35      0.98     27.30      1.06
          det_prob[79]      0.66      0.21      0.70      0.33      0.98     27.29      1.06
          det_prob[80]      0.67      0.21      0.70      0.35      0.98     26.77      1.07
          det_prob[81]      0.67      0.21      0.71      0.36      0.98     25.89      1.07
          det_prob[82]      0.68      0.20      0.72      0.36      0.97     25.11      1.08
          det_prob[83]      0.69      0.20      0.73      0.38      0.98     24.78      1.08
          det_prob[84]      0.70      0.20      0.73      0.40      0.98     24.44      1.08
          det_prob[85]      0.71      0.19      0.75      0.41      0.99     24.68      1.08
          det_prob[86]      0.71      0.19      0.75      0.42      0.99     24.10      1.09
          det_prob[87]      0.71      0.19      0.76      0.43      0.99     24.15      1.09
          det_prob[88]      0.71      0.19      0.75      0.42      0.98     23.09      1.10
          det_prob[89]      0.71      0.19      0.75      0.42      0.98     22.09      1.11
          det_prob[90]      0.71      0.20      0.74      0.41      0.98     21.21      1.11
          det_prob[91]      0.71      0.20      0.75      0.41      0.99     20.42      1.12
          det_prob[92]      0.71      0.20      0.75      0.40      0.98     20.41      1.12
          det_prob[93]      0.72      0.20      0.76      0.40      0.98     19.78      1.13
          det_prob[94]      0.72      0.20      0.77      0.40      0.99     19.40      1.13
          det_prob[95]      0.72      0.20      0.77      0.40      0.99     18.80      1.14
          det_prob[96]      0.72      0.20      0.78      0.41      0.99     18.77      1.14
          det_prob[97]      0.73      0.20      0.78      0.43      1.00     19.15      1.14
          det_prob[98]      0.73      0.20      0.78      0.41      0.99     18.84      1.15
          det_prob[99]      0.74      0.19      0.79      0.43      0.99     18.78      1.15
         det_prob[100]      0.75      0.19      0.79      0.46      0.99     18.97      1.15
         det_prob[101]      0.75      0.18      0.80      0.47      0.99     18.55      1.15
