
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.76      0.79      0.51      0.00      1.82    781.11      1.00
                    E0     39.06     38.28     27.42      0.10     84.77     98.49      1.06
                    H0      1.94      1.57      1.57      0.00      4.06    718.63      1.00
                    I0      8.75     10.89      5.07      0.01     20.96    337.69      1.02
                 beta0      2.29      0.91      2.10      0.73      3.52     19.07      1.40
  confirmed_dispersion      0.17      0.03      0.17      0.12      0.23    918.12      1.00
      death_dispersion      0.20      0.02      0.20      0.17      0.23    660.36      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     14.47      1.08
            death_rate      0.12      0.02      0.12      0.09      0.15    233.71      1.00
           det_prob[0]      0.19      0.06      0.18      0.10      0.28    200.59      1.01
           det_prob[1]      0.17      0.06      0.16      0.08      0.25    152.51      1.01
           det_prob[2]      0.15      0.05      0.14      0.06      0.23    131.53      1.01
           det_prob[3]      0.13      0.05      0.13      0.05      0.20    130.06      1.01
           det_prob[4]      0.12      0.05      0.11      0.04      0.19     85.49      1.01
           det_prob[5]      0.12      0.05      0.11      0.03      0.18     70.67      1.02
           det_prob[6]      0.11      0.05      0.10      0.04      0.17     67.89      1.02
           det_prob[7]      0.10      0.04      0.09      0.03      0.15     56.51      1.02
           det_prob[8]      0.09      0.04      0.08      0.04      0.14     49.69      1.02
           det_prob[9]      0.09      0.04      0.08      0.03      0.14     52.27      1.02
          det_prob[10]      0.08      0.04      0.08      0.03      0.14     46.52      1.02
          det_prob[11]      0.09      0.04      0.08      0.03      0.14     41.74      1.03
          det_prob[12]      0.09      0.04      0.08      0.04      0.15     37.77      1.02
          det_prob[13]      0.09      0.04      0.08      0.04      0.15     31.48      1.03
          det_prob[14]      0.09      0.04      0.08      0.04      0.15     32.97      1.03
          det_prob[15]      0.09      0.04      0.08      0.04      0.14     34.52      1.03
          det_prob[16]      0.09      0.04      0.09      0.04      0.14     38.21      1.02
          det_prob[17]      0.09      0.04      0.09      0.04      0.15     38.08      1.02
          det_prob[18]      0.09      0.04      0.09      0.04      0.15     36.27      1.03
          det_prob[19]      0.09      0.04      0.09      0.04      0.15     35.01      1.03
          det_prob[20]      0.09      0.04      0.09      0.04      0.15     35.82      1.03
          det_prob[21]      0.10      0.04      0.09      0.04      0.15     36.73      1.02
          det_prob[22]      0.10      0.04      0.09      0.04      0.15     32.37      1.03
          det_prob[23]      0.09      0.03      0.09      0.04      0.14     27.20      1.04
          det_prob[24]      0.09      0.03      0.08      0.04      0.14     25.83      1.04
          det_prob[25]      0.09      0.03      0.08      0.04      0.13     29.00      1.03
          det_prob[26]      0.08      0.03      0.08      0.04      0.13     28.40      1.04
          det_prob[27]      0.08      0.03      0.08      0.03      0.13     28.23      1.04
          det_prob[28]      0.08      0.03      0.08      0.03      0.13     24.95      1.05
          det_prob[29]      0.08      0.03      0.07      0.03      0.12     26.59      1.04
          det_prob[30]      0.08      0.03      0.07      0.03      0.12     25.19      1.04
          det_prob[31]      0.08      0.03      0.07      0.04      0.12     25.32      1.05
          det_prob[32]      0.08      0.03      0.07      0.04      0.12     27.00      1.05
          det_prob[33]      0.07      0.03      0.07      0.03      0.12     26.46      1.04
          det_prob[34]      0.07      0.03      0.07      0.03      0.12     26.33      1.03
          det_prob[35]      0.08      0.03      0.07      0.03      0.12     25.57      1.03
          det_prob[36]      0.08      0.03      0.07      0.04      0.12     25.11      1.03
          det_prob[37]      0.08      0.03      0.07      0.04      0.12     24.12      1.03
          det_prob[38]      0.08      0.03      0.07      0.04      0.12     26.70      1.03
          det_prob[39]      0.08      0.03      0.08      0.04      0.13     27.84      1.03
          det_prob[40]      0.08      0.03      0.08      0.03      0.13     29.61      1.04
          det_prob[41]      0.08      0.03      0.08      0.04      0.13     31.77      1.03
          det_prob[42]      0.09      0.03      0.08      0.04      0.14     31.44      1.03
          det_prob[43]      0.09      0.03      0.09      0.04      0.14     31.40      1.03
          det_prob[44]      0.09      0.03      0.09      0.04      0.14     31.81      1.03
          det_prob[45]      0.10      0.03      0.09      0.04      0.14     32.40      1.04
          det_prob[46]      0.10      0.03      0.09      0.05      0.15     31.44      1.04
          det_prob[47]      0.10      0.03      0.10      0.05      0.15     35.09      1.04
          det_prob[48]      0.10      0.04      0.10      0.05      0.16     32.67      1.04
          det_prob[49]      0.11      0.04      0.10      0.06      0.17     31.56      1.05
          det_prob[50]      0.10      0.04      0.10      0.05      0.16     32.85      1.04
          det_prob[51]      0.11      0.04      0.10      0.05      0.16     37.68      1.04
          det_prob[52]      0.11      0.04      0.10      0.05      0.16     35.42      1.04
          det_prob[53]      0.10      0.04      0.10      0.05      0.16     33.18      1.04
          det_prob[54]      0.11      0.04      0.10      0.05      0.16     27.64      1.05
          det_prob[55]      0.11      0.04      0.10      0.05      0.16     27.29      1.05
          det_prob[56]      0.11      0.04      0.10      0.05      0.17     31.30      1.04
          det_prob[57]      0.11      0.04      0.10      0.05      0.17     30.00      1.04
          det_prob[58]      0.11      0.04      0.11      0.05      0.17     29.54      1.04
          det_prob[59]      0.12      0.04      0.11      0.05      0.18     30.77      1.04
          det_prob[60]      0.12      0.04      0.11      0.05      0.17     30.67      1.04
          det_prob[61]      0.12      0.04      0.11      0.05      0.18     31.92      1.04
          det_prob[62]      0.11      0.04      0.11      0.05      0.17     33.52      1.04
          det_prob[63]      0.12      0.04      0.11      0.05      0.18     30.62      1.04
          det_prob[64]      0.12      0.04      0.11      0.05      0.18     27.34      1.04
          det_prob[65]      0.11      0.04      0.11      0.05      0.18     25.74      1.05
          det_prob[66]      0.11      0.04      0.10      0.05      0.18     25.77      1.06
          det_prob[67]      0.11      0.04      0.10      0.05      0.17     27.97      1.06
          det_prob[68]      0.11      0.04      0.10      0.05      0.17     30.63      1.06
          det_prob[69]      0.11      0.04      0.10      0.05      0.18     28.23      1.06
          det_prob[70]      0.11      0.04      0.11      0.05      0.18     29.17      1.06
          det_prob[71]      0.12      0.04      0.11      0.05      0.18     30.05      1.06
          det_prob[72]      0.12      0.04      0.11      0.06      0.19     29.84      1.06
          det_prob[73]      0.13      0.05      0.12      0.06      0.20     30.43      1.06
          det_prob[74]      0.13      0.05      0.12      0.06      0.19     30.66      1.07
          det_prob[75]      0.13      0.05      0.12      0.06      0.19     28.66      1.06
          det_prob[76]      0.12      0.05      0.12      0.05      0.18     30.46      1.06
          det_prob[77]      0.12      0.04      0.11      0.06      0.19     32.88      1.06
          det_prob[78]      0.11      0.04      0.10      0.05      0.18     38.76      1.05
          det_prob[79]      0.11      0.04      0.10      0.05      0.17     34.56      1.05
          det_prob[80]      0.11      0.04      0.10      0.05      0.17     31.55      1.05
          det_prob[81]      0.11      0.04      0.10      0.05      0.17     28.83      1.05
          det_prob[82]      0.10      0.04      0.10      0.05      0.17     30.47      1.04
          det_prob[83]      0.10      0.04      0.10      0.04      0.15     35.19      1.03
          det_prob[84]      0.10      0.04      0.10      0.05      0.16     32.05      1.04
          det_prob[85]      0.11      0.04      0.10      0.05      0.16     27.52      1.03
          det_prob[86]      0.10      0.04      0.10      0.05      0.16     28.35      1.03
          det_prob[87]      0.10      0.04      0.09      0.04      0.15     24.52      1.04
          det_prob[88]      0.09      0.03      0.09      0.04      0.15     25.32      1.04
          det_prob[89]      0.09      0.03      0.08      0.05      0.15     26.16      1.03
          det_prob[90]      0.09      0.03      0.08      0.04      0.14     26.62      1.03
          det_prob[91]      0.09      0.03      0.08      0.05      0.15     25.37      1.03
          det_prob[92]      0.09      0.03      0.09      0.04      0.15     26.16      1.05
          det_prob[93]      0.09      0.03      0.09      0.05      0.15     25.59      1.05
          det_prob[94]      0.09      0.03      0.08      0.04      0.15     24.27      1.06
          det_prob[95]      0.09      0.04      0.09      0.04      0.15     23.84      1.06
          det_prob[96]      0.10      0.04      0.09      0.04      0.15     26.72      1.07
          det_prob[97]      0.10      0.04      0.09      0.04      0.16     25.97      1.07
          det_prob[98]      0.10      0.04      0.10      0.05      0.17     27.97      1.07
          det_prob[99]      0.10      0.04      0.10      0.05      0.17     28.12      1.06
         det_prob[100]      0.11      0.04      0.10      0.04      0.17     28.13      1.06
         det_prob[101]      0.10      0.04      0.10      0.05      0.17     27.70      1.05
         det_prob[102]      0.10      0.04      0.10      0.04      0.16     28.06      1.05
         det_prob[103]      0.11      0.04      0.10      0.05      0.16     27.13      1.05
         det_prob[104]      0.11      0.04      0.10      0.05      0.17     28.85      1.05
         det_prob[105]      0.11      0.04      0.10      0.05      0.17     25.80      1.06
         det_prob[106]      0.11      0.04      0.10      0.05      0.16     25.75      1.06
         det_prob[107]      0.10      0.04      0.09      0.05      0.16     26.96      1.05
         det_prob[108]      0.10      0.04      0.09      0.04      0.15     28.48      1.05
         det_prob[109]      0.09      0.04      0.09      0.04      0.14     32.50      1.05
         det_prob[110]      0.09      0.03      0.08      0.04      0.13     30.46      1.06
         det_prob[111]      0.08      0.03      0.08      0.04      0.12     27.76      1.06
         det_prob[112]      0.08      0.03      0.07      0.03      0.12     25.78      1.06
         det_prob[113]      0.08      0.03      0.07      0.04      0.12     31.56      1.04
         det_prob[114]      0.07      0.03      0.07      0.03      0.11     27.23      1.05
         det_prob[115]      0.07      0.03      0.07      0.03      0.11     24.72      1.05
         det_prob[116]      0.07      0.03      0.06      0.03      0.11     25.31      1.04
         det_prob[117]      0.08      0.03      0.07      0.03      0.12     26.80      1.04
         det_prob[118]      0.08      0.03      0.07      0.04      0.12     25.78      1.05
         det_prob[119]      0.08      0.03      0.08      0.04      0.13     23.68      1.05
         det_prob[120]      0.09      0.04      0.08      0.04      0.14     27.85      1.04
         det_prob[121]      0.09      0.04      0.08      0.04      0.14     25.85      1.05
         det_prob[122]      0.10      0.04      0.09      0.05      0.16     23.93      1.06
         det_prob[123]      0.11      0.05      0.10      0.04      0.17     29.31      1.05
         det_prob[124]      0.12      0.05      0.10      0.05      0.19     31.76      1.06
         det_prob[125]      0.13      0.06      0.11      0.05      0.21     29.87      1.07
         det_prob[126]      0.15      0.06      0.13      0.06      0.23     30.48      1.07
