
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.80      0.93      0.51      0.00      1.80   1333.26      1.00
                    E0    277.25    187.52    234.00     10.81    527.08    183.54      1.03
                    H0      1.74      1.75      1.18      0.00      4.07   1598.34      1.00
                    I0     72.87     45.27     61.46     14.01    131.52    429.99      1.01
                 beta0      2.40      0.86      2.28      1.09      3.73     17.77      1.33
  confirmed_dispersion      0.11      0.01      0.11      0.10      0.12   1318.33      1.00
      death_dispersion      0.28      0.03      0.28      0.24      0.32   1614.05      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     82.24      1.00
            death_rate      0.07      0.01      0.07      0.06      0.08     84.07      1.05
           det_prob[0]      0.18      0.05      0.18      0.10      0.26    408.66      1.00
           det_prob[1]      0.16      0.05      0.16      0.09      0.24    399.58      1.00
           det_prob[2]      0.15      0.04      0.15      0.09      0.23    384.31      1.00
           det_prob[3]      0.13      0.04      0.12      0.07      0.19    373.06      1.00
           det_prob[4]      0.11      0.03      0.10      0.05      0.15    386.29      1.00
           det_prob[5]      0.09      0.03      0.08      0.04      0.13    357.15      1.00
           det_prob[6]      0.08      0.02      0.07      0.04      0.12    324.31      1.00
           det_prob[7]      0.07      0.02      0.06      0.03      0.10    280.28      1.01
           det_prob[8]      0.06      0.02      0.06      0.03      0.09    270.84      1.01
           det_prob[9]      0.05      0.02      0.05      0.02      0.08    252.32      1.01
          det_prob[10]      0.05      0.02      0.05      0.02      0.07    246.88      1.01
          det_prob[11]      0.05      0.02      0.05      0.02      0.07    292.45      1.01
          det_prob[12]      0.05      0.02      0.05      0.03      0.08    289.90      1.02
          det_prob[13]      0.06      0.02      0.06      0.03      0.08    293.37      1.01
          det_prob[14]      0.06      0.02      0.06      0.03      0.09    305.84      1.01
          det_prob[15]      0.07      0.02      0.07      0.03      0.10    289.75      1.01
          det_prob[16]      0.07      0.02      0.06      0.04      0.10    299.95      1.02
          det_prob[17]      0.07      0.02      0.07      0.03      0.10    316.31      1.01
          det_prob[18]      0.07      0.02      0.07      0.04      0.10    319.03      1.01
          det_prob[19]      0.07      0.02      0.06      0.04      0.09    321.19      1.01
          det_prob[20]      0.07      0.02      0.06      0.04      0.10    262.39      1.01
          det_prob[21]      0.07      0.02      0.06      0.03      0.09    240.21      1.01
          det_prob[22]      0.07      0.02      0.06      0.04      0.09    259.89      1.01
          det_prob[23]      0.07      0.02      0.06      0.04      0.10    264.08      1.01
          det_prob[24]      0.07      0.02      0.07      0.04      0.10    283.76      1.00
          det_prob[25]      0.07      0.02      0.07      0.04      0.10    286.30      1.00
          det_prob[26]      0.08      0.02      0.07      0.04      0.11    282.92      1.00
          det_prob[27]      0.08      0.02      0.08      0.05      0.11    290.33      1.00
          det_prob[28]      0.09      0.02      0.09      0.05      0.13    244.47      1.00
          det_prob[29]      0.10      0.03      0.09      0.06      0.14    234.55      1.00
          det_prob[30]      0.11      0.03      0.10      0.07      0.16    211.56      1.00
          det_prob[31]      0.12      0.03      0.11      0.06      0.17    172.68      1.00
          det_prob[32]      0.13      0.03      0.12      0.07      0.18    150.06      1.00
          det_prob[33]      0.14      0.04      0.13      0.08      0.20    148.60      1.00
          det_prob[34]      0.16      0.04      0.15      0.09      0.22    136.29      1.01
          det_prob[35]      0.17      0.05      0.16      0.10      0.25    135.48      1.00
          det_prob[36]      0.19      0.05      0.18      0.11      0.27    121.72      1.00
          det_prob[37]      0.20      0.05      0.19      0.11      0.29     92.68      1.00
          det_prob[38]      0.21      0.06      0.21      0.12      0.30     96.80      1.01
          det_prob[39]      0.23      0.06      0.22      0.12      0.31     94.86      1.01
          det_prob[40]      0.25      0.07      0.24      0.14      0.35     92.30      1.01
          det_prob[41]      0.28      0.07      0.27      0.16      0.40     85.40      1.01
          det_prob[42]      0.30      0.08      0.29      0.18      0.44     59.48      1.01
          det_prob[43]      0.31      0.09      0.30      0.16      0.44     57.42      1.01
          det_prob[44]      0.32      0.09      0.31      0.19      0.49     47.50      1.02
          det_prob[45]      0.34      0.10      0.33      0.18      0.50     47.55      1.02
          det_prob[46]      0.36      0.11      0.35      0.19      0.53     50.45      1.02
          det_prob[47]      0.38      0.11      0.37      0.20      0.56     40.38      1.03
          det_prob[48]      0.41      0.12      0.40      0.22      0.60     50.10      1.03
          det_prob[49]      0.44      0.12      0.43      0.25      0.63     45.82      1.03
          det_prob[50]      0.47      0.12      0.47      0.29      0.67     39.78      1.04
          det_prob[51]      0.50      0.13      0.49      0.30      0.69     38.70      1.04
          det_prob[52]      0.50      0.13      0.50      0.28      0.71     33.64      1.04
          det_prob[53]      0.51      0.14      0.50      0.29      0.74     32.94      1.04
          det_prob[54]      0.51      0.14      0.51      0.29      0.75     33.06      1.05
          det_prob[55]      0.52      0.15      0.52      0.30      0.78     30.23      1.05
          det_prob[56]      0.54      0.15      0.54      0.27      0.75     29.58      1.06
          det_prob[57]      0.55      0.15      0.55      0.28      0.77     32.12      1.05
          det_prob[58]      0.56      0.15      0.56      0.29      0.79     32.84      1.05
          det_prob[59]      0.56      0.16      0.56      0.28      0.79     32.69      1.05
          det_prob[60]      0.57      0.16      0.57      0.30      0.82     30.91      1.05
          det_prob[61]      0.57      0.17      0.57      0.31      0.85     30.17      1.05
          det_prob[62]      0.58      0.16      0.58      0.33      0.86     31.00      1.05
          det_prob[63]      0.59      0.16      0.59      0.34      0.86     32.05      1.05
          det_prob[64]      0.60      0.16      0.60      0.35      0.88     30.93      1.05
          det_prob[65]      0.60      0.16      0.60      0.34      0.86     29.74      1.06
          det_prob[66]      0.61      0.17      0.60      0.32      0.86     29.48      1.05
          det_prob[67]      0.61      0.17      0.60      0.34      0.89     30.67      1.06
          det_prob[68]      0.62      0.17      0.61      0.37      0.92     30.67      1.07
          det_prob[69]      0.63      0.17      0.63      0.35      0.89     31.06      1.06
          det_prob[70]      0.64      0.16      0.64      0.39      0.92     31.65      1.07
          det_prob[71]      0.65      0.16      0.65      0.41      0.94     32.62      1.06
          det_prob[72]      0.65      0.16      0.65      0.40      0.93     35.55      1.05
          det_prob[73]      0.65      0.17      0.65      0.43      0.97     37.77      1.05
          det_prob[74]      0.65      0.17      0.66      0.38      0.93     36.09      1.05
          det_prob[75]      0.66      0.17      0.66      0.42      0.98     37.30      1.04
          det_prob[76]      0.66      0.17      0.66      0.42      0.96     35.99      1.05
          det_prob[77]      0.67      0.17      0.67      0.44      0.98     35.29      1.05
          det_prob[78]      0.67      0.17      0.67      0.45      0.99     33.95      1.05
          det_prob[79]      0.67      0.17      0.68      0.45      0.99     32.74      1.05
          det_prob[80]      0.67      0.18      0.68      0.42      0.98     31.91      1.05
          det_prob[81]      0.67      0.18      0.68      0.42      0.98     31.10      1.05
          det_prob[82]      0.67      0.18      0.67      0.41      0.98     30.87      1.05
          det_prob[83]      0.67      0.18      0.68      0.42      0.98     31.13      1.05
          det_prob[84]      0.68      0.18      0.69      0.44      0.99     29.87      1.05
          det_prob[85]      0.69      0.18      0.69      0.44      0.98     29.45      1.05
          det_prob[86]      0.68      0.18      0.68      0.44      0.98     27.93      1.05
          det_prob[87]      0.68      0.18      0.68      0.43      0.98     28.62      1.05
          det_prob[88]      0.68      0.18      0.69      0.43      0.99     27.42      1.06
          det_prob[89]      0.68      0.18      0.69      0.43      0.99     26.77      1.06
          det_prob[90]      0.68      0.18      0.69      0.42      0.99     26.83      1.06
          det_prob[91]      0.68      0.19      0.69      0.42      0.99     27.22      1.06
          det_prob[92]      0.68      0.19      0.69      0.42      0.99     26.71      1.06
          det_prob[93]      0.68      0.19      0.68      0.41      0.99     26.84      1.06
          det_prob[94]      0.67      0.20      0.68      0.39      0.99     25.69      1.07
          det_prob[95]      0.67      0.20      0.68      0.39      1.00     26.15      1.06
          det_prob[96]      0.67      0.20      0.68      0.37      0.98     25.23      1.06
          det_prob[97]      0.67      0.20      0.67      0.38      1.00     25.15      1.06
          det_prob[98]      0.67      0.20      0.68      0.38      1.00     25.42      1.06
          det_prob[99]      0.68      0.20      0.69      0.39      1.00     25.01      1.06
         det_prob[100]      0.68      0.20      0.68      0.40      1.00     24.77      1.06
         det_prob[101]      0.68      0.20      0.68      0.40      1.00     25.12      1.06
         det_prob[102]      0.67      0.20      0.68      0.40      1.00     25.31      1.06
         det_prob[103]      0.67      0.20      0.68      0.39      1.00     25.07      1.06
         det_prob[104]      0.68      0.20      0.68      0.40      1.00     25.63      1.06
         det_prob[105]      0.68      0.20      0.68      0.40      1.00     25.91      1.06
         det_prob[106]      0.69      0.20      0.70      0.41      1.00     26.39      1.06
         det_prob[107]      0.69      0.20      0.70      0.42      1.00     26.20      1.06
         det_prob[108]      0.69      0.20      0.70      0.42      1.00     26.05      1.05
         det_prob[109]      0.69      0.20      0.70      0.43      1.00     26.71      1.05
         det_prob[110]      0.70      0.20      0.70      0.43      1.00     27.42      1.05
         det_prob[111]      0.70      0.19      0.71      0.44      1.00     27.49      1.05
         det_prob[112]      0.71      0.19      0.70      0.45      1.00     27.64      1.05
         det_prob[113]      0.71      0.19      0.72      0.44      1.00     27.97      1.05
         det_prob[114]      0.71      0.19      0.72      0.44      1.00     29.14      1.05
         det_prob[115]      0.72      0.19      0.73      0.45      1.00     30.48      1.05
         det_prob[116]      0.72      0.19      0.73      0.45      1.00     31.04      1.04
         det_prob[117]      0.73      0.19      0.75      0.46      1.00     31.84      1.04
         det_prob[118]      0.74      0.18      0.76      0.48      1.00     31.95      1.04
         det_prob[119]      0.75      0.17      0.77      0.50      1.00     32.13      1.04
         det_prob[120]      0.76      0.17      0.77      0.51      1.00     32.63      1.04
         det_prob[121]      0.76      0.17      0.78      0.52      1.00     32.70      1.04
