
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.88      1.21      0.52      0.00      2.04   1440.05      1.00
                    E0     13.82     15.45      9.43      0.01     30.50     96.43      1.06
                    H0      1.38      1.34      0.97      0.00      3.13   1530.59      1.00
                    I0      5.73      7.24      3.30      0.00     13.35     65.65      1.10
                 beta0      1.51      0.76      1.37      0.51      2.56      5.05      1.96
  confirmed_dispersion      0.24      0.05      0.23      0.16      0.31   1396.57      1.00
      death_dispersion      0.41      0.05      0.41      0.32      0.49   1540.50      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     52.86      1.00
            death_rate      0.05      0.01      0.05      0.04      0.07    151.07      1.00
           det_prob[0]      0.20      0.06      0.19      0.10      0.29    196.15      1.00
           det_prob[1]      0.17      0.06      0.17      0.09      0.27    170.12      1.00
           det_prob[2]      0.16      0.06      0.15      0.07      0.25    154.94      1.00
           det_prob[3]      0.14      0.05      0.13      0.05      0.22    133.58      1.00
           det_prob[4]      0.13      0.05      0.12      0.05      0.20    123.39      1.00
           det_prob[5]      0.11      0.05      0.10      0.04      0.19    110.10      1.00
           det_prob[6]      0.10      0.05      0.09      0.03      0.17    111.67      1.00
           det_prob[7]      0.09      0.04      0.08      0.03      0.15    116.43      1.00
           det_prob[8]      0.08      0.04      0.08      0.03      0.14    113.57      1.00
           det_prob[9]      0.08      0.04      0.07      0.03      0.13    106.96      1.00
          det_prob[10]      0.07      0.03      0.07      0.03      0.12    111.46      1.00
          det_prob[11]      0.07      0.03      0.06      0.03      0.12    121.63      1.00
          det_prob[12]      0.07      0.03      0.06      0.03      0.11    125.95      1.00
          det_prob[13]      0.06      0.03      0.06      0.02      0.10    129.33      1.00
          det_prob[14]      0.06      0.03      0.06      0.02      0.10    127.07      1.00
          det_prob[15]      0.06      0.02      0.05      0.02      0.09    144.95      1.00
          det_prob[16]      0.05      0.02      0.05      0.02      0.09    162.84      1.00
          det_prob[17]      0.05      0.02      0.05      0.02      0.09    171.95      1.00
          det_prob[18]      0.05      0.02      0.05      0.02      0.08    189.28      1.00
          det_prob[19]      0.06      0.02      0.05      0.02      0.09    191.78      1.00
          det_prob[20]      0.06      0.02      0.06      0.03      0.09    193.90      1.00
          det_prob[21]      0.06      0.02      0.06      0.03      0.10    201.46      1.00
          det_prob[22]      0.06      0.02      0.06      0.03      0.09    207.16      1.00
          det_prob[23]      0.07      0.02      0.06      0.03      0.10    212.41      1.00
          det_prob[24]      0.07      0.02      0.06      0.03      0.10    205.61      1.00
          det_prob[25]      0.07      0.03      0.07      0.04      0.11    211.07      1.00
          det_prob[26]      0.08      0.03      0.08      0.04      0.12    212.96      1.00
          det_prob[27]      0.09      0.03      0.08      0.04      0.13    195.02      1.00
          det_prob[28]      0.10      0.03      0.09      0.05      0.14    176.02      1.00
          det_prob[29]      0.10      0.03      0.10      0.05      0.14    183.45      1.00
          det_prob[30]      0.10      0.04      0.10      0.05      0.15    199.73      1.00
          det_prob[31]      0.11      0.04      0.10      0.05      0.16    205.80      1.00
          det_prob[32]      0.11      0.04      0.11      0.06      0.17    190.40      1.00
          det_prob[33]      0.12      0.04      0.11      0.06      0.18    168.43      1.00
          det_prob[34]      0.12      0.04      0.12      0.05      0.18    159.15      1.00
          det_prob[35]      0.13      0.05      0.12      0.06      0.20    139.83      1.00
          det_prob[36]      0.14      0.05      0.13      0.07      0.21    117.82      1.00
          det_prob[37]      0.14      0.05      0.14      0.07      0.22    114.27      1.01
          det_prob[38]      0.15      0.05      0.14      0.07      0.24    104.66      1.01
          det_prob[39]      0.16      0.06      0.15      0.08      0.26    101.86      1.01
          det_prob[40]      0.17      0.06      0.16      0.08      0.27    103.99      1.01
          det_prob[41]      0.18      0.07      0.17      0.08      0.27    102.21      1.01
          det_prob[42]      0.19      0.07      0.18      0.08      0.30     96.55      1.01
          det_prob[43]      0.21      0.08      0.19      0.09      0.32     86.98      1.01
          det_prob[44]      0.22      0.08      0.20      0.10      0.34     79.59      1.02
          det_prob[45]      0.24      0.09      0.22      0.10      0.36     76.69      1.02
          det_prob[46]      0.26      0.09      0.24      0.11      0.39     72.71      1.02
          det_prob[47]      0.28      0.10      0.26      0.12      0.42     66.10      1.02
          det_prob[48]      0.29      0.11      0.28      0.13      0.45     64.84      1.02
          det_prob[49]      0.31      0.11      0.30      0.14      0.48     61.42      1.02
          det_prob[50]      0.32      0.11      0.31      0.15      0.51     56.91      1.01
          det_prob[51]      0.34      0.12      0.32      0.16      0.54     55.08      1.01
          det_prob[52]      0.35      0.13      0.33      0.16      0.56     53.93      1.02
          det_prob[53]      0.37      0.13      0.35      0.17      0.58     57.00      1.01
          det_prob[54]      0.40      0.14      0.38      0.19      0.63     55.54      1.01
          det_prob[55]      0.42      0.14      0.40      0.19      0.64     52.63      1.01
          det_prob[56]      0.44      0.14      0.43      0.20      0.66     52.41      1.01
          det_prob[57]      0.46      0.15      0.45      0.21      0.67     51.05      1.01
          det_prob[58]      0.48      0.15      0.47      0.24      0.72     52.29      1.00
          det_prob[59]      0.49      0.15      0.48      0.28      0.76     51.48      1.00
          det_prob[60]      0.51      0.15      0.50      0.26      0.76     51.50      1.00
          det_prob[61]      0.52      0.15      0.51      0.26      0.76     52.39      1.00
          det_prob[62]      0.54      0.15      0.53      0.27      0.78     52.81      1.00
          det_prob[63]      0.55      0.15      0.55      0.31      0.80     52.29      1.00
          det_prob[64]      0.57      0.15      0.57      0.31      0.81     53.65      1.00
          det_prob[65]      0.58      0.15      0.58      0.34      0.84     51.92      1.00
          det_prob[66]      0.60      0.16      0.61      0.34      0.84     51.47      1.00
          det_prob[67]      0.61      0.16      0.62      0.37      0.88     53.59      1.00
          det_prob[68]      0.63      0.15      0.64      0.40      0.89     51.95      1.00
          det_prob[69]      0.64      0.15      0.66      0.38      0.87     50.44      1.00
          det_prob[70]      0.66      0.15      0.67      0.43      0.92     51.44      1.00
          det_prob[71]      0.68      0.15      0.69      0.46      0.92     52.88      1.00
          det_prob[72]      0.69      0.15      0.71      0.46      0.92     51.12      1.01
          det_prob[73]      0.70      0.15      0.72      0.47      0.92     49.82      1.01
          det_prob[74]      0.71      0.14      0.73      0.49      0.94     49.82      1.01
          det_prob[75]      0.72      0.14      0.73      0.51      0.95     49.12      1.01
          det_prob[76]      0.73      0.14      0.75      0.51      0.95     47.60      1.01
          det_prob[77]      0.74      0.14      0.76      0.54      0.96     47.64      1.01
          det_prob[78]      0.75      0.14      0.77      0.54      0.95     46.13      1.02
          det_prob[79]      0.75      0.14      0.78      0.56      0.97     45.16      1.02
          det_prob[80]      0.76      0.14      0.78      0.54      0.96     44.46      1.02
          det_prob[81]      0.76      0.14      0.79      0.54      0.96     43.34      1.03
          det_prob[82]      0.77      0.14      0.80      0.56      0.97     42.81      1.03
          det_prob[83]      0.78      0.14      0.81      0.56      0.97     42.48      1.03
          det_prob[84]      0.78      0.14      0.81      0.59      0.97     41.24      1.03
          det_prob[85]      0.79      0.14      0.82      0.60      0.98     41.85      1.03
          det_prob[86]      0.80      0.13      0.83      0.61      0.98     39.37      1.04
          det_prob[87]      0.80      0.13      0.83      0.62      0.98     38.52      1.04
          det_prob[88]      0.82      0.12      0.84      0.63      0.97     37.73      1.04
          det_prob[89]      0.82      0.12      0.86      0.65      0.98     37.52      1.04
          det_prob[90]      0.83      0.11      0.86      0.67      0.98     36.19      1.05
          det_prob[91]      0.84      0.11      0.87      0.67      0.98     34.39      1.06
          det_prob[92]      0.84      0.11      0.87      0.68      0.98     32.93      1.06
          det_prob[93]      0.85      0.11      0.88      0.68      0.98     33.36      1.06
          det_prob[94]      0.85      0.11      0.88      0.69      0.99     32.65      1.06
          det_prob[95]      0.86      0.10      0.89      0.70      0.99     32.77      1.06
          det_prob[96]      0.86      0.10      0.89      0.70      0.99     32.63      1.06
          det_prob[97]      0.87      0.10      0.90      0.72      0.99     32.27      1.07
          det_prob[98]      0.87      0.10      0.90      0.73      0.99     31.51      1.07
          det_prob[99]      0.88      0.09      0.91      0.74      0.99     30.71      1.07
         det_prob[100]      0.88      0.09      0.91      0.75      0.99     29.50      1.08
         det_prob[101]      0.88      0.09      0.91      0.76      0.99     29.48      1.07
         det_prob[102]      0.89      0.09      0.91      0.76      0.99     29.53      1.08
         det_prob[103]      0.89      0.08      0.92      0.77      0.99     28.95      1.08
         det_prob[104]      0.89      0.08      0.92      0.78      1.00     28.98      1.07
         det_prob[105]      0.90      0.08      0.92      0.79      1.00     28.84      1.07
         det_prob[106]      0.90      0.08      0.92      0.79      1.00     28.73      1.08
         det_prob[107]      0.90      0.08      0.92      0.79      1.00     28.25      1.08
         det_prob[108]      0.90      0.08      0.93      0.79      1.00     28.47      1.08
         det_prob[109]      0.90      0.08      0.93      0.79      1.00     29.56      1.07
         det_prob[110]      0.90      0.08      0.93      0.79      1.00     28.62      1.07
         det_prob[111]      0.90      0.08      0.93      0.79      1.00     29.50      1.07
         det_prob[112]      0.91      0.08      0.93      0.80      1.00     29.65      1.07
         det_prob[113]      0.91      0.09      0.93      0.79      1.00     30.43      1.06
         det_prob[114]      0.91      0.09      0.93      0.79      1.00     30.09      1.06
         det_prob[115]      0.91      0.09      0.93      0.79      1.00     29.55      1.06
         det_prob[116]      0.91      0.09      0.94      0.79      1.00     30.23      1.05
         det_prob[117]      0.91      0.09      0.94      0.79      1.00     29.73      1.05
         det_prob[118]      0.91      0.09      0.94      0.79      1.00     31.14      1.05
         det_prob[119]      0.91      0.09      0.94      0.79      1.00     31.21      1.05
         det_prob[120]      0.91      0.09      0.94      0.78      1.00     30.82      1.05
         det_prob[121]      0.91      0.09      0.94      0.79      1.00     29.84      1.05
         det_prob[122]      0.91      0.09      0.94      0.78      1.00     29.83      1.05
         det_prob[123]      0.91      0.09      0.94      0.77      1.00     30.51      1.05
         det_prob[124]      0.91      0.09      0.95      0.78      1.00     30.26      1.05
         det_prob[125]      0.91      0.09      0.95      0.78      1.00     30.37      1.05
         det_prob[126]      0.91      0.10      0.95      0.78      1.00     30.82      1.05
         det_prob[127]      0.91      0.10      0.95      0.78      1.00     30.95      1.05
         det_prob[128]      0.91      0.10      0.95      0.78      1.00     31.24      1.04
         det_prob[129]      0.91      0.10      0.95      0.78      1.00     31.24      1.04
         det_prob[130]      0.91      0.10      0.95      0.78      1.00     32.14      1.03
         det_prob[131]      0.92      0.10      0.95      0.78      1.00     32.23      1.03
         det_prob[132]      0.92      0.10      0.95      0.77      1.00     32.17      1.03
         det_prob[133]      0.92      0.10      0.95      0.78      1.00     32.05      1.03
         det_prob[134]      0.91      0.10      0.96      0.77      1.00     32.22      1.03
         det_prob[135]      0.91      0.10      0.96      0.76      1.00     31.91      1.03
         det_prob[136]      0.91      0.11      0.96      0.76      1.00     31.73      1.03
         det_prob[137]      0.91      0.11      0.96      0.76      1.00     31.83      1.03
         det_prob[138]      0.91      0.10      0.96      0.77      1.00     31.85      1.03
         det_prob[139]      0.92      0.10      0.96      0.77      1.00     32.02      1.03
         det_prob[140]      0.92      0.10      0.96      0.77      1.00     32.11      1.03
         det_prob[141]      0.92      0.10      0.96      0.77      1.00     31.55      1.03
         det_prob[142]      0.92      0.10      0.96      0.78      1.00     31.73      1.03
         det_prob[143]      0.92      0.10      0.96      0.78      1.00     31.43      1.03
         det_prob[144]      0.92      0.10      0.97      0.79      1.00     31.45      1.03
