
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.79      0.95      0.49      0.00      1.75   1689.91      1.00
                    E0     45.48     45.16     33.43      0.02     99.19    143.47      1.04
                    H0      2.74      2.62      1.94      0.00      6.35    938.68      1.00
                    I0     29.05     26.15     21.29      0.70     58.23     69.19      1.07
                 beta0      1.32      0.60      1.24      0.42      2.10      6.63      1.66
  confirmed_dispersion      0.30      0.06      0.30      0.21      0.38    905.89      1.00
      death_dispersion      0.34      0.06      0.33      0.25      0.43   2105.44      1.00
            death_prob      0.02      0.00      0.02      0.01      0.02     53.07      1.01
            death_rate      0.05      0.01      0.05      0.03      0.07    307.97      1.01
           det_prob[0]      0.22      0.06      0.22      0.13      0.32    173.62      1.00
           det_prob[1]      0.21      0.06      0.20      0.11      0.31    142.49      1.01
           det_prob[2]      0.20      0.07      0.19      0.09      0.30    140.90      1.01
           det_prob[3]      0.19      0.07      0.18      0.08      0.29    121.98      1.01
           det_prob[4]      0.17      0.07      0.16      0.07      0.27    109.90      1.00
           det_prob[5]      0.16      0.07      0.16      0.06      0.26    102.51      1.01
           det_prob[6]      0.16      0.07      0.15      0.06      0.25     99.39      1.01
           det_prob[7]      0.15      0.07      0.14      0.06      0.25     99.03      1.00
           det_prob[8]      0.15      0.06      0.13      0.05      0.24     98.46      1.01
           det_prob[9]      0.14      0.06      0.13      0.05      0.24     97.45      1.01
          det_prob[10]      0.14      0.06      0.13      0.05      0.22    100.10      1.00
          det_prob[11]      0.14      0.06      0.13      0.05      0.23     95.28      1.00
          det_prob[12]      0.15      0.06      0.14      0.06      0.24     97.76      1.00
          det_prob[13]      0.15      0.06      0.14      0.06      0.23    101.96      1.01
          det_prob[14]      0.15      0.06      0.14      0.05      0.24    102.53      1.00
          det_prob[15]      0.15      0.06      0.14      0.07      0.25    106.09      1.00
          det_prob[16]      0.16      0.06      0.15      0.06      0.24    112.58      1.01
          det_prob[17]      0.16      0.06      0.15      0.07      0.26    110.70      1.00
          det_prob[18]      0.17      0.06      0.16      0.07      0.26    109.21      1.00
          det_prob[19]      0.17      0.07      0.16      0.07      0.26    109.14      1.00
          det_prob[20]      0.19      0.07      0.17      0.08      0.29    108.59      1.00
          det_prob[21]      0.20      0.07      0.18      0.09      0.30    116.24      1.00
          det_prob[22]      0.21      0.07      0.19      0.10      0.31    110.55      1.00
          det_prob[23]      0.21      0.07      0.20      0.09      0.31    107.10      1.00
          det_prob[24]      0.22      0.08      0.20      0.11      0.34    104.32      1.01
          det_prob[25]      0.22      0.08      0.21      0.10      0.33     99.44      1.00
          det_prob[26]      0.23      0.08      0.21      0.12      0.35     96.26      1.01
          det_prob[27]      0.23      0.09      0.22      0.11      0.36     90.70      1.01
          det_prob[28]      0.24      0.09      0.23      0.11      0.36     82.76      1.01
          det_prob[29]      0.25      0.09      0.23      0.11      0.38     84.68      1.01
          det_prob[30]      0.25      0.10      0.23      0.11      0.39     86.24      1.01
          det_prob[31]      0.27      0.10      0.25      0.13      0.41     81.70      1.02
          det_prob[32]      0.27      0.11      0.25      0.12      0.42     83.69      1.02
          det_prob[33]      0.29      0.11      0.27      0.12      0.44     78.35      1.03
          det_prob[34]      0.30      0.11      0.28      0.13      0.47     70.72      1.03
          det_prob[35]      0.32      0.11      0.29      0.14      0.49     70.57      1.03
          det_prob[36]      0.32      0.12      0.30      0.14      0.50     71.12      1.03
          det_prob[37]      0.34      0.12      0.32      0.16      0.54     66.72      1.04
          det_prob[38]      0.36      0.12      0.34      0.16      0.54     64.41      1.04
          det_prob[39]      0.37      0.13      0.35      0.17      0.56     63.82      1.04
          det_prob[40]      0.38      0.13      0.36      0.18      0.58     66.26      1.04
          det_prob[41]      0.39      0.13      0.37      0.18      0.58     68.46      1.04
          det_prob[42]      0.41      0.14      0.39      0.20      0.62     63.13      1.05
          det_prob[43]      0.42      0.14      0.40      0.20      0.62     63.31      1.05
          det_prob[44]      0.44      0.14      0.42      0.22      0.65     61.72      1.05
          det_prob[45]      0.45      0.14      0.44      0.24      0.68     62.64      1.05
          det_prob[46]      0.47      0.14      0.45      0.24      0.69     60.59      1.05
          det_prob[47]      0.49      0.14      0.47      0.26      0.71     60.59      1.05
          det_prob[48]      0.50      0.14      0.49      0.26      0.72     62.43      1.04
          det_prob[49]      0.52      0.15      0.50      0.29      0.76     59.60      1.04
          det_prob[50]      0.54      0.14      0.53      0.30      0.76     58.72      1.05
          det_prob[51]      0.55      0.15      0.54      0.31      0.78     56.52      1.04
          det_prob[52]      0.56      0.15      0.55      0.31      0.79     58.23      1.04
          det_prob[53]      0.58      0.15      0.57      0.33      0.81     60.93      1.03
          det_prob[54]      0.59      0.15      0.59      0.36      0.84     61.43      1.03
          det_prob[55]      0.61      0.14      0.61      0.39      0.88     61.67      1.03
          det_prob[56]      0.62      0.14      0.63      0.40      0.88     60.47      1.02
          det_prob[57]      0.64      0.14      0.64      0.40      0.86     60.49      1.02
          det_prob[58]      0.65      0.14      0.66      0.42      0.88     62.93      1.02
          det_prob[59]      0.67      0.14      0.67      0.45      0.89     61.99      1.02
          det_prob[60]      0.68      0.13      0.69      0.47      0.90     60.87      1.02
          det_prob[61]      0.69      0.13      0.70      0.47      0.89     61.16      1.01
          det_prob[62]      0.70      0.13      0.71      0.51      0.93     62.32      1.01
          det_prob[63]      0.72      0.12      0.72      0.52      0.92     61.19      1.01
          det_prob[64]      0.72      0.12      0.74      0.51      0.92     61.53      1.01
          det_prob[65]      0.73      0.12      0.75      0.54      0.94     56.98      1.00
          det_prob[66]      0.74      0.12      0.76      0.54      0.93     56.22      1.00
          det_prob[67]      0.75      0.12      0.77      0.55      0.94     56.94      1.00
          det_prob[68]      0.75      0.12      0.77      0.58      0.96     54.42      1.00
          det_prob[69]      0.76      0.12      0.78      0.57      0.96     54.28      1.00
          det_prob[70]      0.76      0.13      0.78      0.57      0.96     55.50      1.00
