
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.81      0.97      0.51      0.01      1.87   1696.63      1.00
                    E0      7.47      9.00      4.60      0.00     18.43     81.16      1.06
                    H0      1.37      1.38      0.91      0.00      3.16   1600.50      1.00
                    I0      4.26      6.85      2.16      0.00     10.53     83.18      1.08
                 beta0      1.13      0.60      1.03      0.34      1.88      5.05      1.77
  confirmed_dispersion      0.51      0.08      0.51      0.40      0.65   1424.42      1.00
      death_dispersion      0.34      0.06      0.33      0.23      0.43   2232.10      1.00
            death_prob      0.03      0.01      0.03      0.01      0.04     35.31      1.02
            death_rate      0.05      0.01      0.05      0.04      0.07    200.32      1.00
           det_prob[0]      0.24      0.06      0.23      0.13      0.33    186.31      1.00
           det_prob[1]      0.22      0.07      0.22      0.12      0.34    186.97      1.00
           det_prob[2]      0.21      0.07      0.20      0.10      0.33    170.38      1.00
           det_prob[3]      0.20      0.08      0.19      0.08      0.31    158.54      1.00
           det_prob[4]      0.19      0.08      0.18      0.08      0.31    150.15      1.00
           det_prob[5]      0.18      0.08      0.17      0.06      0.28    145.99      1.00
           det_prob[6]      0.17      0.07      0.16      0.05      0.28    133.46      1.00
           det_prob[7]      0.16      0.07      0.15      0.05      0.27    132.82      1.00
           det_prob[8]      0.16      0.07      0.15      0.04      0.26    125.99      1.00
           det_prob[9]      0.15      0.07      0.14      0.05      0.25    127.99      1.00
          det_prob[10]      0.15      0.07      0.14      0.05      0.25    138.04      1.00
          det_prob[11]      0.15      0.07      0.14      0.04      0.24    132.28      1.00
          det_prob[12]      0.14      0.07      0.13      0.04      0.24    128.41      1.00
          det_prob[13]      0.14      0.07      0.13      0.03      0.23    129.39      1.00
          det_prob[14]      0.14      0.07      0.13      0.04      0.23    127.72      1.00
          det_prob[15]      0.14      0.07      0.13      0.04      0.23    126.30      1.00
          det_prob[16]      0.14      0.06      0.13      0.04      0.23    115.75      1.00
          det_prob[17]      0.14      0.06      0.13      0.04      0.23    124.21      1.00
          det_prob[18]      0.14      0.06      0.13      0.04      0.23    123.67      1.00
          det_prob[19]      0.14      0.06      0.13      0.04      0.23    117.43      1.00
          det_prob[20]      0.14      0.06      0.13      0.04      0.23    124.46      1.00
          det_prob[21]      0.14      0.06      0.13      0.04      0.23    120.68      1.00
          det_prob[22]      0.14      0.06      0.14      0.05      0.24    116.72      1.00
          det_prob[23]      0.15      0.06      0.14      0.04      0.24    105.93      1.00
          det_prob[24]      0.16      0.06      0.15      0.05      0.24     96.19      1.00
          det_prob[25]      0.16      0.07      0.15      0.06      0.26     90.55      1.00
          det_prob[26]      0.17      0.07      0.16      0.07      0.28     93.03      1.00
          det_prob[27]      0.17      0.07      0.17      0.06      0.28     93.37      1.00
          det_prob[28]      0.18      0.07      0.17      0.07      0.29     97.61      1.00
          det_prob[29]      0.19      0.07      0.18      0.07      0.30     91.88      1.00
          det_prob[30]      0.20      0.08      0.19      0.08      0.32     85.28      1.00
          det_prob[31]      0.20      0.08      0.19      0.08      0.32     86.96      1.00
          det_prob[32]      0.21      0.08      0.19      0.08      0.33     87.26      1.00
          det_prob[33]      0.21      0.08      0.20      0.08      0.33     83.05      1.00
          det_prob[34]      0.22      0.08      0.21      0.08      0.34     77.62      1.00
          det_prob[35]      0.22      0.08      0.21      0.09      0.36     73.76      1.00
          det_prob[36]      0.23      0.09      0.21      0.08      0.36     69.68      1.00
          det_prob[37]      0.22      0.09      0.22      0.09      0.36     67.67      1.00
          det_prob[38]      0.22      0.09      0.21      0.08      0.34     64.94      1.00
          det_prob[39]      0.21      0.09      0.19      0.08      0.34     64.51      1.00
          det_prob[40]      0.19      0.08      0.18      0.07      0.33     64.36      1.00
          det_prob[41]      0.18      0.08      0.17      0.06      0.30     60.88      1.00
          det_prob[42]      0.16      0.08      0.15      0.04      0.27     61.77      1.01
          det_prob[43]      0.15      0.08      0.13      0.04      0.25     59.08      1.01
          det_prob[44]      0.14      0.08      0.12      0.03      0.24     58.49      1.01
          det_prob[45]      0.13      0.08      0.11      0.03      0.23     60.81      1.02
          det_prob[46]      0.12      0.08      0.10      0.02      0.23     58.61      1.01
          det_prob[47]      0.12      0.08      0.10      0.02      0.22     55.51      1.01
          det_prob[48]      0.12      0.08      0.10      0.02      0.22     52.93      1.02
          det_prob[49]      0.12      0.08      0.10      0.02      0.22     52.26      1.01
          det_prob[50]      0.12      0.08      0.10      0.02      0.22     50.37      1.01
          det_prob[51]      0.12      0.08      0.10      0.02      0.22     49.77      1.01
          det_prob[52]      0.12      0.08      0.10      0.02      0.22     47.74      1.01
          det_prob[53]      0.13      0.09      0.11      0.02      0.23     48.13      1.01
          det_prob[54]      0.13      0.09      0.11      0.02      0.24     47.35      1.01
          det_prob[55]      0.14      0.09      0.12      0.02      0.25     46.17      1.01
          det_prob[56]      0.15      0.10      0.13      0.03      0.27     46.06      1.01
          det_prob[57]      0.16      0.10      0.13      0.03      0.29     46.22      1.01
          det_prob[58]      0.17      0.10      0.14      0.03      0.30     47.55      1.01
          det_prob[59]      0.18      0.11      0.16      0.04      0.32     47.86      1.00
          det_prob[60]      0.20      0.12      0.17      0.04      0.34     50.26      1.00
          det_prob[61]      0.21      0.12      0.18      0.04      0.38     50.64      1.00
          det_prob[62]      0.23      0.12      0.21      0.05      0.40     50.19      1.00
          det_prob[63]      0.26      0.13      0.24      0.06      0.44     50.13      1.00
          det_prob[64]      0.28      0.13      0.26      0.08      0.47     50.56      1.00
          det_prob[65]      0.30      0.14      0.28      0.09      0.50     54.17      1.00
          det_prob[66]      0.32      0.14      0.30      0.10      0.53     56.19      1.00
          det_prob[67]      0.34      0.14      0.32      0.11      0.55     57.51      1.00
          det_prob[68]      0.36      0.15      0.34      0.14      0.59     57.05      1.00
          det_prob[69]      0.37      0.15      0.36      0.13      0.61     57.70      1.00
          det_prob[70]      0.40      0.15      0.39      0.15      0.64     58.35      1.00
          det_prob[71]      0.42      0.15      0.41      0.18      0.67     56.77      1.00
          det_prob[72]      0.44      0.15      0.43      0.17      0.67     54.89      1.00
          det_prob[73]      0.46      0.15      0.44      0.22      0.71     53.82      1.01
          det_prob[74]      0.46      0.16      0.45      0.21      0.71     55.02      1.01
          det_prob[75]      0.47      0.16      0.46      0.19      0.71     52.20      1.01
          det_prob[76]      0.48      0.16      0.47      0.20      0.73     52.57      1.01
          det_prob[77]      0.48      0.16      0.47      0.21      0.74     50.50      1.01
          det_prob[78]      0.49      0.17      0.48      0.21      0.75     52.45      1.02
          det_prob[79]      0.49      0.17      0.48      0.24      0.79     53.42      1.02
          det_prob[80]      0.50      0.17      0.49      0.22      0.79     50.71      1.02
          det_prob[81]      0.50      0.17      0.50      0.25      0.82     48.75      1.02
          det_prob[82]      0.51      0.18      0.51      0.25      0.82     50.71      1.03
          det_prob[83]      0.52      0.18      0.52      0.24      0.81     49.34      1.03
          det_prob[84]      0.53      0.18      0.53      0.26      0.83     51.94      1.03
          det_prob[85]      0.54      0.18      0.53      0.22      0.81     50.54      1.03
          det_prob[86]      0.54      0.18      0.54      0.23      0.82     50.03      1.03
          det_prob[87]      0.55      0.18      0.55      0.26      0.84     48.77      1.03
          det_prob[88]      0.56      0.18      0.56      0.25      0.83     46.20      1.03
          det_prob[89]      0.57      0.18      0.57      0.28      0.85     42.59      1.04
          det_prob[90]      0.58      0.18      0.58      0.31      0.88     40.32      1.04
          det_prob[91]      0.59      0.17      0.60      0.34      0.90     39.79      1.05
          det_prob[92]      0.60      0.17      0.61      0.34      0.88     37.64      1.06
          det_prob[93]      0.61      0.17      0.62      0.35      0.90     37.43      1.06
          det_prob[94]      0.62      0.17      0.64      0.35      0.89     37.08      1.06
          det_prob[95]      0.63      0.17      0.65      0.35      0.90     34.86      1.07
          det_prob[96]      0.64      0.17      0.66      0.37      0.92     35.01      1.07
          det_prob[97]      0.65      0.17      0.66      0.38      0.93     35.34      1.07
          det_prob[98]      0.65      0.17      0.67      0.38      0.92     35.03      1.08
          det_prob[99]      0.66      0.17      0.68      0.40      0.93     34.06      1.08
         det_prob[100]      0.66      0.17      0.67      0.39      0.93     34.52      1.08
         det_prob[101]      0.66      0.17      0.67      0.40      0.95     33.19      1.08
         det_prob[102]      0.66      0.18      0.68      0.38      0.95     32.10      1.08
         det_prob[103]      0.66      0.18      0.69      0.37      0.94     31.46      1.08
         det_prob[104]      0.66      0.19      0.69      0.37      0.95     30.07      1.09
         det_prob[105]      0.66      0.19      0.69      0.35      0.94     28.96      1.09
         det_prob[106]      0.66      0.19      0.68      0.36      0.95     28.20      1.10
         det_prob[107]      0.66      0.19      0.68      0.38      0.97     28.35      1.10
         det_prob[108]      0.66      0.19      0.68      0.38      0.97     28.09      1.11
         det_prob[109]      0.66      0.19      0.69      0.37      0.97     28.65      1.11
         det_prob[110]      0.67      0.19      0.69      0.38      0.97     28.59      1.11
         det_prob[111]      0.67      0.19      0.70      0.38      0.97     28.41      1.11
         det_prob[112]      0.67      0.20      0.69      0.38      0.98     28.43      1.10
         det_prob[113]      0.67      0.20      0.69      0.38      0.98     28.69      1.09
         det_prob[114]      0.68      0.20      0.70      0.39      0.99     28.34      1.09
         det_prob[115]      0.68      0.20      0.71      0.39      0.98     27.91      1.09
         det_prob[116]      0.68      0.20      0.72      0.39      0.98     27.70      1.09
         det_prob[117]      0.68      0.20      0.72      0.39      0.98     27.67      1.09
         det_prob[118]      0.69      0.20      0.72      0.39      0.99     27.52      1.09
         det_prob[119]      0.69      0.20      0.73      0.40      0.99     27.97      1.09
         det_prob[120]      0.70      0.20      0.73      0.40      0.99     27.46      1.10
         det_prob[121]      0.70      0.20      0.74      0.39      0.98     28.26      1.09
         det_prob[122]      0.70      0.20      0.74      0.40      0.98     27.71      1.09
         det_prob[123]      0.71      0.19      0.75      0.41      0.98     27.35      1.09
         det_prob[124]      0.71      0.20      0.75      0.41      0.98     27.78      1.09
         det_prob[125]      0.71      0.20      0.76      0.41      0.99     27.80      1.09
         det_prob[126]      0.72      0.20      0.76      0.41      0.99     27.48      1.09
         det_prob[127]      0.72      0.20      0.76      0.42      0.99     27.22      1.09
         det_prob[128]      0.72      0.19      0.77      0.42      0.99     26.95      1.09
         det_prob[129]      0.73      0.19      0.78      0.43      0.99     27.69      1.09
         det_prob[130]      0.73      0.19      0.78      0.43      0.99     27.85      1.08
         det_prob[131]      0.73      0.20      0.79      0.43      0.99     28.18      1.08
         det_prob[132]      0.74      0.20      0.79      0.43      0.99     28.63      1.07
         det_prob[133]      0.74      0.20      0.79      0.42      0.99     29.06      1.07
         det_prob[134]      0.74      0.20      0.80      0.43      0.99     29.09      1.07
         det_prob[135]      0.75      0.20      0.80      0.44      0.99     29.63      1.07
         det_prob[136]      0.75      0.20      0.81      0.45      0.99     29.84      1.07
         det_prob[137]      0.75      0.20      0.82      0.45      1.00     29.65      1.07
         det_prob[138]      0.75      0.20      0.81      0.45      1.00     29.73      1.06
         det_prob[139]      0.75      0.20      0.82      0.45      0.99     29.77      1.06
         det_prob[140]      0.76      0.20      0.83      0.45      0.99     29.91      1.06
         det_prob[141]      0.76      0.20      0.83      0.43      1.00     30.23      1.06
         det_prob[142]      0.76      0.20      0.83      0.43      0.99     30.23      1.06
         det_prob[143]      0.76      0.20      0.84      0.43      1.00     30.11      1.05
         det_prob[144]      0.76      0.20      0.84      0.43      0.99     29.87      1.05
         det_prob[145]      0.77      0.20      0.84      0.43      1.00     29.82      1.04
         det_prob[146]      0.77      0.20      0.85      0.43      1.00     29.72      1.04
         det_prob[147]      0.77      0.20      0.84      0.45      1.00     29.82      1.05
         det_prob[148]      0.78      0.20      0.85      0.46      1.00     30.13      1.04
         det_prob[149]      0.79      0.19      0.86      0.47      1.00     30.29      1.04
         det_prob[150]      0.79      0.19      0.86      0.49      1.00     30.07      1.04
         det_prob[151]      0.79      0.19      0.86      0.49      1.00     31.25      1.04
         det_prob[152]      0.79      0.19      0.86      0.49      1.00     31.50      1.04
         det_prob[153]      0.80      0.19      0.86      0.48      1.00     31.43      1.04
         det_prob[154]      0.80      0.18      0.87      0.50      1.00     31.71      1.04
         det_prob[155]      0.81      0.18      0.87      0.51      1.00     31.84      1.04
         det_prob[156]      0.81      0.18      0.87      0.52      1.00     32.49      1.04
