
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0     14.24      4.60     13.55      6.98     21.24    445.10      1.00
                    E0   1644.35   1049.02   1446.62    122.94   3169.41     29.19      1.08
                    H0     39.20     18.11     37.89     10.46     68.24    108.15      1.01
                    I0    777.51    452.56    649.94    230.72   1476.59     26.49      1.07
                 beta0      1.80      0.82      1.58      0.78      3.03      3.27      1.90
  confirmed_dispersion      0.10      0.00      0.10      0.10      0.11   1056.90      1.00
      death_dispersion      0.11      0.00      0.10      0.10      0.11    819.21      1.00
            death_prob      0.02      0.00      0.02      0.02      0.02     88.19      1.01
            death_rate      0.05      0.01      0.05      0.04      0.06     33.39      1.03
           det_prob[0]      0.19      0.05      0.19      0.12      0.27     52.24      1.00
           det_prob[1]      0.17      0.04      0.16      0.10      0.23     60.05      1.00
           det_prob[2]      0.16      0.04      0.15      0.09      0.22     64.08      1.00
           det_prob[3]      0.14      0.04      0.13      0.07      0.19     65.33      1.01
           det_prob[4]      0.12      0.04      0.12      0.06      0.17     64.06      1.01
           det_prob[5]      0.12      0.03      0.11      0.07      0.16     64.22      1.01
           det_prob[6]      0.11      0.03      0.11      0.07      0.16     63.53      1.01
           det_prob[7]      0.11      0.03      0.10      0.06      0.15     65.27      1.01
           det_prob[8]      0.10      0.03      0.10      0.06      0.14     64.80      1.02
           det_prob[9]      0.09      0.03      0.09      0.05      0.13     74.85      1.01
          det_prob[10]      0.09      0.03      0.08      0.05      0.13     74.37      1.01
          det_prob[11]      0.09      0.03      0.09      0.05      0.13     79.14      1.01
          det_prob[12]      0.09      0.03      0.09      0.05      0.13     84.54      1.00
          det_prob[13]      0.10      0.03      0.09      0.06      0.13     89.88      1.00
          det_prob[14]      0.10      0.03      0.10      0.06      0.15     88.39      1.00
          det_prob[15]      0.11      0.03      0.10      0.06      0.15     81.56      1.00
          det_prob[16]      0.11      0.03      0.10      0.06      0.15     82.28      1.00
          det_prob[17]      0.11      0.03      0.10      0.06      0.15     80.51      1.00
          det_prob[18]      0.11      0.03      0.10      0.07      0.15     81.29      1.01
          det_prob[19]      0.10      0.03      0.10      0.07      0.15     95.08      1.01
          det_prob[20]      0.10      0.03      0.10      0.06      0.14    107.46      1.01
          det_prob[21]      0.11      0.03      0.10      0.07      0.15    116.39      1.01
          det_prob[22]      0.11      0.02      0.10      0.07      0.15    110.61      1.01
          det_prob[23]      0.11      0.03      0.10      0.07      0.14    113.40      1.01
          det_prob[24]      0.11      0.03      0.10      0.07      0.15    104.86      1.01
          det_prob[25]      0.11      0.03      0.11      0.07      0.15    101.90      1.01
          det_prob[26]      0.12      0.03      0.11      0.07      0.16     98.66      1.01
          det_prob[27]      0.12      0.03      0.12      0.08      0.17     93.63      1.02
          det_prob[28]      0.13      0.03      0.12      0.07      0.17     92.80      1.01
          det_prob[29]      0.13      0.03      0.13      0.08      0.18     92.25      1.01
          det_prob[30]      0.14      0.04      0.13      0.09      0.20     97.62      1.01
          det_prob[31]      0.15      0.04      0.14      0.09      0.20     98.47      1.01
          det_prob[32]      0.15      0.04      0.15      0.10      0.22    100.47      1.01
          det_prob[33]      0.16      0.04      0.16      0.09      0.22     91.71      1.01
          det_prob[34]      0.17      0.04      0.17      0.11      0.23     91.29      1.00
          det_prob[35]      0.18      0.04      0.18      0.11      0.25     90.24      1.00
          det_prob[36]      0.19      0.05      0.19      0.12      0.26     88.75      1.00
          det_prob[37]      0.20      0.05      0.20      0.13      0.27     86.39      1.01
          det_prob[38]      0.21      0.05      0.21      0.12      0.28     83.40      1.01
          det_prob[39]      0.22      0.05      0.22      0.14      0.30     84.94      1.00
          det_prob[40]      0.24      0.05      0.23      0.15      0.32     82.81      1.00
          det_prob[41]      0.25      0.05      0.25      0.16      0.33     86.99      1.00
          det_prob[42]      0.27      0.06      0.26      0.17      0.35     84.67      1.00
          det_prob[43]      0.28      0.06      0.27      0.18      0.37     87.72      1.00
          det_prob[44]      0.29      0.06      0.28      0.19      0.38     84.53      1.00
          det_prob[45]      0.30      0.07      0.30      0.19      0.40     80.51      1.01
          det_prob[46]      0.32      0.07      0.31      0.21      0.44     75.16      1.01
          det_prob[47]      0.34      0.07      0.33      0.22      0.46     70.78      1.01
          det_prob[48]      0.35      0.08      0.34      0.22      0.48     64.65      1.01
          det_prob[49]      0.37      0.08      0.36      0.25      0.51     58.33      1.01
          det_prob[50]      0.39      0.09      0.38      0.26      0.54     53.05      1.01
          det_prob[51]      0.40      0.09      0.39      0.26      0.56     48.50      1.00
          det_prob[52]      0.40      0.10      0.40      0.25      0.56     44.57      1.00
          det_prob[53]      0.41      0.10      0.40      0.26      0.58     42.92      1.00
          det_prob[54]      0.43      0.11      0.42      0.24      0.58     41.87      1.00
          det_prob[55]      0.44      0.11      0.44      0.28      0.62     39.85      1.00
          det_prob[56]      0.46      0.11      0.45      0.30      0.64     39.34      1.00
          det_prob[57]      0.48      0.11      0.47      0.30      0.64     36.82      1.00
          det_prob[58]      0.49      0.12      0.47      0.32      0.68     37.29      1.00
          det_prob[59]      0.50      0.12      0.49      0.30      0.67     36.63      1.00
          det_prob[60]      0.51      0.12      0.50      0.30      0.68     35.42      1.00
          det_prob[61]      0.52      0.12      0.51      0.33      0.72     34.99      1.00
          det_prob[62]      0.54      0.12      0.53      0.35      0.75     35.08      1.00
          det_prob[63]      0.55      0.12      0.54      0.35      0.75     33.82      1.00
          det_prob[64]      0.57      0.12      0.56      0.35      0.76     33.51      1.01
          det_prob[65]      0.58      0.12      0.57      0.36      0.78     31.73      1.01
          det_prob[66]      0.59      0.12      0.59      0.39      0.81     30.48      1.01
          det_prob[67]      0.60      0.13      0.60      0.38      0.79     30.06      1.01
          det_prob[68]      0.62      0.13      0.62      0.43      0.84     28.93      1.02
          det_prob[69]      0.63      0.13      0.64      0.41      0.82     28.84      1.02
          det_prob[70]      0.65      0.12      0.66      0.45      0.84     27.70      1.03
          det_prob[71]      0.66      0.12      0.68      0.47      0.87     27.79      1.04
          det_prob[72]      0.67      0.12      0.69      0.47      0.85     28.08      1.05
          det_prob[73]      0.68      0.12      0.69      0.48      0.86     27.98      1.05
