
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0     15.92      8.23     14.07      4.67     26.13    978.92      1.00
                    E0   1209.94   1056.45    944.32      0.68   2540.93    118.22      1.06
                    H0     46.43     21.98     43.97     12.48     79.49    430.97      1.02
                    I0    767.08    771.90    472.47     30.94   1837.96     34.58      1.13
                 beta0      1.18      0.59      1.09      0.35      2.00      6.09      1.80
  confirmed_dispersion      0.40      0.06      0.40      0.30      0.50    918.04      1.01
      death_dispersion      0.29      0.03      0.29      0.24      0.35   1690.19      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     42.71      1.00
            death_rate      0.05      0.01      0.05      0.04      0.07    141.96      1.00
           det_prob[0]      0.19      0.05      0.19      0.11      0.27    283.36      1.00
           det_prob[1]      0.17      0.05      0.17      0.09      0.25    269.58      1.00
           det_prob[2]      0.15      0.05      0.15      0.07      0.23    236.91      1.00
           det_prob[3]      0.14      0.05      0.14      0.06      0.22    219.37      1.00
           det_prob[4]      0.14      0.05      0.13      0.05      0.21    190.75      1.00
           det_prob[5]      0.13      0.05      0.13      0.06      0.21    178.01      1.00
           det_prob[6]      0.13      0.05      0.13      0.06      0.20    162.11      1.00
           det_prob[7]      0.13      0.05      0.12      0.06      0.20    178.96      1.00
           det_prob[8]      0.13      0.05      0.12      0.05      0.19    179.21      1.00
           det_prob[9]      0.12      0.05      0.12      0.05      0.19    174.18      1.00
          det_prob[10]      0.12      0.05      0.11      0.05      0.19    154.23      1.00
          det_prob[11]      0.12      0.05      0.11      0.05      0.18    156.88      1.00
          det_prob[12]      0.12      0.05      0.11      0.05      0.18    168.96      1.00
          det_prob[13]      0.12      0.05      0.11      0.05      0.19    183.52      1.00
          det_prob[14]      0.12      0.05      0.12      0.05      0.19    167.54      1.00
          det_prob[15]      0.12      0.05      0.12      0.05      0.19    173.90      1.00
          det_prob[16]      0.13      0.05      0.12      0.05      0.20    182.98      1.00
          det_prob[17]      0.13      0.05      0.12      0.05      0.20    172.23      1.00
          det_prob[18]      0.14      0.05      0.13      0.06      0.21    175.24      1.00
          det_prob[19]      0.14      0.05      0.13      0.06      0.22    165.18      1.00
          det_prob[20]      0.15      0.06      0.14      0.06      0.23    170.73      1.00
          det_prob[21]      0.16      0.06      0.15      0.07      0.24    161.30      1.00
          det_prob[22]      0.17      0.06      0.16      0.08      0.26    150.10      1.00
          det_prob[23]      0.18      0.06      0.17      0.08      0.27    144.31      1.00
          det_prob[24]      0.19      0.06      0.17      0.09      0.28    126.68      1.01
          det_prob[25]      0.20      0.07      0.18      0.09      0.29    112.07      1.01
          det_prob[26]      0.21      0.07      0.19      0.09      0.31    112.99      1.01
          det_prob[27]      0.21      0.08      0.20      0.09      0.32    111.98      1.01
          det_prob[28]      0.23      0.08      0.22      0.11      0.35    108.46      1.01
          det_prob[29]      0.24      0.08      0.23      0.11      0.36    101.84      1.01
          det_prob[30]      0.25      0.09      0.23      0.11      0.37     98.75      1.01
          det_prob[31]      0.26      0.09      0.25      0.11      0.39     91.55      1.01
          det_prob[32]      0.27      0.09      0.26      0.13      0.40     91.44      1.02
          det_prob[33]      0.28      0.10      0.26      0.12      0.42     87.39      1.02
          det_prob[34]      0.28      0.10      0.27      0.12      0.43     77.99      1.01
          det_prob[35]      0.28      0.10      0.27      0.13      0.45     71.75      1.02
          det_prob[36]      0.29      0.11      0.27      0.13      0.45     68.56      1.03
