
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.88      1.22      0.53      0.00      2.05    928.48      1.00
                    E0      5.21      6.81      2.88      0.00     12.62    125.61      1.04
                    H0      0.88      0.85      0.64      0.00      2.02   1738.36      1.00
                    I0      3.50      5.94      1.62      0.00      8.39    194.17      1.03
                 beta0      0.98      0.51      0.91      0.28      1.65      9.52      1.43
  confirmed_dispersion      0.38      0.07      0.37      0.28      0.49   2011.62      1.00
      death_dispersion      0.41      0.08      0.40      0.27      0.53   1912.37      1.00
            death_prob      0.01      0.00      0.01      0.00      0.01     24.79      1.00
            death_rate      0.05      0.01      0.05      0.04      0.07    233.14      1.00
           det_prob[0]      0.25      0.07      0.25      0.13      0.35    150.12      1.00
           det_prob[1]      0.24      0.07      0.23      0.11      0.35    128.31      1.01
           det_prob[2]      0.23      0.08      0.22      0.10      0.36    123.15      1.00
           det_prob[3]      0.22      0.09      0.21      0.08      0.34    109.98      1.00
           det_prob[4]      0.21      0.09      0.20      0.07      0.34    104.99      1.00
           det_prob[5]      0.21      0.09      0.19      0.06      0.33    100.28      1.01
           det_prob[6]      0.20      0.09      0.18      0.06      0.32     99.61      1.01
           det_prob[7]      0.19      0.09      0.18      0.05      0.32     98.84      1.01
           det_prob[8]      0.19      0.09      0.17      0.05      0.31     94.12      1.01
           det_prob[9]      0.18      0.09      0.17      0.05      0.31     92.13      1.00
          det_prob[10]      0.18      0.09      0.16      0.05      0.31     89.81      1.00
          det_prob[11]      0.18      0.09      0.16      0.05      0.31     90.85      1.00
          det_prob[12]      0.18      0.09      0.16      0.05      0.32     88.07      1.00
          det_prob[13]      0.18      0.09      0.16      0.05      0.31     82.16      1.01
          det_prob[14]      0.18      0.09      0.16      0.04      0.30     80.99      1.01
          det_prob[15]      0.18      0.09      0.16      0.05      0.31     81.82      1.01
          det_prob[16]      0.18      0.09      0.16      0.04      0.30     77.84      1.00
          det_prob[17]      0.17      0.09      0.16      0.05      0.30     79.24      1.01
          det_prob[18]      0.17      0.09      0.15      0.04      0.30     75.99      1.00
          det_prob[19]      0.17      0.08      0.16      0.04      0.29     68.78      1.00
          det_prob[20]      0.17      0.08      0.16      0.04      0.29     65.59      1.00
          det_prob[21]      0.17      0.08      0.16      0.04      0.29     64.36      1.00
          det_prob[22]      0.17      0.08      0.15      0.05      0.29     64.40      1.00
          det_prob[23]      0.17      0.08      0.15      0.05      0.28     62.23      1.01
          det_prob[24]      0.16      0.08      0.14      0.05      0.27     59.49      1.00
          det_prob[25]      0.15      0.08      0.14      0.04      0.26     57.53      1.01
          det_prob[26]      0.15      0.07      0.13      0.04      0.25     56.77      1.00
          det_prob[27]      0.14      0.07      0.13      0.04      0.25     54.79      1.00
          det_prob[28]      0.14      0.07      0.12      0.04      0.24     54.23      1.01
          det_prob[29]      0.13      0.07      0.12      0.04      0.23     56.02      1.00
          det_prob[30]      0.13      0.07      0.12      0.03      0.22     56.26      1.00
          det_prob[31]      0.13      0.07      0.12      0.03      0.22     55.87      1.00
          det_prob[32]      0.13      0.06      0.12      0.03      0.21     55.28      1.01
          det_prob[33]      0.13      0.06      0.12      0.04      0.22     54.52      1.01
          det_prob[34]      0.12      0.06      0.11      0.04      0.22     48.79      1.01
          det_prob[35]      0.12      0.06      0.11      0.03      0.20     46.29      1.01
          det_prob[36]      0.11      0.06      0.10      0.03      0.20     47.19      1.01
          det_prob[37]      0.11      0.06      0.10      0.03      0.20     45.67      1.01
          det_prob[38]      0.11      0.06      0.10      0.03      0.19     46.96      1.01
          det_prob[39]      0.11      0.06      0.10      0.03      0.20     45.55      1.01
          det_prob[40]      0.11      0.06      0.10      0.03      0.19     43.59      1.01
          det_prob[41]      0.12      0.06      0.11      0.03      0.20     42.28      1.01
          det_prob[42]      0.12      0.06      0.11      0.03      0.21     40.99      1.01
          det_prob[43]      0.12      0.06      0.11      0.02      0.21     41.42      1.01
          det_prob[44]      0.13      0.07      0.12      0.03      0.22     39.35      1.01
          det_prob[45]      0.13      0.07      0.12      0.03      0.23     38.53      1.01
          det_prob[46]      0.13      0.07      0.12      0.03      0.23     38.80      1.01
          det_prob[47]      0.13      0.07      0.12      0.03      0.23     37.82      1.01
          det_prob[48]      0.14      0.07      0.13      0.03      0.23     37.81      1.01
          det_prob[49]      0.14      0.07      0.13      0.04      0.25     35.54      1.02
          det_prob[50]      0.15      0.08      0.13      0.03      0.25     34.33      1.01
          det_prob[51]      0.15      0.08      0.13      0.04      0.27     32.49      1.01
          det_prob[52]      0.16      0.08      0.14      0.03      0.27     33.96      1.01
          det_prob[53]      0.16      0.09      0.15      0.04      0.29     34.39      1.01
          det_prob[54]      0.17      0.09      0.15      0.03      0.30     34.87      1.01
          det_prob[55]      0.18      0.10      0.16      0.03      0.31     33.04      1.01
          det_prob[56]      0.19      0.10      0.17      0.04      0.33     32.64      1.01
          det_prob[57]      0.20      0.11      0.18      0.05      0.35     33.09      1.01
          det_prob[58]      0.21      0.11      0.19      0.04      0.37     33.10      1.01
          det_prob[59]      0.22      0.12      0.19      0.04      0.38     31.98      1.01
          det_prob[60]      0.23      0.12      0.21      0.04      0.40     31.76      1.01
          det_prob[61]      0.24      0.12      0.22      0.06      0.42     32.38      1.00
          det_prob[62]      0.25      0.13      0.22      0.05      0.43     32.61      1.00
          det_prob[63]      0.26      0.13      0.24      0.06      0.45     32.77      1.00
          det_prob[64]      0.27      0.13      0.24      0.07      0.48     32.88      1.00
          det_prob[65]      0.27      0.14      0.25      0.07      0.47     32.90      1.00
          det_prob[66]      0.29      0.14      0.26      0.07      0.50     32.52      1.00
          det_prob[67]      0.29      0.14      0.27      0.08      0.52     33.64      1.00
          det_prob[68]      0.30      0.14      0.29      0.06      0.52     33.72      1.00
          det_prob[69]      0.32      0.15      0.30      0.08      0.55     33.35      1.00
          det_prob[70]      0.34      0.15      0.32      0.09      0.57     33.78      1.00
          det_prob[71]      0.35      0.16      0.33      0.10      0.59     34.04      1.00
          det_prob[72]      0.37      0.16      0.35      0.11      0.61     33.24      1.00
          det_prob[73]      0.38      0.16      0.36      0.12      0.63     34.45      1.00
          det_prob[74]      0.40      0.16      0.38      0.15      0.67     34.78      1.00
          det_prob[75]      0.41      0.16      0.40      0.14      0.66     35.10      1.00
          det_prob[76]      0.44      0.16      0.43      0.19      0.71     34.36      1.00
          det_prob[77]      0.46      0.16      0.46      0.20      0.72     34.93      1.00
          det_prob[78]      0.48      0.16      0.48      0.21      0.73     34.47      1.00
          det_prob[79]      0.49      0.17      0.49      0.23      0.77     34.36      1.00
          det_prob[80]      0.50      0.17      0.50      0.22      0.76     34.47      1.00
          det_prob[81]      0.51      0.17      0.51      0.21      0.76     34.89      1.00
          det_prob[82]      0.52      0.17      0.52      0.25      0.79     35.08      1.00
          det_prob[83]      0.54      0.17      0.54      0.28      0.82     35.49      1.00
          det_prob[84]      0.54      0.17      0.54      0.26      0.81     35.22      1.00
          det_prob[85]      0.54      0.17      0.54      0.27      0.83     34.64      1.00
          det_prob[86]      0.55      0.17      0.55      0.25      0.81     33.08      1.00
          det_prob[87]      0.55      0.18      0.54      0.26      0.82     32.86      1.00
          det_prob[88]      0.55      0.18      0.55      0.29      0.86     33.83      1.00
          det_prob[89]      0.55      0.18      0.55      0.23      0.81     33.55      1.00
          det_prob[90]      0.55      0.18      0.56      0.26      0.82     32.80      1.00
          det_prob[91]      0.56      0.18      0.56      0.27      0.84     32.40      1.00
          det_prob[92]      0.56      0.18      0.57      0.25      0.83     31.50      1.00
