
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0     24.56      0.00     24.56     24.56     24.56      3.92      1.48
                    E0      4.65      0.00      4.65      4.65      4.65      0.50       nan
                    H0      1.01      0.00      1.01      1.01      1.01      0.50      1.00
                    I0    208.27      0.00    208.27    208.27    208.27     47.24      1.01
                 beta0      0.19      0.00      0.19      0.19      0.19      0.50      1.00
  confirmed_dispersion      0.61      0.00      0.61      0.61      0.61      3.67      1.52
      death_dispersion      0.50      0.00      0.50      0.50      0.50      7.29      1.02
            death_prob      0.01      0.00      0.01      0.01      0.01      0.50      1.00
            death_rate      0.04      0.00      0.04      0.04      0.04      0.50      1.00
           det_prob[0]      0.25      0.00      0.25      0.25      0.25      0.50      1.00
           det_prob[1]      0.26      0.00      0.26      0.26      0.26      0.50      1.00
           det_prob[2]      0.29      0.00      0.29      0.29      0.29      3.88      1.32
           det_prob[3]      0.31      0.00      0.31      0.31      0.31      4.01      1.51
           det_prob[4]      0.31      0.00      0.31      0.31      0.31      2.95      2.19
           det_prob[5]      0.31      0.00      0.31      0.31      0.31      3.35      1.35
           det_prob[6]      0.34      0.00      0.34      0.34      0.34      6.78      1.05
           det_prob[7]      0.26      0.00      0.26      0.26      0.26      0.50      1.00
           det_prob[8]      0.21      0.00      0.21      0.21      0.21      0.50      1.00
           det_prob[9]      0.18      0.00      0.18      0.18      0.18      0.50      1.00
          det_prob[10]      0.19      0.00      0.19      0.19      0.19      0.50      1.00
          det_prob[11]      0.21      0.00      0.21      0.21      0.21      0.50      1.00
          det_prob[12]      0.28      0.00      0.28      0.28      0.28      3.72      1.66
          det_prob[13]      0.32      0.00      0.32      0.32      0.32      3.32      1.84
          det_prob[14]      0.33      0.00      0.33      0.33      0.33      3.97      1.58
          det_prob[15]      0.42      0.00      0.42      0.42      0.42     10.87      1.02
          det_prob[16]      0.52      0.00      0.52      0.52      0.52      3.62      1.46
          det_prob[17]      0.56      0.00      0.56      0.56      0.56      3.87      1.69
          det_prob[18]      0.50      0.00      0.50      0.50      0.50      6.36      1.42
          det_prob[19]      0.49      0.00      0.49      0.49      0.49      9.03      1.02
          det_prob[20]      0.55      0.00      0.55      0.55      0.55      3.00      2.26
          det_prob[21]      0.44      0.00      0.44      0.44      0.44      4.06      1.67
          det_prob[22]      0.44      0.00      0.44      0.44      0.44      4.58      1.33
          det_prob[23]      0.48      0.00      0.48      0.48      0.48      8.50      1.12
          det_prob[24]      0.40      0.00      0.40      0.40      0.40      5.64      1.20
          det_prob[25]      0.47      0.00      0.47      0.47      0.47      2.98      2.12
          det_prob[26]      0.46      0.00      0.46      0.46      0.46      3.47      1.47
          det_prob[27]      0.44      0.00      0.44      0.44      0.44      8.01      1.32
          det_prob[28]      0.50      0.00      0.50      0.50      0.50      6.39      1.01
          det_prob[29]      0.47      0.00      0.47      0.47      0.47      3.13      1.85
