
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      2.08      1.72      1.63      0.26      4.02    592.28      1.00
                    E0    271.57    185.56    238.51     10.82    529.68    151.04      1.00
                    H0      5.46      4.75      4.19      0.03     11.74    194.69      1.01
                    I0    181.00     99.58    157.30     52.18    303.63    170.98      1.01
                 beta0      1.60      0.64      1.62      0.64      2.48      6.03      1.01
  confirmed_dispersion      0.12      0.01      0.11      0.10      0.14    688.69      1.00
      death_dispersion      0.24      0.02      0.24      0.21      0.27    516.52      1.00
            death_prob      0.02      0.00      0.02      0.02      0.02     48.87      1.00
            death_rate      0.05      0.01      0.04      0.03      0.06     10.49      1.12
           det_prob[0]      0.20      0.05      0.20      0.12      0.28    104.86      1.01
           det_prob[1]      0.18      0.05      0.17      0.09      0.25     98.78      1.02
           det_prob[2]      0.16      0.05      0.16      0.08      0.23     84.72      1.01
           det_prob[3]      0.15      0.05      0.14      0.07      0.21     69.42      1.01
           det_prob[4]      0.14      0.05      0.13      0.07      0.20     45.06      1.02
           det_prob[5]      0.14      0.05      0.13      0.07      0.21     28.09      1.02
           det_prob[6]      0.13      0.04      0.12      0.06      0.19     25.72      1.02
           det_prob[7]      0.13      0.04      0.12      0.06      0.19     21.87      1.03
           det_prob[8]      0.13      0.04      0.12      0.06      0.18     18.51      1.03
           det_prob[9]      0.12      0.04      0.12      0.06      0.18     16.18      1.04
          det_prob[10]      0.12      0.04      0.11      0.06      0.17     16.51      1.04
          det_prob[11]      0.12      0.04      0.12      0.06      0.18     15.94      1.05
          det_prob[12]      0.12      0.04      0.11      0.07      0.18     15.64      1.05
          det_prob[13]      0.12      0.04      0.11      0.07      0.17     18.00      1.05
          det_prob[14]      0.12      0.03      0.11      0.07      0.18     18.79      1.07
          det_prob[15]      0.12      0.03      0.11      0.07      0.18     23.97      1.06
          det_prob[16]      0.12      0.03      0.11      0.07      0.17     31.19      1.07
          det_prob[17]      0.12      0.03      0.12      0.07      0.17     25.34      1.07
          det_prob[18]      0.13      0.04      0.12      0.07      0.18     22.88      1.09
          det_prob[19]      0.13      0.04      0.13      0.08      0.19     21.01      1.09
          det_prob[20]      0.14      0.04      0.14      0.07      0.20     18.38      1.11
          det_prob[21]      0.15      0.04      0.14      0.09      0.21     19.99      1.10
          det_prob[22]      0.15      0.04      0.14      0.09      0.22     19.42      1.11
          det_prob[23]      0.15      0.04      0.14      0.08      0.21     21.65      1.10
          det_prob[24]      0.16      0.05      0.15      0.08      0.22     22.19      1.10
          det_prob[25]      0.17      0.05      0.16      0.09      0.24     20.56      1.11
          det_prob[26]      0.17      0.05      0.17      0.10      0.25     25.67      1.10
          det_prob[27]      0.18      0.05      0.17      0.10      0.26     20.79      1.11
          det_prob[28]      0.18      0.05      0.17      0.11      0.26     21.43      1.10
          det_prob[29]      0.18      0.05      0.17      0.10      0.25     21.30      1.09
          det_prob[30]      0.18      0.05      0.17      0.11      0.26     21.37      1.09
          det_prob[31]      0.19      0.05      0.18      0.11      0.27     21.10      1.08
          det_prob[32]      0.18      0.05      0.18      0.11      0.27     23.04      1.08
          det_prob[33]      0.18      0.05      0.18      0.11      0.26     23.81      1.08
          det_prob[34]      0.18      0.05      0.18      0.11      0.26     30.14      1.07
          det_prob[35]      0.18      0.05      0.17      0.10      0.25     36.11      1.06
          det_prob[36]      0.18      0.05      0.18      0.10      0.25     39.62      1.05
          det_prob[37]      0.18      0.05      0.17      0.10      0.26     40.72      1.04
          det_prob[38]      0.19      0.05      0.18      0.10      0.27     40.94      1.03
          det_prob[39]      0.20      0.05      0.19      0.11      0.28     37.58      1.03
          det_prob[40]      0.21      0.06      0.20      0.12      0.30     41.94      1.02
          det_prob[41]      0.22      0.06      0.21      0.12      0.30     39.76      1.01
          det_prob[42]      0.23      0.06      0.22      0.13      0.31     42.31      1.00
          det_prob[43]      0.24      0.06      0.24      0.14      0.33     46.81      1.00
          det_prob[44]      0.26      0.06      0.25      0.15      0.35     47.50      1.00
          det_prob[45]      0.27      0.06      0.26      0.17      0.37     51.88      1.00
          det_prob[46]      0.30      0.07      0.29      0.20      0.40     50.23      1.00
          det_prob[47]      0.31      0.07      0.30      0.21      0.42     56.55      1.00
          det_prob[48]      0.32      0.07      0.32      0.21      0.43     57.30      1.00
          det_prob[49]      0.33      0.07      0.33      0.22      0.43     51.08      1.00
          det_prob[50]      0.33      0.08      0.32      0.21      0.44     52.77      1.00
          det_prob[51]      0.33      0.08      0.33      0.20      0.44     54.29      1.00
          det_prob[52]      0.34      0.08      0.33      0.21      0.47     55.93      1.00
          det_prob[53]      0.35      0.08      0.34      0.22      0.49     54.66      1.01
          det_prob[54]      0.36      0.08      0.36      0.23      0.49     65.58      1.02
          det_prob[55]      0.38      0.08      0.37      0.26      0.52     64.47      1.02
          det_prob[56]      0.39      0.08      0.38      0.26      0.51     69.70      1.03
          det_prob[57]      0.39      0.08      0.39      0.27      0.53     70.62      1.04
          det_prob[58]      0.40      0.09      0.39      0.24      0.52     66.28      1.04
          det_prob[59]      0.41      0.09      0.40      0.26      0.53     66.23      1.04
          det_prob[60]      0.42      0.09      0.42      0.27      0.54     68.52      1.04
          det_prob[61]      0.44      0.09      0.44      0.31      0.58     68.08      1.04
          det_prob[62]      0.45      0.09      0.45      0.31      0.60     74.45      1.03
          det_prob[63]      0.46      0.09      0.46      0.31      0.60     75.18      1.03
          det_prob[64]      0.47      0.09      0.47      0.33      0.63     74.23      1.03
          det_prob[65]      0.48      0.09      0.48      0.35      0.65     76.59      1.02
