
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.88      1.40      0.50      0.00      2.16   1309.46      1.00
                    E0     48.82     61.80     27.60      0.09    114.91    301.45      1.00
                    H0      1.32      1.42      0.88      0.00      3.09   1213.84      1.00
                    I0     24.63     38.75     12.30      0.01     60.93    201.61      1.00
                 beta0      1.53      0.80      1.31      0.44      2.73     37.37      1.00
  confirmed_dispersion      1.09      0.09      1.09      0.94      1.22   1504.20      1.00
      death_dispersion      0.39      0.05      0.38      0.31      0.46   1418.28      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01    188.60      1.00
            death_rate      0.06      0.01      0.06      0.05      0.08    128.54      1.01
           det_prob[0]      0.20      0.06      0.20      0.11      0.29    533.61      1.00
           det_prob[1]      0.18      0.06      0.17      0.09      0.27    589.75      1.00
           det_prob[2]      0.17      0.06      0.16      0.07      0.25    528.02      1.00
           det_prob[3]      0.15      0.06      0.14      0.06      0.24    445.71      1.00
           det_prob[4]      0.14      0.06      0.13      0.05      0.22    459.86      1.00
           det_prob[5]      0.13      0.05      0.12      0.05      0.21    533.79      1.00
           det_prob[6]      0.12      0.05      0.11      0.04      0.20    452.60      1.00
           det_prob[7]      0.11      0.05      0.11      0.04      0.19    376.38      1.00
           det_prob[8]      0.11      0.05      0.10      0.04      0.18    370.64      1.00
           det_prob[9]      0.10      0.05      0.09      0.04      0.17    368.68      1.00
          det_prob[10]      0.10      0.05      0.09      0.03      0.16    347.40      1.00
          det_prob[11]      0.09      0.04      0.08      0.03      0.15    339.82      1.00
          det_prob[12]      0.09      0.04      0.08      0.03      0.15    344.83      1.00
          det_prob[13]      0.09      0.04      0.08      0.03      0.14    332.94      1.00
          det_prob[14]      0.08      0.04      0.08      0.03      0.14    351.87      1.00
          det_prob[15]      0.08      0.04      0.07      0.02      0.14    353.88      1.00
          det_prob[16]      0.08      0.04      0.07      0.03      0.13    374.54      1.00
          det_prob[17]      0.08      0.04      0.07      0.03      0.13    341.81      1.00
          det_prob[18]      0.08      0.04      0.07      0.03      0.13    341.87      1.00
          det_prob[19]      0.07      0.04      0.07      0.02      0.12    329.78      1.00
          det_prob[20]      0.07      0.04      0.07      0.03      0.13    326.57      1.00
          det_prob[21]      0.07      0.04      0.06      0.02      0.12    330.32      1.00
          det_prob[22]      0.07      0.04      0.06      0.02      0.12    349.62      1.00
          det_prob[23]      0.07      0.04      0.06      0.02      0.12    341.84      1.00
          det_prob[24]      0.07      0.04      0.06      0.02      0.12    317.15      1.00
          det_prob[25]      0.07      0.03      0.06      0.02      0.12    292.16      1.00
          det_prob[26]      0.07      0.03      0.06      0.02      0.12    293.44      1.00
          det_prob[27]      0.07      0.04      0.06      0.02      0.12    310.57      1.00
          det_prob[28]      0.07      0.03      0.06      0.02      0.11    329.19      1.00
          det_prob[29]      0.07      0.03      0.06      0.02      0.11    320.31      1.00
          det_prob[30]      0.07      0.03      0.06      0.02      0.11    315.23      1.00
          det_prob[31]      0.07      0.03      0.06      0.02      0.12    299.14      1.00
          det_prob[32]      0.07      0.04      0.06      0.02      0.12    302.76      1.00
          det_prob[33]      0.07      0.04      0.06      0.02      0.12    287.07      1.00
          det_prob[34]      0.07      0.04      0.06      0.02      0.12    305.07      1.00
          det_prob[35]      0.07      0.04      0.06      0.02      0.12    299.02      1.00
          det_prob[36]      0.07      0.04      0.06      0.02      0.12    327.33      1.00
          det_prob[37]      0.07      0.04      0.07      0.02      0.12    342.81      1.00
          det_prob[38]      0.08      0.04      0.07      0.02      0.13    333.44      1.00
          det_prob[39]      0.08      0.04      0.07      0.02      0.13    317.43      1.00
          det_prob[40]      0.08      0.04      0.07      0.03      0.14    300.04      1.00
          det_prob[41]      0.08      0.04      0.07      0.03      0.14    307.08      1.00
          det_prob[42]      0.09      0.04      0.08      0.02      0.14    313.07      1.00
          det_prob[43]      0.09      0.04      0.08      0.03      0.15    294.96      1.00
          det_prob[44]      0.09      0.05      0.08      0.03      0.15    303.55      1.00
          det_prob[45]      0.09      0.05      0.08      0.03      0.16    281.87      1.00
          det_prob[46]      0.10      0.05      0.09      0.04      0.16    278.01      1.00
          det_prob[47]      0.10      0.05      0.09      0.04      0.17    275.19      1.00
          det_prob[48]      0.11      0.05      0.10      0.04      0.17    239.63      1.00
          det_prob[49]      0.11      0.05      0.10      0.04      0.19    243.01      1.00
          det_prob[50]      0.12      0.06      0.10      0.04      0.20    249.21      1.00
          det_prob[51]      0.12      0.06      0.11      0.04      0.21    254.57      1.00
          det_prob[52]      0.13      0.06      0.11      0.05      0.22    257.13      1.00
          det_prob[53]      0.13      0.06      0.11      0.04      0.22    246.78      1.01
          det_prob[54]      0.14      0.07      0.12      0.04      0.23    231.75      1.01
          det_prob[55]      0.14      0.07      0.13      0.05      0.24    214.52      1.01
          det_prob[56]      0.15      0.07      0.13      0.06      0.26    203.40      1.01
          det_prob[57]      0.16      0.08      0.14      0.05      0.27    198.51      1.01
          det_prob[58]      0.16      0.08      0.14      0.05      0.28    191.88      1.01
          det_prob[59]      0.17      0.09      0.15      0.06      0.30    186.71      1.00
          det_prob[60]      0.18      0.09      0.16      0.05      0.30    186.14      1.00
          det_prob[61]      0.19      0.09      0.17      0.06      0.33    163.94      1.01
          det_prob[62]      0.20      0.10      0.18      0.06      0.33    152.10      1.01
          det_prob[63]      0.21      0.10      0.19      0.06      0.36    139.70      1.00
          det_prob[64]      0.22      0.11      0.20      0.06      0.36    123.85      1.00
          det_prob[65]      0.23      0.11      0.21      0.07      0.39    120.04      1.00
          det_prob[66]      0.25      0.11      0.22      0.09      0.44    113.48      1.00
          det_prob[67]      0.26      0.12      0.23      0.09      0.44    121.25      1.00
          det_prob[68]      0.27      0.12      0.24      0.09      0.47    123.19      1.00
          det_prob[69]      0.28      0.13      0.26      0.11      0.50    121.08      1.00
          det_prob[70]      0.30      0.13      0.27      0.10      0.50    105.82      1.00
          det_prob[71]      0.31      0.14      0.29      0.11      0.53    105.03      1.00
          det_prob[72]      0.32      0.14      0.30      0.11      0.55     99.67      1.00
          det_prob[73]      0.34      0.15      0.32      0.10      0.56    100.52      1.00
          det_prob[74]      0.35      0.15      0.32      0.13      0.60    107.46      1.00
          det_prob[75]      0.36      0.16      0.33      0.13      0.61    105.13      1.00
          det_prob[76]      0.37      0.16      0.34      0.14      0.65    104.92      1.00
          det_prob[77]      0.38      0.17      0.36      0.12      0.64    103.14      1.00
          det_prob[78]      0.39      0.17      0.37      0.14      0.65    100.89      1.00
          det_prob[79]      0.40      0.17      0.38      0.15      0.68     98.50      1.00
          det_prob[80]      0.41      0.17      0.39      0.15      0.70    107.45      1.00
          det_prob[81]      0.42      0.18      0.40      0.13      0.69    103.47      1.00
          det_prob[82]      0.43      0.18      0.42      0.14      0.70    102.55      1.00
          det_prob[83]      0.44      0.18      0.42      0.14      0.71     97.76      1.00
          det_prob[84]      0.45      0.18      0.43      0.14      0.72     97.53      1.00
          det_prob[85]      0.46      0.18      0.44      0.14      0.73     93.52      1.00
          det_prob[86]      0.47      0.19      0.46      0.17      0.79     95.92      1.00
          det_prob[87]      0.48      0.19      0.47      0.18      0.79     90.19      1.00
          det_prob[88]      0.49      0.19      0.48      0.18      0.79     88.21      1.01
          det_prob[89]      0.50      0.19      0.50      0.18      0.79     90.35      1.00
          det_prob[90]      0.51      0.19      0.51      0.18      0.82     86.38      1.00
          det_prob[91]      0.51      0.19      0.51      0.21      0.84     90.09      1.00
          det_prob[92]      0.52      0.19      0.52      0.24      0.86     89.70      1.00
          det_prob[93]      0.53      0.19      0.54      0.25      0.87     93.08      1.01
          det_prob[94]      0.54      0.20      0.55      0.22      0.85     90.41      1.01
          det_prob[95]      0.54      0.20      0.55      0.25      0.88     89.44      1.01
          det_prob[96]      0.55      0.20      0.55      0.24      0.87     90.80      1.01
          det_prob[97]      0.56      0.20      0.56      0.24      0.87     87.32      1.01
          det_prob[98]      0.56      0.20      0.56      0.26      0.90     85.68      1.01
          det_prob[99]      0.57      0.20      0.57      0.24      0.88     85.64      1.01
         det_prob[100]      0.57      0.20      0.57      0.28      0.92     83.79      1.01
         det_prob[101]      0.58      0.20      0.57      0.26      0.91     83.74      1.01
         det_prob[102]      0.58      0.20      0.58      0.25      0.90     84.18      1.01
         det_prob[103]      0.58      0.21      0.58      0.28      0.94     83.90      1.01
         det_prob[104]      0.58      0.21      0.59      0.26      0.92     82.79      1.01
         det_prob[105]      0.59      0.21      0.60      0.28      0.95     81.20      1.01
         det_prob[106]      0.59      0.21      0.60      0.27      0.95     82.42      1.01
         det_prob[107]      0.59      0.21      0.60      0.26      0.93     81.37      1.01
         det_prob[108]      0.60      0.21      0.61      0.25      0.94     79.69      1.01
         det_prob[109]      0.60      0.22      0.62      0.26      0.94     79.04      1.00
         det_prob[110]      0.61      0.21      0.63      0.27      0.95     76.40      1.01
         det_prob[111]      0.61      0.21      0.62      0.26      0.94     76.00      1.01
