
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.60      0.67      0.40      0.00      1.34   1536.01      1.00
                    E0      9.91     12.32      5.73      0.02     24.72    100.37      1.00
                    H0      1.73      1.56      1.27      0.01      3.99   1058.36      1.00
                    I0      4.74      8.09      2.26      0.00     11.01     96.49      1.01
                 beta0      1.60      1.00      1.46      0.34      2.75     10.07      1.08
  confirmed_dispersion      0.21      0.04      0.21      0.15      0.27   1242.64      1.00
      death_dispersion      0.11      0.01      0.11      0.10      0.13   1282.15      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     36.91      1.00
            death_rate      0.05      0.01      0.05      0.04      0.06    160.45      1.00
           det_prob[0]      0.22      0.06      0.22      0.12      0.31    481.95      1.00
           det_prob[1]      0.21      0.06      0.20      0.10      0.30    341.18      1.00
           det_prob[2]      0.19      0.07      0.18      0.09      0.29    278.76      1.00
           det_prob[3]      0.18      0.07      0.17      0.07      0.28    259.33      1.00
           det_prob[4]      0.17      0.07      0.16      0.07      0.28    248.06      1.00
           det_prob[5]      0.16      0.07      0.15      0.06      0.26    220.03      1.00
           det_prob[6]      0.16      0.07      0.14      0.06      0.25    180.54      1.00
           det_prob[7]      0.15      0.07      0.14      0.05      0.25    193.20      1.00
           det_prob[8]      0.15      0.06      0.14      0.05      0.25    186.96      1.00
           det_prob[9]      0.15      0.07      0.14      0.05      0.25    179.70      1.00
          det_prob[10]      0.15      0.07      0.14      0.05      0.25    149.38      1.01
          det_prob[11]      0.16      0.07      0.15      0.06      0.27    142.76      1.01
          det_prob[12]      0.16      0.06      0.14      0.06      0.25    135.06      1.01
          det_prob[13]      0.16      0.06      0.14      0.06      0.25    121.61      1.01
          det_prob[14]      0.15      0.06      0.14      0.06      0.25    128.59      1.00
          det_prob[15]      0.15      0.06      0.14      0.06      0.24    107.34      1.01
          det_prob[16]      0.14      0.06      0.13      0.06      0.23     97.57      1.01
          det_prob[17]      0.13      0.05      0.13      0.05      0.21    102.25      1.01
          det_prob[18]      0.13      0.05      0.12      0.06      0.21    104.77      1.01
          det_prob[19]      0.13      0.05      0.12      0.06      0.21    106.87      1.01
          det_prob[20]      0.13      0.05      0.12      0.05      0.20     99.75      1.01
          det_prob[21]      0.12      0.05      0.12      0.04      0.19     97.04      1.01
          det_prob[22]      0.12      0.04      0.11      0.05      0.18     96.55      1.01
          det_prob[23]      0.12      0.04      0.11      0.05      0.18     90.83      1.01
          det_prob[24]      0.12      0.04      0.11      0.05      0.18     92.25      1.01
          det_prob[25]      0.12      0.04      0.11      0.05      0.19    107.57      1.01
          det_prob[26]      0.12      0.04      0.11      0.05      0.19    110.09      1.01
          det_prob[27]      0.12      0.04      0.11      0.05      0.18    106.77      1.01
          det_prob[28]      0.12      0.04      0.11      0.05      0.18    103.95      1.01
          det_prob[29]      0.12      0.04      0.11      0.05      0.18    101.29      1.01
          det_prob[30]      0.12      0.04      0.11      0.06      0.19    103.39      1.00
          det_prob[31]      0.12      0.04      0.11      0.05      0.18    103.47      1.00
          det_prob[32]      0.12      0.04      0.11      0.05      0.18     94.00      1.01
          det_prob[33]      0.12      0.04      0.11      0.05      0.18     88.73      1.01
          det_prob[34]      0.12      0.04      0.11      0.05      0.18     84.13      1.01
          det_prob[35]      0.11      0.04      0.11      0.05      0.17     89.02      1.01
          det_prob[36]      0.11      0.04      0.11      0.05      0.17     76.15      1.01
          det_prob[37]      0.11      0.04      0.10      0.05      0.16     76.40      1.02
          det_prob[38]      0.10      0.04      0.10      0.04      0.16     88.58      1.01
          det_prob[39]      0.10      0.04      0.10      0.04      0.15     88.00      1.01
          det_prob[40]      0.10      0.04      0.10      0.04      0.15     91.92      1.00
          det_prob[41]      0.11      0.04      0.10      0.04      0.16     91.42      1.00
          det_prob[42]      0.11      0.04      0.11      0.05      0.17     87.02      1.00
          det_prob[43]      0.11      0.04      0.11      0.06      0.17     98.32      1.00
          det_prob[44]      0.12      0.04      0.11      0.05      0.18    109.31      1.00
          det_prob[45]      0.12      0.04      0.11      0.06      0.18    103.61      1.00
          det_prob[46]      0.12      0.04      0.12      0.06      0.19    113.33      1.00
          det_prob[47]      0.13      0.04      0.12      0.05      0.19     98.01      1.00
          det_prob[48]      0.13      0.04      0.13      0.07      0.20     97.46      1.00
          det_prob[49]      0.14      0.05      0.13      0.07      0.21    104.80      1.00
          det_prob[50]      0.15      0.05      0.14      0.07      0.22    107.09      1.00
          det_prob[51]      0.15      0.05      0.15      0.08      0.23    117.70      1.00
          det_prob[52]      0.16      0.05      0.15      0.08      0.24    134.55      1.00
          det_prob[53]      0.17      0.06      0.16      0.08      0.26    141.04      1.00
          det_prob[54]      0.18      0.06      0.17      0.09      0.28    129.12      1.00
          det_prob[55]      0.20      0.06      0.20      0.10      0.30    128.86      1.00
          det_prob[56]      0.23      0.07      0.22      0.11      0.33    108.56      1.00
          det_prob[57]      0.25      0.07      0.25      0.13      0.36    102.05      1.00
          det_prob[58]      0.26      0.08      0.26      0.15      0.38    112.25      1.00
          det_prob[59]      0.28      0.08      0.27      0.15      0.41    110.57      1.00
          det_prob[60]      0.30      0.09      0.29      0.16      0.44    107.97      1.00
          det_prob[61]      0.31      0.09      0.30      0.17      0.45    101.65      1.00
          det_prob[62]      0.33      0.09      0.32      0.17      0.48     94.72      1.00
          det_prob[63]      0.35      0.10      0.34      0.19      0.51     93.57      1.00
          det_prob[64]      0.37      0.10      0.36      0.22      0.54     84.58      1.00
          det_prob[65]      0.39      0.11      0.38      0.22      0.56     82.69      1.00
          det_prob[66]      0.40      0.11      0.39      0.23      0.60     82.33      1.00
          det_prob[67]      0.41      0.12      0.40      0.25      0.63     91.84      1.00
          det_prob[68]      0.42      0.12      0.41      0.22      0.62     89.10      1.00
          det_prob[69]      0.44      0.12      0.43      0.25      0.65     85.63      1.00
          det_prob[70]      0.46      0.13      0.45      0.25      0.66     80.29      1.00
          det_prob[71]      0.48      0.13      0.47      0.27      0.68     91.99      1.00
          det_prob[72]      0.50      0.13      0.49      0.28      0.70     90.18      1.00
          det_prob[73]      0.51      0.13      0.51      0.30      0.72     88.39      1.00
          det_prob[74]      0.53      0.13      0.53      0.33      0.75     83.77      1.00
          det_prob[75]      0.55      0.13      0.55      0.33      0.76     83.47      1.00
          det_prob[76]      0.57      0.13      0.56      0.35      0.78     78.63      1.00
          det_prob[77]      0.58      0.13      0.58      0.37      0.81     84.23      1.00
          det_prob[78]      0.59      0.14      0.59      0.37      0.82     83.67      1.00
          det_prob[79]      0.60      0.14      0.60      0.38      0.83     80.15      1.00
          det_prob[80]      0.61      0.14      0.61      0.38      0.85     76.63      1.00
          det_prob[81]      0.62      0.15      0.62      0.37      0.85     70.27      1.00
          det_prob[82]      0.63      0.15      0.63      0.39      0.87     70.99      1.00
          det_prob[83]      0.63      0.15      0.64      0.39      0.89     71.93      1.00
          det_prob[84]      0.64      0.15      0.65      0.38      0.87     67.38      1.00
          det_prob[85]      0.65      0.15      0.67      0.38      0.88     64.77      1.00
          det_prob[86]      0.66      0.15      0.67      0.41      0.90     66.28      1.00
          det_prob[87]      0.67      0.16      0.69      0.41      0.91     65.87      1.01
          det_prob[88]      0.67      0.16      0.69      0.42      0.93     60.49      1.01
          det_prob[89]      0.68      0.16      0.71      0.45      0.95     60.79      1.01
          det_prob[90]      0.69      0.16      0.72      0.47      0.97     61.11      1.01
          det_prob[91]      0.70      0.15      0.73      0.46      0.94     61.48      1.01
          det_prob[92]      0.71      0.16      0.73      0.45      0.94     60.68      1.01
          det_prob[93]      0.71      0.16      0.74      0.45      0.95     60.16      1.01
          det_prob[94]      0.72      0.16      0.75      0.48      0.97     58.42      1.01
          det_prob[95]      0.72      0.16      0.76      0.48      0.96     59.84      1.01
          det_prob[96]      0.73      0.16      0.77      0.50      0.97     57.45      1.01
          det_prob[97]      0.74      0.16      0.77      0.50      0.98     57.83      1.01
          det_prob[98]      0.74      0.16      0.77      0.50      0.98     56.46      1.01
          det_prob[99]      0.74      0.16      0.78      0.50      0.98     54.36      1.01
         det_prob[100]      0.75      0.16      0.78      0.51      0.98     52.55      1.01
         det_prob[101]      0.75      0.16      0.79      0.51      0.98     49.79      1.01
         det_prob[102]      0.75      0.17      0.79      0.50      0.99     48.91      1.01
         det_prob[103]      0.76      0.17      0.79      0.50      0.98     47.36      1.01
         det_prob[104]      0.76      0.16      0.80      0.53      0.99     46.76      1.00
         det_prob[105]      0.77      0.16      0.81      0.52      0.98     45.69      1.01
         det_prob[106]      0.77      0.16      0.81      0.55      1.00     46.80      1.01
