
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      5.05     32.18      0.92      0.00      6.27    605.23      1.00
                    E0     11.15     12.93      6.81      0.01     26.01    155.85      1.00
                    H0      1.18      1.26      0.75      0.00      2.74   1424.51      1.00
                    I0      5.70      8.94      2.82      0.00     13.39     84.07      1.02
                 beta0      1.41      0.87      1.20      0.32      2.52     17.80      1.04
  confirmed_dispersion      0.35      0.06      0.35      0.26      0.44   1411.69      1.00
      death_dispersion      0.90      0.07      0.89      0.78      1.01   2142.26      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     26.28      1.05
            death_rate      0.05      0.01      0.05      0.03      0.07    110.68      1.00
           det_prob[0]      0.22      0.06      0.21      0.13      0.32    453.18      1.00
           det_prob[1]      0.21      0.06      0.20      0.11      0.30    370.42      1.00
           det_prob[2]      0.19      0.06      0.18      0.09      0.30    286.85      1.00
           det_prob[3]      0.18      0.07      0.17      0.09      0.29    271.55      1.00
           det_prob[4]      0.17      0.07      0.16      0.07      0.27    254.68      1.00
           det_prob[5]      0.16      0.07      0.15      0.07      0.26    241.68      1.00
           det_prob[6]      0.16      0.07      0.14      0.06      0.26    224.04      1.00
           det_prob[7]      0.15      0.07      0.14      0.05      0.25    226.74      1.00
           det_prob[8]      0.15      0.07      0.13      0.05      0.25    215.25      1.01
           det_prob[9]      0.14      0.07      0.13      0.04      0.23    210.60      1.01
          det_prob[10]      0.14      0.06      0.12      0.05      0.24    201.23      1.01
          det_prob[11]      0.13      0.06      0.12      0.04      0.22    182.92      1.01
          det_prob[12]      0.13      0.06      0.12      0.04      0.21    170.67      1.01
          det_prob[13]      0.13      0.06      0.11      0.04      0.21    192.56      1.01
          det_prob[14]      0.12      0.06      0.11      0.04      0.20    181.79      1.01
          det_prob[15]      0.12      0.06      0.11      0.04      0.20    180.36      1.01
          det_prob[16]      0.11      0.05      0.10      0.04      0.19    171.05      1.02
          det_prob[17]      0.11      0.05      0.10      0.03      0.18    167.12      1.02
          det_prob[18]      0.11      0.05      0.10      0.03      0.18    156.99      1.02
          det_prob[19]      0.11      0.05      0.10      0.04      0.19    155.18      1.02
          det_prob[20]      0.11      0.05      0.10      0.04      0.19    151.60      1.02
          det_prob[21]      0.11      0.05      0.10      0.03      0.17    158.36      1.02
          det_prob[22]      0.11      0.05      0.10      0.04      0.17    159.45      1.02
          det_prob[23]      0.11      0.05      0.10      0.04      0.18    159.71      1.02
          det_prob[24]      0.11      0.05      0.10      0.04      0.18    155.41      1.01
          det_prob[25]      0.11      0.05      0.10      0.04      0.18    143.88      1.02
          det_prob[26]      0.11      0.05      0.10      0.04      0.18    140.28      1.01
          det_prob[27]      0.11      0.05      0.10      0.04      0.19    155.27      1.01
          det_prob[28]      0.11      0.05      0.11      0.04      0.19    143.19      1.01
          det_prob[29]      0.12      0.05      0.11      0.04      0.20    147.17      1.02
          det_prob[30]      0.13      0.05      0.12      0.04      0.20    131.16      1.02
          det_prob[31]      0.13      0.05      0.12      0.05      0.21    134.67      1.02
          det_prob[32]      0.14      0.06      0.13      0.05      0.22    124.12      1.02
          det_prob[33]      0.14      0.06      0.13      0.05      0.23    122.83      1.02
          det_prob[34]      0.14      0.06      0.13      0.05      0.23    147.79      1.02
          det_prob[35]      0.14      0.06      0.13      0.06      0.24    119.54      1.03
          det_prob[36]      0.14      0.06      0.14      0.06      0.23    131.95      1.02
          det_prob[37]      0.15      0.06      0.14      0.06      0.24    121.13      1.02
          det_prob[38]      0.15      0.06      0.14      0.05      0.24    103.13      1.03
          det_prob[39]      0.15      0.06      0.14      0.05      0.24    117.00      1.03
          det_prob[40]      0.15      0.06      0.14      0.05      0.25    116.28      1.03
          det_prob[41]      0.15      0.06      0.14      0.05      0.25    115.98      1.03
          det_prob[42]      0.16      0.07      0.14      0.05      0.24    104.02      1.03
          det_prob[43]      0.16      0.07      0.15      0.06      0.26     92.12      1.03
          det_prob[44]      0.17      0.07      0.16      0.06      0.27     81.41      1.02
          det_prob[45]      0.17      0.07      0.16      0.07      0.28     84.16      1.02
          det_prob[46]      0.18      0.07      0.17      0.07      0.29     88.55      1.01
          det_prob[47]      0.18      0.07      0.17      0.07      0.30     83.84      1.02
          det_prob[48]      0.19      0.08      0.18      0.08      0.31     92.77      1.01
          det_prob[49]      0.19      0.08      0.18      0.08      0.32     95.93      1.01
          det_prob[50]      0.20      0.08      0.19      0.07      0.32    103.86      1.01
          det_prob[51]      0.21      0.08      0.20      0.08      0.33    105.10      1.01
          det_prob[52]      0.22      0.08      0.21      0.08      0.34     98.69      1.01
          det_prob[53]      0.22      0.08      0.21      0.10      0.36     84.45      1.02
          det_prob[54]      0.23      0.08      0.21      0.10      0.37     77.12      1.02
          det_prob[55]      0.22      0.09      0.21      0.09      0.36     80.58      1.02
          det_prob[56]      0.22      0.09      0.21      0.09      0.36     86.62      1.02
          det_prob[57]      0.23      0.09      0.21      0.09      0.37     85.18      1.01
          det_prob[58]      0.23      0.09      0.22      0.08      0.37     86.91      1.01
          det_prob[59]      0.24      0.09      0.22      0.10      0.40     92.81      1.01
