
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.09      1.85      0.56      0.00      2.50    933.07      1.00
                    E0     41.34     42.80     29.60      0.04     94.76    112.89      1.00
                    H0      3.52      3.06      2.72      0.00      7.51   1412.94      1.00
                    I0     18.15     16.83     13.75      0.65     36.02     35.82      1.02
                 beta0      2.34      1.08      2.28      0.81      3.68      7.72      1.05
  confirmed_dispersion      0.12      0.02      0.12      0.10      0.15    836.28      1.00
      death_dispersion      0.47      0.03      0.47      0.41      0.52   2413.69      1.00
            death_prob      0.02      0.00      0.02      0.02      0.02     19.57      1.02
            death_rate      0.04      0.01      0.04      0.03      0.05     80.74      1.01
           det_prob[0]      0.17      0.05      0.16      0.09      0.24    323.56      1.00
           det_prob[1]      0.15      0.05      0.14      0.07      0.21    280.42      1.00
           det_prob[2]      0.13      0.04      0.12      0.06      0.19    261.61      1.00
           det_prob[3]      0.11      0.04      0.11      0.05      0.17    236.78      1.00
           det_prob[4]      0.10      0.04      0.10      0.04      0.15    211.53      1.00
           det_prob[5]      0.09      0.04      0.09      0.04      0.14    189.34      1.00
           det_prob[6]      0.08      0.03      0.08      0.04      0.13    173.84      1.00
           det_prob[7]      0.08      0.03      0.07      0.03      0.12    126.98      1.01
           det_prob[8]      0.07      0.03      0.07      0.04      0.11    106.67      1.01
           det_prob[9]      0.07      0.03      0.07      0.04      0.11     95.73      1.01
          det_prob[10]      0.06      0.02      0.06      0.03      0.10     67.86      1.02
          det_prob[11]      0.06      0.02      0.06      0.03      0.09     87.83      1.02
          det_prob[12]      0.06      0.02      0.06      0.03      0.09     94.57      1.02
          det_prob[13]      0.06      0.02      0.06      0.03      0.09     99.90      1.03
          det_prob[14]      0.07      0.02      0.06      0.04      0.10    103.12      1.03
          det_prob[15]      0.07      0.02      0.07      0.04      0.10     92.38      1.03
          det_prob[16]      0.07      0.02      0.06      0.04      0.10    113.10      1.03
          det_prob[17]      0.07      0.02      0.06      0.04      0.10     97.82      1.03
          det_prob[18]      0.07      0.02      0.07      0.04      0.11     80.33      1.04
          det_prob[19]      0.08      0.02      0.08      0.04      0.12     90.76      1.04
          det_prob[20]      0.09      0.03      0.08      0.04      0.13     85.50      1.05
          det_prob[21]      0.10      0.03      0.09      0.05      0.14     94.02      1.04
          det_prob[22]      0.11      0.03      0.10      0.06      0.15    103.58      1.04
          det_prob[23]      0.11      0.03      0.11      0.05      0.16     89.58      1.05
          det_prob[24]      0.12      0.03      0.11      0.06      0.17     81.47      1.04
          det_prob[25]      0.13      0.04      0.12      0.07      0.18     88.48      1.04
          det_prob[26]      0.15      0.04      0.14      0.08      0.21     94.01      1.04
          det_prob[27]      0.16      0.04      0.15      0.09      0.22     89.73      1.03
          det_prob[28]      0.16      0.04      0.16      0.09      0.23     86.28      1.03
          det_prob[29]      0.16      0.05      0.16      0.08      0.23     77.60      1.03
          det_prob[30]      0.17      0.05      0.17      0.09      0.25     56.87      1.04
          det_prob[31]      0.19      0.05      0.18      0.10      0.27     46.94      1.05
          det_prob[32]      0.21      0.06      0.20      0.11      0.29     37.68      1.04
          det_prob[33]      0.24      0.06      0.23      0.14      0.33     42.38      1.04
          det_prob[34]      0.25      0.07      0.25      0.14      0.36     45.66      1.04
          det_prob[35]      0.25      0.07      0.25      0.15      0.38     47.92      1.03
          det_prob[36]      0.26      0.07      0.26      0.14      0.38     47.32      1.02
          det_prob[37]      0.27      0.08      0.26      0.14      0.39     43.36      1.03
          det_prob[38]      0.28      0.08      0.27      0.15      0.40     46.48      1.02
          det_prob[39]      0.30      0.08      0.29      0.16      0.43     42.96      1.01
          det_prob[40]      0.32      0.09      0.32      0.17      0.46     37.17      1.00
          det_prob[41]      0.33      0.09      0.32      0.17      0.46     40.54      1.00
          det_prob[42]      0.35      0.10      0.34      0.20      0.52     42.17      1.00
          det_prob[43]      0.37      0.10      0.37      0.21      0.53     41.26      1.00
          det_prob[44]      0.38      0.10      0.37      0.20      0.52     44.74      1.00
          det_prob[45]      0.39      0.10      0.38      0.21      0.54     44.09      1.00
          det_prob[46]      0.40      0.10      0.39      0.24      0.58     42.45      1.00
          det_prob[47]      0.41      0.11      0.41      0.24      0.57     47.34      1.00
          det_prob[48]      0.43      0.11      0.42      0.27      0.61     46.29      1.00
          det_prob[49]      0.43      0.11      0.42      0.26      0.63     40.89      1.00
          det_prob[50]      0.43      0.12      0.42      0.24      0.63     42.56      1.00
          det_prob[51]      0.44      0.12      0.43      0.25      0.64     44.75      1.00
          det_prob[52]      0.44      0.12      0.43      0.25      0.65     53.94      1.00
          det_prob[53]      0.46      0.12      0.45      0.26      0.66     48.14      1.00
          det_prob[54]      0.47      0.12      0.47      0.28      0.70     51.45      1.00
          det_prob[55]      0.49      0.12      0.49      0.29      0.70     54.89      1.00
          det_prob[56]      0.50      0.12      0.49      0.29      0.70     46.35      1.00
          det_prob[57]      0.52      0.12      0.51      0.31      0.71     47.41      1.00
          det_prob[58]      0.52      0.13      0.52      0.30      0.72     42.70      1.00
          det_prob[59]      0.52      0.13      0.52      0.30      0.72     41.09      1.00
          det_prob[60]      0.53      0.13      0.53      0.31      0.73     42.39      1.00
          det_prob[61]      0.53      0.13      0.53      0.32      0.74     42.68      1.00
          det_prob[62]      0.54      0.13      0.54      0.34      0.77     43.61      1.00
          det_prob[63]      0.55      0.13      0.55      0.36      0.80     44.28      1.00
          det_prob[64]      0.55      0.14      0.55      0.35      0.81     45.55      1.00
          det_prob[65]      0.56      0.14      0.55      0.34      0.79     47.24      1.00
          det_prob[66]      0.57      0.14      0.57      0.35      0.80     46.78      1.00
          det_prob[67]      0.57      0.14      0.57      0.36      0.81     44.22      1.00
          det_prob[68]      0.58      0.14      0.58      0.34      0.80     44.16      1.00
          det_prob[69]      0.58      0.14      0.58      0.37      0.83     44.89      1.00
          det_prob[70]      0.58      0.14      0.58      0.36      0.82     46.90      1.00
          det_prob[71]      0.59      0.14      0.59      0.34      0.81     46.48      1.00
          det_prob[72]      0.60      0.15      0.60      0.36      0.83     45.99      1.00
          det_prob[73]      0.61      0.15      0.61      0.37      0.84     46.89      1.00
          det_prob[74]      0.62      0.14      0.62      0.39      0.86     46.91      1.00
          det_prob[75]      0.63      0.14      0.63      0.42      0.88     49.35      1.00
          det_prob[76]      0.65      0.14      0.65      0.45      0.90     50.94      1.00
          det_prob[77]      0.66      0.14      0.66      0.44      0.89     51.74      1.00
          det_prob[78]      0.67      0.14      0.68      0.47      0.92     51.86      1.00
          det_prob[79]      0.68      0.14      0.68      0.48      0.93     50.94      1.00
          det_prob[80]      0.68      0.14      0.69      0.47      0.92     52.32      1.00
          det_prob[81]      0.69      0.14      0.69      0.46      0.92     52.92      1.01
          det_prob[82]      0.69      0.15      0.71      0.47      0.92     51.12      1.00
          det_prob[83]      0.71      0.14      0.72      0.48      0.93     49.60      1.01
          det_prob[84]      0.71      0.14      0.72      0.51      0.96     48.81      1.01
          det_prob[85]      0.72      0.15      0.74      0.49      0.94     51.20      1.01
          det_prob[86]      0.73      0.14      0.75      0.52      0.96     51.36      1.01
          det_prob[87]      0.75      0.14      0.76      0.55      0.96     49.89      1.02
          det_prob[88]      0.75      0.14      0.77      0.55      0.96     49.80      1.02
          det_prob[89]      0.76      0.14      0.78      0.58      0.98     50.39      1.02
          det_prob[90]      0.78      0.13      0.79      0.58      0.97     49.35      1.02
          det_prob[91]      0.79      0.13      0.81      0.62      0.98     49.35      1.02
          det_prob[92]      0.80      0.12      0.82      0.62      0.97     47.37      1.03
          det_prob[93]      0.81      0.12      0.83      0.63      0.98     45.56      1.03
          det_prob[94]      0.81      0.12      0.83      0.65      0.98     45.30      1.03
          det_prob[95]      0.82      0.12      0.84      0.66      0.98     43.28      1.03
          det_prob[96]      0.83      0.11      0.85      0.68      0.98     42.44      1.03
          det_prob[97]      0.84      0.11      0.86      0.70      0.99     42.89      1.03
          det_prob[98]      0.85      0.10      0.87      0.71      0.99     40.78      1.03
          det_prob[99]      0.86      0.10      0.88      0.72      0.99     40.35      1.04
         det_prob[100]      0.87      0.09      0.89      0.73      0.99     38.41      1.03
         det_prob[101]      0.87      0.09      0.90      0.75      0.99     40.29      1.03
         det_prob[102]      0.88      0.09      0.90      0.75      0.99     36.07      1.03
         det_prob[103]      0.88      0.09      0.91      0.76      0.99     33.18      1.03
         det_prob[104]      0.89      0.08      0.91      0.77      0.99     33.21      1.03
         det_prob[105]      0.89      0.08      0.92      0.78      0.99     33.55      1.03
         det_prob[106]      0.90      0.07      0.92      0.80      0.99     33.21      1.03
         det_prob[107]      0.91      0.07      0.92      0.81      0.99     31.43      1.03
         det_prob[108]      0.91      0.07      0.93      0.82      1.00     29.93      1.02
         det_prob[109]      0.91      0.07      0.93      0.82      1.00     28.93      1.03
         det_prob[110]      0.92      0.06      0.93      0.83      1.00     26.92      1.02
         det_prob[111]      0.92      0.06      0.93      0.84      1.00     25.58      1.03
         det_prob[112]      0.92      0.06      0.94      0.84      1.00     25.41      1.02
         det_prob[113]      0.92      0.06      0.94      0.84      1.00     25.70      1.02
         det_prob[114]      0.93      0.05      0.94      0.85      1.00     24.33      1.02
         det_prob[115]      0.93      0.06      0.94      0.85      1.00     23.03      1.02
         det_prob[116]      0.93      0.05      0.94      0.85      1.00     23.11      1.02
         det_prob[117]      0.93      0.05      0.94      0.85      1.00     22.62      1.02
         det_prob[118]      0.93      0.05      0.95      0.86      1.00     21.63      1.02
         det_prob[119]      0.93      0.05      0.95      0.86      1.00     20.99      1.02
         det_prob[120]      0.93      0.06      0.95      0.85      1.00     21.43      1.02
         det_prob[121]      0.93      0.06      0.95      0.85      1.00     21.52      1.02
         det_prob[122]      0.93      0.06      0.95      0.84      1.00     20.32      1.02
         det_prob[123]      0.93      0.06      0.95      0.84      1.00     20.15      1.02
         det_prob[124]      0.93      0.06      0.95      0.84      1.00     19.94      1.02
         det_prob[125]      0.93      0.06      0.95      0.84      1.00     19.64      1.02
         det_prob[126]      0.93      0.07      0.95      0.84      1.00     18.74      1.02
         det_prob[127]      0.93      0.07      0.95      0.83      1.00     18.01      1.02
         det_prob[128]      0.93      0.07      0.95      0.83      1.00     17.84      1.02
         det_prob[129]      0.93      0.07      0.95      0.82      1.00     17.81      1.02
         det_prob[130]      0.93      0.07      0.95      0.82      1.00     17.19      1.02
         det_prob[131]      0.93      0.07      0.95      0.81      1.00     17.40      1.02
         det_prob[132]      0.92      0.08      0.95      0.81      1.00     16.71      1.02
         det_prob[133]      0.92      0.08      0.95      0.81      1.00     16.57      1.02
         det_prob[134]      0.92      0.08      0.95      0.80      1.00     16.23      1.02
         det_prob[135]      0.92      0.08      0.95      0.80      1.00     16.12      1.01
         det_prob[136]      0.92      0.09      0.95      0.78      1.00     16.25      1.01
         det_prob[137]      0.92      0.09      0.95      0.78      1.00     16.01      1.01
         det_prob[138]      0.92      0.09      0.95      0.78      1.00     15.57      1.02
         det_prob[139]      0.92      0.09      0.95      0.78      1.00     15.25      1.02
         det_prob[140]      0.92      0.09      0.95      0.78      1.00     15.24      1.02
         det_prob[141]      0.91      0.10      0.95      0.77      1.00     15.12      1.02
         det_prob[142]      0.91      0.10      0.95      0.76      1.00     15.30      1.02
         det_prob[143]      0.91      0.10      0.95      0.77      1.00     15.55      1.02
         det_prob[144]      0.91      0.10      0.96      0.76      1.00     15.36      1.02
         det_prob[145]      0.91      0.11      0.96      0.76      1.00     15.10      1.02
         det_prob[146]      0.91      0.11      0.96      0.75      1.00     15.21      1.02
         det_prob[147]      0.91      0.11      0.96      0.75      1.00     14.89      1.02
         det_prob[148]      0.91      0.11      0.96      0.74      1.00     14.75      1.02
         det_prob[149]      0.91      0.11      0.96      0.74      1.00     14.70      1.02
         det_prob[150]      0.91      0.11      0.96      0.73      1.00     14.28      1.02
         det_prob[151]      0.91      0.11      0.96      0.73      1.00     14.26      1.02
         det_prob[152]      0.91      0.11      0.96      0.73      1.00     14.27      1.02
         det_prob[153]      0.91      0.11      0.96      0.74      1.00     14.01      1.02
         det_prob[154]      0.91      0.11      0.96      0.74      1.00     13.69      1.02
         det_prob[155]      0.91      0.11      0.96      0.74      1.00     13.56      1.02
         det_prob[156]      0.91      0.11      0.96      0.74      1.00     13.57      1.02
         det_prob[157]      0.91      0.11      0.96      0.73      1.00     13.59      1.02
         det_prob[158]      0.91      0.11      0.96      0.73      1.00     13.40      1.03
         det_prob[159]      0.91      0.11      0.96      0.73      1.00     13.46      1.03
         det_prob[160]      0.91      0.11      0.96      0.74      1.00     13.42      1.03
         det_prob[161]      0.91      0.11      0.96      0.73      1.00     13.27      1.03
         det_prob[162]      0.91      0.11      0.96      0.73      1.00     13.02      1.03
         det_prob[163]      0.91      0.11      0.96      0.74      1.00     13.09      1.03
         det_prob[164]      0.91      0.12      0.96      0.72      1.00     13.35      1.03
         det_prob[165]      0.91      0.12      0.96      0.74      1.00     13.55      1.03
         det_prob[166]      0.91      0.11      0.96      0.74      1.00     13.38      1.03
         det_prob[167]      0.91      0.11      0.97      0.75      1.00     13.32      1.03
         det_prob[168]      0.91      0.11      0.97      0.75      1.00     13.08      1.03
         det_prob[169]      0.92      0.11      0.97      0.74      1.00     12.95      1.03
         det_prob[170]      0.92      0.11      0.97      0.75      1.00     13.07      1.03
         det_prob[171]      0.92      0.11      0.97      0.75      1.00     13.45      1.03
         det_prob[172]      0.92      0.11      0.97      0.75      1.00     13.25      1.04
         det_prob[173]      0.92      0.11      0.97      0.76      1.00     13.25      1.04
         det_prob[174]      0.92      0.10      0.97      0.76      1.00     13.59      1.04
         det_prob[175]      0.92      0.10      0.97      0.77      1.00     13.74      1.04
         det_prob[176]      0.92      0.10      0.97      0.78      1.00     13.77      1.04
         det_prob[177]      0.92      0.10      0.97      0.77      1.00     13.88      1.04
         det_prob[178]      0.92      0.10      0.97      0.78      1.00     13.91      1.04
         det_prob[179]      0.93      0.10      0.97      0.79      1.00     13.88      1.04
         det_prob[180]      0.93      0.09      0.97      0.79      1.00     14.01      1.04
         det_prob[181]      0.93      0.09      0.97      0.79      1.00     13.96      1.04
         det_prob[182]      0.93      0.09      0.97      0.81      1.00     13.66      1.04
         det_prob[183]      0.93      0.09      0.97      0.81      1.00     13.67      1.04
         det_prob[184]      0.93      0.09      0.97      0.80      1.00     13.80      1.04
         det_prob[185]      0.93      0.09      0.97      0.80      1.00     14.28      1.04
         det_prob[186]      0.93      0.09      0.97      0.80      1.00     14.13      1.05
         det_prob[187]      0.93      0.09      0.97      0.80      1.00     14.20      1.05
         det_prob[188]      0.93      0.09      0.97      0.81      1.00     14.47      1.05
         det_prob[189]      0.93      0.09      0.97      0.80      1.00     14.86      1.05
         det_prob[190]      0.93      0.09      0.97      0.79      1.00     15.09      1.05
         det_prob[191]      0.93      0.09      0.97      0.80      1.00     15.29      1.04
         det_prob[192]      0.93      0.09      0.97      0.80      1.00     15.10      1.04
         det_prob[193]      0.93      0.09      0.97      0.81      1.00     15.65      1.04
         det_prob[194]      0.93      0.09      0.97      0.81      1.00     16.20      1.03
         det_prob[195]      0.94      0.08      0.97      0.81      1.00     16.16      1.04
         det_prob[196]      0.94      0.08      0.97      0.81      1.00     16.59      1.03
         det_prob[197]      0.94      0.08      0.97      0.81      1.00     16.42      1.03
         det_prob[198]      0.94      0.08      0.97      0.81      1.00     16.24      1.04
