
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.13      1.78      0.57      0.00      2.65    809.88      1.00
                    E0     47.65     59.77     29.64      0.03    111.84    126.33      1.00
                    H0      2.21      2.05      1.58      0.00      5.05   1426.29      1.00
                    I0     15.79     21.65      8.18      0.01     40.12     56.85      1.01
                 beta0      2.33      1.23      2.13      0.72      3.80     11.18      1.06
  confirmed_dispersion      0.88      0.08      0.88      0.75      1.01   1280.06      1.00
      death_dispersion      0.50      0.04      0.50      0.45      0.58   1642.52      1.00
            death_prob      0.02      0.00      0.02      0.01      0.02     42.78      1.01
            death_rate      0.05      0.01      0.05      0.04      0.06    180.84      1.02
           det_prob[0]      0.20      0.06      0.20      0.11      0.29    200.31      1.01
           det_prob[1]      0.18      0.06      0.17      0.09      0.28    177.06      1.01
           det_prob[2]      0.17      0.06      0.16      0.09      0.27    167.81      1.01
           det_prob[3]      0.16      0.06      0.15      0.07      0.24    153.48      1.01
           det_prob[4]      0.15      0.06      0.14      0.06      0.23    147.96      1.01
           det_prob[5]      0.14      0.06      0.13      0.05      0.22    136.76      1.02
           det_prob[6]      0.13      0.06      0.12      0.05      0.21    133.03      1.01
           det_prob[7]      0.13      0.05      0.12      0.05      0.21    125.75      1.02
           det_prob[8]      0.12      0.05      0.11      0.05      0.20    115.67      1.02
           det_prob[9]      0.12      0.05      0.11      0.04      0.19     88.60      1.02
          det_prob[10]      0.12      0.05      0.11      0.04      0.19     84.90      1.03
          det_prob[11]      0.11      0.05      0.11      0.04      0.19     74.34      1.03
          det_prob[12]      0.11      0.05      0.10      0.04      0.19     75.88      1.03
          det_prob[13]      0.11      0.05      0.10      0.04      0.18     72.76      1.03
          det_prob[14]      0.11      0.05      0.10      0.04      0.18     73.72      1.03
          det_prob[15]      0.11      0.05      0.11      0.04      0.19     74.31      1.04
          det_prob[16]      0.12      0.05      0.11      0.05      0.20     64.05      1.04
          det_prob[17]      0.12      0.05      0.11      0.04      0.19     59.48      1.05
          det_prob[18]      0.12      0.05      0.11      0.04      0.20     57.86      1.05
          det_prob[19]      0.13      0.05      0.11      0.04      0.20     55.44      1.05
          det_prob[20]      0.13      0.06      0.12      0.05      0.21     55.42      1.05
          det_prob[21]      0.14      0.06      0.13      0.06      0.23     62.20      1.05
          det_prob[22]      0.14      0.06      0.13      0.05      0.24     57.18      1.06
          det_prob[23]      0.15      0.07      0.14      0.06      0.26     47.08      1.06
          det_prob[24]      0.16      0.07      0.15      0.06      0.27     54.92      1.06
          det_prob[25]      0.17      0.07      0.16      0.07      0.28     56.22      1.05
          det_prob[26]      0.18      0.07      0.17      0.08      0.30     57.55      1.04
          det_prob[27]      0.20      0.07      0.18      0.08      0.31     57.31      1.04
          det_prob[28]      0.21      0.08      0.20      0.09      0.33     50.32      1.04
          det_prob[29]      0.22      0.08      0.20      0.09      0.34     42.34      1.04
          det_prob[30]      0.23      0.08      0.22      0.10      0.36     39.25      1.04
          det_prob[31]      0.24      0.09      0.22      0.11      0.38     36.37      1.03
          det_prob[32]      0.25      0.09      0.24      0.10      0.38     37.06      1.03
          det_prob[33]      0.26      0.10      0.24      0.11      0.40     32.82      1.02
          det_prob[34]      0.26      0.10      0.25      0.11      0.42     33.48      1.02
          det_prob[35]      0.28      0.10      0.26      0.12      0.44     32.93      1.02
          det_prob[36]      0.28      0.11      0.26      0.13      0.48     31.75      1.01
          det_prob[37]      0.29      0.11      0.27      0.11      0.46     29.69      1.01
          det_prob[38]      0.30      0.12      0.28      0.12      0.49     29.20      1.00
          det_prob[39]      0.31      0.12      0.29      0.12      0.49     28.56      1.00
          det_prob[40]      0.32      0.12      0.30      0.12      0.51     28.46      1.00
          det_prob[41]      0.32      0.13      0.30      0.10      0.52     26.37      1.00
          det_prob[42]      0.34      0.13      0.31      0.14      0.57     26.55      1.00
          det_prob[43]      0.35      0.14      0.32      0.13      0.56     27.36      1.00
          det_prob[44]      0.36      0.14      0.34      0.13      0.57     27.67      1.00
          det_prob[45]      0.37      0.14      0.35      0.17      0.60     27.44      1.00
          det_prob[46]      0.38      0.14      0.36      0.19      0.63     27.32      1.00
          det_prob[47]      0.39      0.15      0.37      0.19      0.64     26.92      1.00
          det_prob[48]      0.41      0.15      0.38      0.18      0.66     26.74      1.00
          det_prob[49]      0.42      0.15      0.39      0.17      0.66     25.47      1.00
          det_prob[50]      0.43      0.16      0.41      0.19      0.69     25.97      1.00
          det_prob[51]      0.44      0.16      0.42      0.21      0.71     27.02      1.00
          det_prob[52]      0.46      0.16      0.44      0.21      0.73     27.57      1.00
          det_prob[53]      0.47      0.16      0.46      0.22      0.73     28.22      1.00
          det_prob[54]      0.48      0.16      0.47      0.23      0.74     28.49      1.00
          det_prob[55]      0.50      0.16      0.49      0.24      0.77     30.00      1.00
          det_prob[56]      0.51      0.16      0.50      0.27      0.79     29.19      1.01
          det_prob[57]      0.53      0.16      0.52      0.26      0.79     30.39      1.01
          det_prob[58]      0.54      0.16      0.53      0.29      0.81     29.60      1.01
          det_prob[59]      0.55      0.16      0.54      0.31      0.82     30.87      1.01
          det_prob[60]      0.56      0.16      0.56      0.33      0.84     34.33      1.01
          det_prob[61]      0.57      0.15      0.57      0.34      0.85     33.45      1.01
          det_prob[62]      0.59      0.16      0.59      0.35      0.85     36.12      1.01
          det_prob[63]      0.60      0.15      0.60      0.38      0.88     39.63      1.01
          det_prob[64]      0.61      0.15      0.61      0.38      0.87     41.75      1.01
          det_prob[65]      0.62      0.15      0.63      0.39      0.88     43.90      1.01
          det_prob[66]      0.63      0.15      0.64      0.40      0.88     45.17      1.01
          det_prob[67]      0.64      0.15      0.65      0.42      0.89     45.94      1.01
          det_prob[68]      0.66      0.14      0.67      0.45      0.90     46.10      1.01
          det_prob[69]      0.67      0.14      0.68      0.46      0.91     48.05      1.01
          det_prob[70]      0.68      0.14      0.69      0.47      0.91     48.52      1.01
          det_prob[71]      0.69      0.14      0.70      0.49      0.92     48.29      1.00
          det_prob[72]      0.70      0.13      0.71      0.50      0.92     49.96      1.00
          det_prob[73]      0.71      0.13      0.72      0.51      0.93     51.07      1.00
          det_prob[74]      0.72      0.13      0.73      0.53      0.93     54.63      1.00
          det_prob[75]      0.73      0.13      0.74      0.54      0.94     53.46      1.00
          det_prob[76]      0.73      0.13      0.75      0.53      0.94     53.15      1.00
          det_prob[77]      0.75      0.12      0.76      0.57      0.95     54.89      1.00
          det_prob[78]      0.75      0.13      0.76      0.55      0.94     54.93      1.00
          det_prob[79]      0.75      0.13      0.77      0.58      0.96     54.13      1.00
          det_prob[80]      0.76      0.12      0.78      0.57      0.95     54.15      1.00
          det_prob[81]      0.77      0.12      0.79      0.59      0.96     54.43      1.00
          det_prob[82]      0.78      0.12      0.79      0.59      0.97     54.44      1.00
          det_prob[83]      0.78      0.12      0.80      0.61      0.98     55.44      1.00
          det_prob[84]      0.79      0.12      0.80      0.60      0.97     53.67      1.00
          det_prob[85]      0.79      0.12      0.81      0.62      0.98     50.63      1.00
          det_prob[86]      0.80      0.12      0.82      0.63      0.98     51.58      1.00
          det_prob[87]      0.81      0.11      0.82      0.64      0.97     51.61      1.00
          det_prob[88]      0.81      0.11      0.83      0.65      0.98     52.22      1.00
          det_prob[89]      0.82      0.11      0.83      0.66      0.98     51.12      1.00
          det_prob[90]      0.82      0.11      0.84      0.67      0.99     49.46      1.00
          det_prob[91]      0.83      0.11      0.85      0.68      0.98     49.86      1.00
          det_prob[92]      0.83      0.11      0.85      0.67      0.98     49.01      1.00
          det_prob[93]      0.84      0.11      0.85      0.68      0.98     45.34      1.00
          det_prob[94]      0.84      0.11      0.86      0.69      0.99     45.98      1.00
          det_prob[95]      0.84      0.11      0.86      0.70      0.99     44.28      1.01
          det_prob[96]      0.85      0.11      0.87      0.69      0.99     42.93      1.01
          det_prob[97]      0.85      0.11      0.87      0.71      0.99     42.84      1.01
          det_prob[98]      0.86      0.10      0.88      0.71      0.99     41.35      1.01
          det_prob[99]      0.86      0.10      0.88      0.72      0.99     39.97      1.01
         det_prob[100]      0.86      0.10      0.89      0.72      1.00     38.74      1.01
         det_prob[101]      0.87      0.10      0.89      0.73      0.99     39.38      1.01
         det_prob[102]      0.87      0.10      0.90      0.73      1.00     36.63      1.01
         det_prob[103]      0.87      0.10      0.89      0.74      1.00     34.22      1.01
