
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.90      1.56      0.49      0.00      1.93   1165.83      1.00
                    E0      7.79     10.07      4.23      0.01     19.84    411.80      1.00
                    H0      2.46      1.28      2.26      0.46      4.48   1103.41      1.00
                    I0     11.59     25.27      4.14      0.01     27.36    253.56      1.00
                 beta0      0.43      0.35      0.31      0.03      0.89     34.56      1.02
  confirmed_dispersion      0.52      0.13      0.51      0.29      0.72   1059.50      1.00
      death_dispersion      0.34      0.12      0.34      0.14      0.53    627.30      1.00
            death_prob      0.00      0.00      0.00      0.00      0.01    379.66      1.00
            death_rate      0.04      0.01      0.04      0.02      0.05   1515.63      1.00
           det_prob[0]      0.27      0.07      0.27      0.16      0.39    277.56      1.01
           det_prob[1]      0.27      0.08      0.26      0.14      0.41    223.36      1.01
           det_prob[2]      0.27      0.09      0.26      0.13      0.43    198.28      1.01
           det_prob[3]      0.27      0.10      0.25      0.11      0.44    171.88      1.01
           det_prob[4]      0.27      0.11      0.25      0.09      0.43    156.74      1.01
           det_prob[5]      0.27      0.11      0.25      0.09      0.44    153.07      1.01
           det_prob[6]      0.27      0.12      0.25      0.10      0.45    150.02      1.01
           det_prob[7]      0.27      0.12      0.25      0.07      0.44    135.73      1.01
           det_prob[8]      0.27      0.13      0.25      0.07      0.46    125.53      1.01
           det_prob[9]      0.27      0.13      0.26      0.06      0.46    114.26      1.01
          det_prob[10]      0.28      0.14      0.26      0.06      0.47    107.08      1.01
          det_prob[11]      0.28      0.14      0.26      0.06      0.49    101.95      1.01
          det_prob[12]      0.29      0.15      0.26      0.06      0.51     97.99      1.01
          det_prob[13]      0.29      0.15      0.27      0.06      0.54     93.90      1.01
          det_prob[14]      0.30      0.16      0.28      0.04      0.52     93.09      1.01
          det_prob[15]      0.30      0.16      0.28      0.05      0.54     87.97      1.00
          det_prob[16]      0.31      0.17      0.29      0.05      0.56     85.72      1.01
          det_prob[17]      0.32      0.17      0.30      0.05      0.58     81.49      1.01
          det_prob[18]      0.33      0.18      0.31      0.06      0.61     77.49      1.01
          det_prob[19]      0.33      0.18      0.30      0.05      0.59     76.54      1.01
          det_prob[20]      0.34      0.18      0.31      0.06      0.62     76.17      1.01
          det_prob[21]      0.35      0.19      0.32      0.06      0.65     73.86      1.01
          det_prob[22]      0.36      0.19      0.34      0.04      0.63     69.40      1.00
          det_prob[23]      0.37      0.19      0.35      0.04      0.62     65.98      1.00
          det_prob[24]      0.38      0.19      0.36      0.05      0.66     64.61      1.01
          det_prob[25]      0.40      0.20      0.38      0.08      0.69     62.67      1.00
          det_prob[26]      0.41      0.20      0.40      0.08      0.71     60.27      1.00
          det_prob[27]      0.42      0.20      0.41      0.13      0.76     57.73      1.00
          det_prob[28]      0.43      0.20      0.41      0.08      0.72     56.93      1.00
          det_prob[29]      0.43      0.21      0.42      0.08      0.73     54.44      1.00
          det_prob[30]      0.43      0.21      0.41      0.09      0.74     54.72      1.00
          det_prob[31]      0.43      0.21      0.41      0.09      0.75     53.03      1.00
          det_prob[32]      0.44      0.21      0.42      0.08      0.77     50.83      1.00
          det_prob[33]      0.44      0.22      0.42      0.09      0.78     50.54      1.00
          det_prob[34]      0.44      0.22      0.42      0.06      0.76     50.49      1.00
