
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.72      0.89      0.46      0.00      1.67    999.16      1.00
                    E0      6.43      7.25      4.31      0.01     14.99    104.56      1.00
                    H0      1.12      1.07      0.81      0.00      2.51    585.57      1.00
                    I0      3.41      4.73      1.86      0.01      8.22     82.96      1.00
                 beta0      1.31      0.67      1.32      0.37      2.20      6.84      1.00
  confirmed_dispersion      0.16      0.03      0.16      0.12      0.21    450.09      1.00
      death_dispersion      0.27      0.06      0.27      0.17      0.36    736.91      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     15.28      1.00
            death_rate      0.06      0.01      0.06      0.04      0.08    109.55      1.03
           det_prob[0]      0.25      0.07      0.24      0.15      0.36     73.02      1.02
           det_prob[1]      0.24      0.07      0.23      0.11      0.33     75.08      1.03
           det_prob[2]      0.23      0.08      0.22      0.12      0.36     64.10      1.03
           det_prob[3]      0.23      0.08      0.22      0.10      0.34     56.57      1.03
           det_prob[4]      0.22      0.08      0.21      0.10      0.35     49.42      1.04
           det_prob[5]      0.22      0.08      0.21      0.09      0.34     39.12      1.05
           det_prob[6]      0.21      0.08      0.20      0.08      0.33     36.01      1.06
           det_prob[7]      0.21      0.08      0.20      0.09      0.34     30.97      1.07
           det_prob[8]      0.21      0.08      0.19      0.09      0.34     26.11      1.08
           det_prob[9]      0.21      0.08      0.19      0.08      0.33     23.12      1.08
          det_prob[10]      0.21      0.08      0.20      0.08      0.33     18.79      1.10
          det_prob[11]      0.21      0.08      0.20      0.08      0.33     16.81      1.12
          det_prob[12]      0.22      0.08      0.21      0.08      0.34     16.17      1.12
          det_prob[13]      0.23      0.09      0.22      0.09      0.36     15.56      1.13
          det_prob[14]      0.24      0.09      0.23      0.10      0.37     14.37      1.15
          det_prob[15]      0.24      0.09      0.23      0.09      0.36     13.49      1.16
          det_prob[16]      0.23      0.09      0.21      0.10      0.37     13.11      1.17
          det_prob[17]      0.22      0.09      0.21      0.09      0.36     12.62      1.20
          det_prob[18]      0.22      0.09      0.21      0.09      0.37     12.93      1.20
          det_prob[19]      0.23      0.09      0.21      0.09      0.37     12.31      1.21
          det_prob[20]      0.23      0.09      0.22      0.08      0.37     12.07      1.22
          det_prob[21]      0.24      0.09      0.22      0.10      0.38     12.36      1.23
          det_prob[22]      0.25      0.10      0.23      0.11      0.41     13.11      1.20
          det_prob[23]      0.25      0.10      0.23      0.11      0.40     12.31      1.22
          det_prob[24]      0.24      0.10      0.22      0.09      0.39     13.23      1.21
          det_prob[25]      0.24      0.10      0.22      0.11      0.41     13.81      1.21
          det_prob[26]      0.24      0.10      0.22      0.11      0.41     14.31      1.20
          det_prob[27]      0.24      0.09      0.22      0.10      0.39     13.76      1.20
          det_prob[28]      0.24      0.09      0.22      0.10      0.39     14.40      1.19
          det_prob[29]      0.24      0.09      0.22      0.10      0.38     14.83      1.16
          det_prob[30]      0.23      0.09      0.22      0.10      0.38     13.43      1.17
          det_prob[31]      0.23      0.09      0.21      0.11      0.39     13.93      1.15
          det_prob[32]      0.23      0.09      0.21      0.08      0.37     14.38      1.13
          det_prob[33]      0.22      0.09      0.21      0.10      0.38     15.35      1.12
          det_prob[34]      0.22      0.09      0.21      0.08      0.35     15.50      1.10
          det_prob[35]      0.22      0.09      0.21      0.08      0.34     16.14      1.08
          det_prob[36]      0.22      0.09      0.21      0.08      0.35     17.31      1.08
          det_prob[37]      0.22      0.09      0.22      0.09      0.36     17.12      1.07
          det_prob[38]      0.23      0.09      0.22      0.09      0.36     18.33      1.05
          det_prob[39]      0.24      0.09      0.22      0.09      0.37     19.01      1.04
          det_prob[40]      0.24      0.09      0.23      0.11      0.39     18.95      1.02
          det_prob[41]      0.26      0.09      0.25      0.11      0.41     19.08      1.02
          det_prob[42]      0.27      0.10      0.26      0.12      0.42     19.21      1.01
          det_prob[43]      0.29      0.10      0.28      0.15      0.46     19.61      1.00
          det_prob[44]      0.32      0.10      0.32      0.16      0.46     19.07      1.00
          det_prob[45]      0.32      0.10      0.31      0.16      0.48     19.79      1.00
          det_prob[46]      0.31      0.10      0.30      0.15      0.45     18.78      1.00
          det_prob[47]      0.31      0.10      0.29      0.15      0.46     19.92      1.00
          det_prob[48]      0.31      0.10      0.29      0.16      0.46     19.66      1.00
          det_prob[49]      0.31      0.10      0.30      0.18      0.47     19.98      1.00
          det_prob[50]      0.32      0.10      0.31      0.17      0.47     20.72      1.00
          det_prob[51]      0.34      0.10      0.33      0.18      0.49     21.17      1.00
          det_prob[52]      0.35      0.10      0.33      0.19      0.51     20.63      1.00
          det_prob[53]      0.35      0.11      0.34      0.20      0.53     20.24      1.00
          det_prob[54]      0.35      0.11      0.34      0.18      0.52     20.81      1.01
          det_prob[55]      0.35      0.11      0.33      0.16      0.51     19.64      1.01
