
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.94      5.26      0.72      0.00      4.06    841.05      1.00
                    E0     12.43     14.43      7.47      0.01     30.09     92.96      1.00
                    H0      1.10      1.03      0.79      0.00      2.50   2143.01      1.00
                    I0     10.90     12.83      6.80      0.34     23.96     40.36      1.02
                 beta0      1.11      0.69      0.99      0.27      1.86     11.55      1.06
  confirmed_dispersion      0.39      0.06      0.38      0.29      0.49   1323.60      1.00
      death_dispersion      0.70      0.07      0.70      0.59      0.83   2541.41      1.00
            death_prob      0.02      0.01      0.02      0.01      0.02     15.96      1.01
            death_rate      0.05      0.01      0.05      0.04      0.07    106.53      1.00
           det_prob[0]      0.26      0.07      0.26      0.16      0.37    252.53      1.01
           det_prob[1]      0.26      0.07      0.25      0.13      0.37    200.54      1.01
           det_prob[2]      0.25      0.08      0.24      0.12      0.38    214.60      1.01
           det_prob[3]      0.25      0.08      0.23      0.11      0.38    154.47      1.01
           det_prob[4]      0.24      0.09      0.23      0.09      0.37    145.97      1.01
           det_prob[5]      0.23      0.09      0.22      0.10      0.38    138.49      1.01
           det_prob[6]      0.23      0.09      0.22      0.10      0.38    133.53      1.01
           det_prob[7]      0.23      0.09      0.22      0.09      0.38    109.62      1.02
           det_prob[8]      0.23      0.09      0.22      0.07      0.37     93.27      1.02
           det_prob[9]      0.24      0.10      0.22      0.09      0.39     76.98      1.02
          det_prob[10]      0.24      0.10      0.23      0.09      0.40     77.12      1.01
          det_prob[11]      0.25      0.10      0.23      0.07      0.39     72.05      1.02
          det_prob[12]      0.25      0.10      0.24      0.09      0.42     66.34      1.02
          det_prob[13]      0.26      0.10      0.24      0.10      0.42     63.56      1.03
          det_prob[14]      0.25      0.10      0.24      0.09      0.40     59.04      1.03
          det_prob[15]      0.25      0.10      0.23      0.08      0.40     50.59      1.03
          det_prob[16]      0.25      0.10      0.23      0.09      0.40     49.80      1.03
          det_prob[17]      0.24      0.10      0.23      0.09      0.40     47.67      1.03
          det_prob[18]      0.24      0.10      0.23      0.09      0.40     46.89      1.03
          det_prob[19]      0.24      0.10      0.22      0.07      0.39     43.92      1.02
          det_prob[20]      0.23      0.10      0.22      0.08      0.40     39.98      1.02
          det_prob[21]      0.24      0.10      0.22      0.08      0.40     36.71      1.03
          det_prob[22]      0.24      0.10      0.22      0.08      0.39     34.98      1.03
          det_prob[23]      0.24      0.10      0.23      0.08      0.40     34.33      1.02
          det_prob[24]      0.24      0.10      0.23      0.08      0.40     32.16      1.02
          det_prob[25]      0.24      0.10      0.23      0.09      0.41     32.00      1.02
          det_prob[26]      0.24      0.10      0.22      0.07      0.39     31.99      1.01
          det_prob[27]      0.23      0.10      0.22      0.08      0.39     30.45      1.02
          det_prob[28]      0.23      0.10      0.22      0.07      0.39     28.24      1.02
          det_prob[29]      0.23      0.10      0.21      0.07      0.38     29.68      1.02
          det_prob[30]      0.22      0.10      0.21      0.07      0.38     27.53      1.02
          det_prob[31]      0.22      0.10      0.20      0.08      0.39     27.71      1.02
          det_prob[32]      0.22      0.10      0.20      0.07      0.36     27.49      1.01
          det_prob[33]      0.21      0.10      0.19      0.06      0.36     27.20      1.01
          det_prob[34]      0.21      0.10      0.19      0.06      0.35     26.46      1.02
          det_prob[35]      0.21      0.10      0.19      0.06      0.35     25.50      1.02
          det_prob[36]      0.20      0.10      0.19      0.05      0.34     25.94      1.01
          det_prob[37]      0.20      0.10      0.19      0.06      0.35     24.29      1.01
          det_prob[38]      0.21      0.10      0.19      0.06      0.35     25.37      1.01
          det_prob[39]      0.21      0.10      0.19      0.05      0.35     25.28      1.01
          det_prob[40]      0.21      0.10      0.19      0.06      0.35     24.71      1.01
          det_prob[41]      0.21      0.10      0.20      0.05      0.34     24.62      1.01
          det_prob[42]      0.21      0.10      0.20      0.05      0.34     24.94      1.01
          det_prob[43]      0.22      0.10      0.20      0.07      0.35     25.75      1.01
          det_prob[44]      0.21      0.10      0.19      0.07      0.36     26.21      1.01
          det_prob[45]      0.21      0.10      0.19      0.05      0.34     26.48      1.00
          det_prob[46]      0.20      0.09      0.19      0.05      0.34     25.36      1.00
          det_prob[47]      0.20      0.09      0.18      0.06      0.34     24.46      1.00
          det_prob[48]      0.20      0.09      0.18      0.06      0.33     24.33      1.00
          det_prob[49]      0.20      0.09      0.18      0.06      0.33     24.21      1.00
          det_prob[50]      0.19      0.09      0.18      0.05      0.33     25.29      1.00
          det_prob[51]      0.19      0.09      0.18      0.04      0.32     26.89      1.00
          det_prob[52]      0.19      0.09      0.17      0.06      0.33     25.87      1.00
          det_prob[53]      0.19      0.09      0.17      0.06      0.32     27.07      1.00
          det_prob[54]      0.19      0.09      0.17      0.05      0.32     26.12      1.00
          det_prob[55]      0.19      0.09      0.17      0.06      0.33     27.16      1.00
          det_prob[56]      0.19      0.09      0.18      0.06      0.32     27.02      1.00
          det_prob[57]      0.19      0.09      0.18      0.06      0.34     26.70      1.00
          det_prob[58]      0.19      0.09      0.18      0.06      0.32     27.54      1.00
          det_prob[59]      0.19      0.09      0.18      0.05      0.32     26.64      1.00
          det_prob[60]      0.19      0.09      0.17      0.06      0.33     26.84      1.00
          det_prob[61]      0.19      0.09      0.17      0.06      0.32     28.90      1.00
          det_prob[62]      0.19      0.09      0.17      0.05      0.32     29.11      1.00
          det_prob[63]      0.19      0.09      0.17      0.05      0.32     28.48      1.00
          det_prob[64]      0.19      0.09      0.17      0.06      0.33     30.58      1.00
          det_prob[65]      0.19      0.09      0.18      0.05      0.32     32.31      1.00
          det_prob[66]      0.19      0.09      0.18      0.06      0.33     32.28      1.00
          det_prob[67]      0.19      0.09      0.18      0.06      0.33     29.97      1.00
          det_prob[68]      0.19      0.09      0.18      0.06      0.33     30.88      1.00
          det_prob[69]      0.20      0.09      0.18      0.06      0.34     31.64      1.00
          det_prob[70]      0.20      0.09      0.19      0.07      0.34     32.43      1.00
          det_prob[71]      0.21      0.09      0.19      0.07      0.35     32.53      1.00
          det_prob[72]      0.21      0.09      0.19      0.06      0.35     31.00      1.00
          det_prob[73]      0.21      0.10      0.20      0.06      0.36     30.34      1.00
          det_prob[74]      0.22      0.10      0.20      0.07      0.37     32.21      1.00
          det_prob[75]      0.23      0.10      0.21      0.07      0.38     31.58      1.00
          det_prob[76]      0.23      0.10      0.22      0.08      0.40     30.33      1.00
          det_prob[77]      0.24      0.11      0.22      0.08      0.40     32.54      1.00
          det_prob[78]      0.24      0.11      0.23      0.07      0.41     31.27      1.01
          det_prob[79]      0.25      0.11      0.23      0.09      0.43     31.23      1.01
          det_prob[80]      0.26      0.12      0.23      0.07      0.43     31.65      1.01
          det_prob[81]      0.26      0.12      0.24      0.09      0.45     32.36      1.01
