
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.58      0.61      0.40      0.00      1.37    861.97      1.00
                    E0     10.06     10.76      6.95      0.02     22.08     78.09      1.00
                    H0      1.26      1.22      0.94      0.00      2.78    902.74      1.00
                    I0      4.56      6.38      2.50      0.01     10.95     91.37      1.01
                 beta0      1.63      0.84      1.62      0.41      2.69      6.65      1.01
  confirmed_dispersion      0.30      0.05      0.30      0.23      0.37    647.49      1.00
      death_dispersion      0.11      0.01      0.11      0.10      0.12   1078.35      1.00
            death_prob      0.02      0.00      0.02      0.01      0.02     16.34      1.05
            death_rate      0.04      0.01      0.04      0.02      0.05     22.15      1.06
           det_prob[0]      0.25      0.06      0.25      0.15      0.36     83.06      1.02
           det_prob[1]      0.24      0.07      0.24      0.14      0.36     74.16      1.02
           det_prob[2]      0.24      0.07      0.23      0.13      0.36     83.74      1.02
           det_prob[3]      0.24      0.08      0.23      0.11      0.35     61.47      1.02
           det_prob[4]      0.23      0.08      0.22      0.10      0.35     52.43      1.03
           det_prob[5]      0.23      0.08      0.22      0.10      0.35     38.75      1.03
           det_prob[6]      0.23      0.08      0.22      0.10      0.35     34.15      1.04
           det_prob[7]      0.23      0.08      0.22      0.10      0.35     29.57      1.04
           det_prob[8]      0.23      0.08      0.22      0.10      0.35     24.25      1.05
           det_prob[9]      0.22      0.08      0.21      0.10      0.34     19.68      1.05
          det_prob[10]      0.22      0.08      0.21      0.09      0.33     18.52      1.05
          det_prob[11]      0.21      0.08      0.20      0.09      0.32     16.20      1.07
          det_prob[12]      0.21      0.08      0.20      0.08      0.32     16.57      1.07
          det_prob[13]      0.21      0.08      0.19      0.09      0.32     16.11      1.07
          det_prob[14]      0.21      0.08      0.20      0.09      0.32     15.97      1.08
          det_prob[15]      0.20      0.08      0.19      0.10      0.33     15.30      1.09
          det_prob[16]      0.20      0.07      0.19      0.09      0.31     14.75      1.09
          det_prob[17]      0.20      0.07      0.19      0.09      0.31     15.10      1.11
          det_prob[18]      0.20      0.07      0.19      0.09      0.31     15.83      1.11
          det_prob[19]      0.19      0.07      0.18      0.08      0.30     14.86      1.12
          det_prob[20]      0.19      0.07      0.18      0.08      0.31     14.87      1.13
          det_prob[21]      0.18      0.07      0.17      0.07      0.29     16.16      1.13
          det_prob[22]      0.19      0.07      0.18      0.08      0.31     17.70      1.11
          det_prob[23]      0.19      0.07      0.18      0.08      0.31     16.75      1.12
          det_prob[24]      0.18      0.07      0.17      0.08      0.30     16.11      1.13
          det_prob[25]      0.18      0.07      0.16      0.07      0.30     18.70      1.12
          det_prob[26]      0.18      0.07      0.17      0.09      0.32     19.78      1.11
          det_prob[27]      0.18      0.07      0.17      0.08      0.29     19.73      1.11
          det_prob[28]      0.18      0.07      0.17      0.07      0.29     20.01      1.11
          det_prob[29]      0.18      0.07      0.17      0.09      0.30     19.85      1.10
          det_prob[30]      0.18      0.07      0.16      0.07      0.29     16.38      1.11
          det_prob[31]      0.18      0.07      0.17      0.08      0.29     16.92      1.10
          det_prob[32]      0.18      0.07      0.16      0.08      0.30     17.49      1.09
          det_prob[33]      0.18      0.07      0.16      0.09      0.30     18.33      1.09
          det_prob[34]      0.17      0.07      0.16      0.06      0.27     18.15      1.09
          det_prob[35]      0.17      0.06      0.16      0.07      0.27     18.03      1.08
          det_prob[36]      0.18      0.06      0.17      0.08      0.28     20.78      1.07
          det_prob[37]      0.17      0.06      0.16      0.07      0.27     19.61      1.07
          det_prob[38]      0.17      0.06      0.16      0.07      0.26     22.16      1.05
          det_prob[39]      0.17      0.06      0.16      0.06      0.25     23.87      1.05
          det_prob[40]      0.17      0.06      0.16      0.07      0.26     24.00      1.04
          det_prob[41]      0.17      0.06      0.16      0.08      0.27     25.41      1.03
          det_prob[42]      0.17      0.07      0.16      0.07      0.27     27.06      1.02
          det_prob[43]      0.18      0.07      0.17      0.07      0.27     27.70      1.02
          det_prob[44]      0.18      0.07      0.17      0.08      0.28     28.56      1.01
          det_prob[45]      0.18      0.07      0.17      0.07      0.28     29.36      1.01
          det_prob[46]      0.19      0.07      0.18      0.09      0.29     27.88      1.01
          det_prob[47]      0.20      0.07      0.19      0.09      0.29     27.71      1.01
          det_prob[48]      0.21      0.07      0.20      0.11      0.32     28.49      1.01
