
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.18      1.93      0.61      0.00      2.63    979.06      1.00
                    E0     25.43     24.52     18.60      0.07     55.32     76.79      1.00
                    H0      1.95      1.70      1.46      0.00      4.30   1142.42      1.00
                    I0      7.85     10.82      4.41      0.03     18.68     80.08      1.01
                 beta0      1.67      0.90      1.62      0.43      2.80      7.43      1.02
  confirmed_dispersion      0.24      0.04      0.23      0.18      0.30    991.91      1.00
      death_dispersion      0.56      0.05      0.56      0.48      0.64   1497.30      1.00
            death_prob      0.02      0.00      0.02      0.01      0.02     20.40      1.00
            death_rate      0.05      0.01      0.05      0.04      0.06    115.83      1.03
           det_prob[0]      0.22      0.06      0.21      0.12      0.30    212.76      1.00
           det_prob[1]      0.20      0.06      0.20      0.10      0.29    182.29      1.00
           det_prob[2]      0.19      0.06      0.18      0.09      0.29    175.06      1.00
           det_prob[3]      0.18      0.06      0.17      0.09      0.27    165.38      1.00
           det_prob[4]      0.17      0.06      0.16      0.07      0.26    150.35      1.00
           det_prob[5]      0.16      0.06      0.15      0.07      0.25    141.06      1.01
           det_prob[6]      0.15      0.06      0.14      0.07      0.24    138.90      1.00
           det_prob[7]      0.15      0.06      0.14      0.06      0.23    124.46      1.00
           det_prob[8]      0.15      0.06      0.14      0.06      0.22    107.49      1.00
           det_prob[9]      0.14      0.05      0.13      0.06      0.22    104.22      1.01
          det_prob[10]      0.14      0.05      0.13      0.06      0.21     84.05      1.01
          det_prob[11]      0.14      0.05      0.13      0.06      0.21     94.40      1.01
          det_prob[12]      0.13      0.05      0.12      0.06      0.21     99.54      1.01
          det_prob[13]      0.13      0.05      0.12      0.06      0.21     99.46      1.02
          det_prob[14]      0.13      0.05      0.12      0.06      0.20    100.02      1.02
          det_prob[15]      0.13      0.05      0.13      0.06      0.20     87.51      1.02
          det_prob[16]      0.12      0.04      0.12      0.05      0.19     96.12      1.02
          det_prob[17]      0.12      0.04      0.11      0.05      0.18     85.87      1.02
          det_prob[18]      0.12      0.04      0.11      0.05      0.18     80.33      1.03
          det_prob[19]      0.12      0.04      0.12      0.06      0.19     85.22      1.02
          det_prob[20]      0.13      0.04      0.12      0.05      0.18     86.86      1.04
          det_prob[21]      0.13      0.04      0.13      0.06      0.20     91.25      1.03
          det_prob[22]      0.14      0.05      0.13      0.07      0.22     98.76      1.03
          det_prob[23]      0.14      0.05      0.14      0.07      0.21     92.87      1.03
          det_prob[24]      0.15      0.05      0.15      0.07      0.23     79.77      1.03
