
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.99      1.35      0.58      0.00      2.36   1115.21      1.00
                    E0     21.09     18.80     16.32      0.29     43.28     51.92      1.00
                    H0      1.36      1.30      0.99      0.00      2.97   1120.39      1.00
                    I0      5.81      6.84      3.57      0.01     13.07     83.13      1.01
                 beta0      2.06      1.05      2.07      0.67      3.47      6.53      1.04
  confirmed_dispersion      0.12      0.02      0.12      0.10      0.14    853.87      1.00
      death_dispersion      0.48      0.04      0.48      0.42      0.54   1741.57      1.00
            death_prob      0.02      0.00      0.02      0.02      0.02     24.78      1.02
            death_rate      0.05      0.01      0.05      0.04      0.06     41.73      1.08
           det_prob[0]      0.25      0.06      0.25      0.16      0.36    153.82      1.01
           det_prob[1]      0.25      0.07      0.24      0.14      0.36    132.25      1.01
           det_prob[2]      0.24      0.07      0.23      0.13      0.35    128.08      1.01
           det_prob[3]      0.24      0.07      0.23      0.12      0.35    125.62      1.01
           det_prob[4]      0.23      0.08      0.22      0.11      0.34    112.92      1.01
           det_prob[5]      0.23      0.08      0.21      0.11      0.34     74.12      1.01
           det_prob[6]      0.22      0.08      0.21      0.10      0.33     64.94      1.01
           det_prob[7]      0.22      0.07      0.21      0.10      0.32     49.13      1.02
           det_prob[8]      0.21      0.07      0.20      0.10      0.31     42.89      1.02
           det_prob[9]      0.20      0.07      0.19      0.10      0.30     39.66      1.02
          det_prob[10]      0.19      0.07      0.18      0.08      0.28     35.42      1.03
          det_prob[11]      0.20      0.07      0.19      0.09      0.29     34.90      1.03
          det_prob[12]      0.20      0.06      0.19      0.10      0.29     36.61      1.04
          det_prob[13]      0.20      0.06      0.19      0.10      0.29     38.45      1.04
          det_prob[14]      0.19      0.06      0.19      0.10      0.29     41.73      1.05
          det_prob[15]      0.20      0.06      0.19      0.10      0.28     49.09      1.05
          det_prob[16]      0.19      0.05      0.18      0.11      0.28     36.21      1.06
          det_prob[17]      0.19      0.05      0.18      0.11      0.27     42.60      1.06
          det_prob[18]      0.19      0.05      0.19      0.10      0.27     41.83      1.07
          det_prob[19]      0.20      0.06      0.19      0.11      0.29     34.19      1.08
          det_prob[20]      0.20      0.06      0.20      0.10      0.28     32.44      1.08
          det_prob[21]      0.21      0.06      0.20      0.11      0.29     39.90      1.08
          det_prob[22]      0.20      0.06      0.20      0.11      0.29     50.71      1.07
          det_prob[23]      0.20      0.06      0.19      0.11      0.29     44.49      1.08
          det_prob[24]      0.20      0.06      0.19      0.11      0.29     49.45      1.08
          det_prob[25]      0.19      0.06      0.18      0.10      0.28     68.62      1.07
          det_prob[26]      0.19      0.06      0.19      0.11      0.28     73.38      1.07
          det_prob[27]      0.19      0.05      0.19      0.11      0.28     78.31      1.06
          det_prob[28]      0.19      0.05      0.19      0.11      0.27     65.10      1.06
          det_prob[29]      0.19      0.05      0.18      0.10      0.27     65.53      1.06
          det_prob[30]      0.19      0.05      0.19      0.11      0.27     38.59      1.08
          det_prob[31]      0.18      0.05      0.18      0.11      0.26     38.08      1.07
          det_prob[32]      0.18      0.05      0.17      0.10      0.27     32.92      1.07
          det_prob[33]      0.18      0.05      0.17      0.10      0.26     34.39      1.08
          det_prob[34]      0.18      0.05      0.17      0.10      0.26     35.21      1.07
          det_prob[35]      0.17      0.05      0.17      0.10      0.25     41.60      1.06
          det_prob[36]      0.17      0.05      0.16      0.09      0.25     51.38      1.06
          det_prob[37]      0.16      0.05      0.16      0.09      0.24     46.10      1.07
          det_prob[38]      0.16      0.04      0.15      0.09      0.23     53.17      1.05
          det_prob[39]      0.15      0.04      0.15      0.09      0.22     53.44      1.05
          det_prob[40]      0.15      0.04      0.15      0.09      0.23     52.54      1.03
          det_prob[41]      0.15      0.04      0.15      0.08      0.22     56.35      1.03
          det_prob[42]      0.16      0.05      0.15      0.08      0.22     63.27      1.02
          det_prob[43]      0.16      0.05      0.16      0.09      0.24     72.37      1.01
          det_prob[44]      0.17      0.05      0.16      0.09      0.23     73.89      1.01
          det_prob[45]      0.16      0.04      0.16      0.09      0.23     75.87      1.00
          det_prob[46]      0.16      0.04      0.16      0.09      0.23     90.94      1.00
          det_prob[47]      0.17      0.04      0.16      0.10      0.24     89.02      1.00
          det_prob[48]      0.18      0.05      0.17      0.11      0.25    110.42      1.00
          det_prob[49]      0.19      0.05      0.19      0.12      0.27     98.31      1.00
          det_prob[50]      0.20      0.05      0.19      0.12      0.28    109.44      1.00
          det_prob[51]      0.20      0.05      0.19      0.11      0.27    112.85      1.00
          det_prob[52]      0.20      0.06      0.20      0.12      0.29    108.81      1.00
          det_prob[53]      0.21      0.06      0.20      0.12      0.31     91.22      1.00
          det_prob[54]      0.22      0.06      0.21      0.13      0.32    105.84      1.01
          det_prob[55]      0.23      0.06      0.22      0.12      0.32     88.20      1.01
          det_prob[56]      0.24      0.06      0.23      0.14      0.35     88.85      1.02
          det_prob[57]      0.25      0.07      0.24      0.14      0.35     84.37      1.02
          det_prob[58]      0.25      0.07      0.24      0.15      0.36     79.14      1.02
          det_prob[59]      0.26      0.07      0.26      0.15      0.38     74.76      1.03
          det_prob[60]      0.28      0.07      0.27      0.15      0.39     76.47      1.02
          det_prob[61]      0.29      0.08      0.28      0.18      0.42     76.44      1.02
          det_prob[62]      0.30      0.08      0.30      0.17      0.43     74.75      1.02
          det_prob[63]      0.32      0.09      0.31      0.19      0.47     71.98      1.02
          det_prob[64]      0.34      0.09      0.33      0.20      0.50     69.70      1.02
          det_prob[65]      0.35      0.09      0.35      0.20      0.50     65.92      1.02
          det_prob[66]      0.37      0.10      0.36      0.21      0.52     60.93      1.02
          det_prob[67]      0.37      0.10      0.36      0.22      0.55     64.72      1.02
          det_prob[68]      0.38      0.11      0.38      0.22      0.56     62.88      1.02
          det_prob[69]      0.40      0.11      0.39      0.23      0.57     58.88      1.02
          det_prob[70]      0.42      0.11      0.41      0.25      0.59     57.22      1.02
          det_prob[71]      0.44      0.11      0.43      0.26      0.62     57.22      1.02
          det_prob[72]      0.46      0.11      0.45      0.27      0.62     57.82      1.02
          det_prob[73]      0.47      0.12      0.46      0.28      0.66     60.68      1.02
          det_prob[74]      0.48      0.12      0.48      0.30      0.67     62.02      1.01
          det_prob[75]      0.50      0.12      0.50      0.31      0.70     62.20      1.01
          det_prob[76]      0.52      0.12      0.52      0.34      0.73     63.96      1.01
          det_prob[77]      0.55      0.12      0.54      0.35      0.74     63.00      1.01
          det_prob[78]      0.56      0.12      0.55      0.35      0.75     62.71      1.01
          det_prob[79]      0.57      0.13      0.57      0.37      0.78     63.39      1.01
          det_prob[80]      0.58      0.13      0.58      0.36      0.78     63.19      1.00
          det_prob[81]      0.59      0.13      0.60      0.39      0.81     60.43      1.00
          det_prob[82]      0.61      0.13      0.62      0.42      0.83     60.72      1.00
          det_prob[83]      0.63      0.13      0.64      0.43      0.84     58.75      1.00
          det_prob[84]      0.64      0.13      0.65      0.43      0.84     59.31      1.00
          det_prob[85]      0.66      0.13      0.67      0.45      0.86     58.57      1.00
          det_prob[86]      0.67      0.13      0.67      0.47      0.88     56.84      1.00
          det_prob[87]      0.68      0.13      0.69      0.47      0.88     54.96      1.00
          det_prob[88]      0.69      0.13      0.70      0.49      0.89     55.21      1.00
          det_prob[89]      0.70      0.13      0.71      0.50      0.90     55.10      1.00
          det_prob[90]      0.71      0.13      0.73      0.53      0.93     54.37      1.00
          det_prob[91]      0.72      0.13      0.74      0.54      0.94     52.13      1.00
          det_prob[92]      0.73      0.13      0.75      0.56      0.95     50.09      1.00
          det_prob[93]      0.75      0.13      0.76      0.56      0.94     49.82      1.00
          det_prob[94]      0.75      0.13      0.77      0.57      0.96     47.71      1.01
          det_prob[95]      0.76      0.13      0.78      0.57      0.97     47.84      1.01
          det_prob[96]      0.77      0.13      0.79      0.59      0.96     47.33      1.01
          det_prob[97]      0.78      0.13      0.80      0.59      0.96     45.25      1.01
          det_prob[98]      0.79      0.13      0.81      0.60      0.97     43.19      1.01
          det_prob[99]      0.79      0.13      0.81      0.60      0.97     41.12      1.01
         det_prob[100]      0.80      0.13      0.82      0.62      0.98     38.63      1.01
         det_prob[101]      0.80      0.13      0.83      0.61      0.97     39.15      1.01
         det_prob[102]      0.81      0.12      0.84      0.62      0.98     37.59      1.01
         det_prob[103]      0.81      0.13      0.85      0.63      0.99     35.57      1.00
         det_prob[104]      0.82      0.12      0.85      0.65      0.99     34.94      1.00
         det_prob[105]      0.83      0.12      0.86      0.65      0.98     33.92      1.00
         det_prob[106]      0.83      0.12      0.87      0.67      0.99     33.18      1.00
         det_prob[107]      0.84      0.12      0.87      0.66      0.98     32.31      1.00
         det_prob[108]      0.85      0.11      0.87      0.68      0.98     31.22      1.00
         det_prob[109]      0.85      0.11      0.88      0.70      0.99     30.75      1.00
         det_prob[110]      0.86      0.11      0.89      0.71      0.99     30.09      1.00
         det_prob[111]      0.86      0.10      0.89      0.72      0.99     28.39      1.00
         det_prob[112]      0.87      0.10      0.89      0.72      1.00     28.75      1.00
         det_prob[113]      0.87      0.09      0.90      0.74      0.99     28.06      1.00
         det_prob[114]      0.88      0.09      0.90      0.76      1.00     27.23      1.00
         det_prob[115]      0.88      0.09      0.91      0.76      0.99     25.98      1.00
         det_prob[116]      0.88      0.09      0.91      0.76      1.00     25.92      1.00
         det_prob[117]      0.89      0.09      0.91      0.76      0.99     24.88      1.00
         det_prob[118]      0.89      0.08      0.92      0.77      0.99     23.59      1.00
         det_prob[119]      0.90      0.08      0.92      0.78      1.00     22.72      1.00
         det_prob[120]      0.90      0.08      0.92      0.78      0.99     22.58      1.00
         det_prob[121]      0.90      0.08      0.93      0.79      1.00     21.87      1.00
         det_prob[122]      0.90      0.08      0.93      0.80      1.00     21.42      1.00
         det_prob[123]      0.91      0.08      0.93      0.79      1.00     21.27      1.00
         det_prob[124]      0.91      0.07      0.93      0.80      0.99     19.81      1.00
         det_prob[125]      0.91      0.07      0.93      0.81      1.00     19.59      1.00
         det_prob[126]      0.92      0.07      0.93      0.82      1.00     18.92      1.00
         det_prob[127]      0.92      0.07      0.94      0.83      1.00     18.83      1.00
         det_prob[128]      0.92      0.06      0.94      0.83      1.00     18.52      1.00
         det_prob[129]      0.92      0.06      0.94      0.83      1.00     17.83      1.00
         det_prob[130]      0.92      0.06      0.94      0.83      1.00     17.68      1.00
         det_prob[131]      0.92      0.06      0.94      0.84      1.00     17.21      1.00
         det_prob[132]      0.93      0.06      0.94      0.84      1.00     17.53      1.00
         det_prob[133]      0.93      0.06      0.94      0.84      1.00     17.47      1.00
         det_prob[134]      0.93      0.06      0.94      0.84      1.00     17.03      1.00
         det_prob[135]      0.93      0.06      0.95      0.84      1.00     16.85      1.00
         det_prob[136]      0.93      0.06      0.95      0.85      1.00     17.40      1.00
         det_prob[137]      0.93      0.06      0.95      0.85      1.00     16.16      1.00
         det_prob[138]      0.93      0.06      0.95      0.85      1.00     16.31      1.00
         det_prob[139]      0.93      0.06      0.95      0.85      1.00     16.89      1.00
         det_prob[140]      0.93      0.06      0.95      0.85      1.00     16.77      1.00
         det_prob[141]      0.93      0.06      0.95      0.85      1.00     16.80      1.00
         det_prob[142]      0.93      0.06      0.95      0.85      1.00     16.97      1.00
         det_prob[143]      0.93      0.06      0.96      0.85      1.00     17.00      1.00
         det_prob[144]      0.94      0.06      0.96      0.85      1.00     17.09      1.00
         det_prob[145]      0.94      0.06      0.96      0.86      1.00     16.70      1.00
         det_prob[146]      0.94      0.07      0.96      0.85      1.00     16.97      1.00
         det_prob[147]      0.94      0.07      0.96      0.85      1.00     17.23      1.00
         det_prob[148]      0.94      0.07      0.96      0.85      1.00     17.37      1.00
         det_prob[149]      0.94      0.07      0.96      0.84      1.00     18.02      1.00
         det_prob[150]      0.93      0.07      0.96      0.84      1.00     18.15      1.00
         det_prob[151]      0.94      0.07      0.96      0.84      1.00     18.04      1.00
         det_prob[152]      0.94      0.07      0.96      0.84      1.00     18.03      1.00
         det_prob[153]      0.94      0.07      0.96      0.84      1.00     18.01      1.00
         det_prob[154]      0.94      0.07      0.96      0.85      1.00     18.12      1.00
         det_prob[155]      0.94      0.07      0.96      0.85      1.00     18.02      1.00
         det_prob[156]      0.94      0.07      0.96      0.85      1.00     17.91      1.00
         det_prob[157]      0.94      0.07      0.96      0.85      1.00     17.70      1.00
         det_prob[158]      0.94      0.07      0.97      0.84      1.00     17.00      1.00
         det_prob[159]      0.94      0.07      0.97      0.84      1.00     16.70      1.00
         det_prob[160]      0.94      0.07      0.97      0.84      1.00     16.72      1.00
         det_prob[161]      0.94      0.07      0.97      0.84      1.00     17.08      1.00
         det_prob[162]      0.94      0.07      0.97      0.84      1.00     16.57      1.00
         det_prob[163]      0.94      0.07      0.97      0.84      1.00     16.76      1.00
         det_prob[164]      0.94      0.07      0.97      0.83      1.00     16.76      1.00
         det_prob[165]      0.94      0.07      0.97      0.83      1.00     16.66      1.00
         det_prob[166]      0.94      0.07      0.97      0.83      1.00     17.06      1.00
         det_prob[167]      0.94      0.07      0.97      0.84      1.00     17.07      1.00
         det_prob[168]      0.94      0.07      0.97      0.83      1.00     16.76      1.00
         det_prob[169]      0.94      0.07      0.97      0.83      1.00     16.76      1.00
         det_prob[170]      0.94      0.07      0.97      0.84      1.00     16.61      1.00
         det_prob[171]      0.94      0.08      0.97      0.84      1.00     17.07      1.00
         det_prob[172]      0.94      0.08      0.97      0.83      1.00     17.03      1.00
         det_prob[173]      0.94      0.08      0.97      0.83      1.00     17.00      1.01
         det_prob[174]      0.94      0.08      0.97      0.83      1.00     16.86      1.01
         det_prob[175]      0.94      0.07      0.97      0.83      1.00     17.42      1.01
         det_prob[176]      0.94      0.08      0.97      0.83      1.00     17.77      1.01
         det_prob[177]      0.94      0.07      0.97      0.83      1.00     17.76      1.01
         det_prob[178]      0.94      0.07      0.97      0.84      1.00     18.08      1.01
         det_prob[179]      0.94      0.07      0.97      0.83      1.00     18.03      1.01
         det_prob[180]      0.94      0.07      0.97      0.84      1.00     18.21      1.01
         det_prob[181]      0.94      0.07      0.98      0.84      1.00     18.60      1.01
         det_prob[182]      0.94      0.07      0.97      0.83      1.00     18.10      1.01
         det_prob[183]      0.94      0.07      0.97      0.84      1.00     18.13      1.01
         det_prob[184]      0.94      0.07      0.97      0.84      1.00     18.63      1.01
         det_prob[185]      0.94      0.07      0.97      0.83      1.00     18.36      1.02
         det_prob[186]      0.94      0.08      0.97      0.83      1.00     18.30      1.02
         det_prob[187]      0.94      0.08      0.98      0.82      1.00     18.78      1.02
         det_prob[188]      0.94      0.08      0.98      0.83      1.00     19.41      1.02
         det_prob[189]      0.94      0.08      0.98      0.82      1.00     19.65      1.02
         det_prob[190]      0.94      0.08      0.97      0.83      1.00     19.11      1.02
         det_prob[191]      0.94      0.08      0.98      0.83      1.00     18.92      1.02
         det_prob[192]      0.94      0.08      0.98      0.82      1.00     18.77      1.02
         det_prob[193]      0.94      0.08      0.97      0.83      1.00     18.97      1.02
         det_prob[194]      0.94      0.08      0.97      0.83      1.00     18.72      1.02
         det_prob[195]      0.94      0.08      0.97      0.82      1.00     19.12      1.02
         det_prob[196]      0.94      0.08      0.97      0.82      1.00     19.11      1.02
         det_prob[197]      0.94      0.08      0.97      0.82      1.00     19.48      1.02
         det_prob[198]      0.94      0.08      0.97      0.82      1.00     19.93      1.02
         det_prob[199]      0.94      0.08      0.97      0.82      1.00     19.83      1.02
         det_prob[200]      0.94      0.08      0.97      0.82      1.00     19.67      1.01
         det_prob[201]      0.94      0.08      0.97      0.82      1.00     20.13      1.02
         det_prob[202]      0.94      0.08      0.97      0.82      1.00     20.55      1.01
         det_prob[203]      0.94      0.08      0.97      0.82      1.00     20.70      1.01
         det_prob[204]      0.94      0.08      0.97      0.82      1.00     20.78      1.01
         det_prob[205]      0.94      0.08      0.97      0.82      1.00     20.66      1.01
         det_prob[206]      0.94      0.08      0.97      0.83      1.00     20.56      1.01
         det_prob[207]      0.94      0.08      0.97      0.82      1.00     20.00      1.01
         det_prob[208]      0.94      0.08      0.97      0.83      1.00     20.22      1.01
         det_prob[209]      0.94      0.08      0.97      0.82      1.00     20.84      1.01
         det_prob[210]      0.94      0.08      0.97      0.82      1.00     21.08      1.01
         det_prob[211]      0.94      0.08      0.97      0.82      1.00     20.91      1.01
         det_prob[212]      0.94      0.08      0.97      0.81      1.00     21.24      1.01
         det_prob[213]      0.94      0.08      0.97      0.82      1.00     21.90      1.01
         det_prob[214]      0.94      0.08      0.97      0.82      1.00     22.69      1.01
         det_prob[215]      0.94      0.08      0.98      0.82      1.00     23.16      1.01
         det_prob[216]      0.94      0.08      0.98      0.82      1.00     23.76      1.01
         det_prob[217]      0.94      0.08      0.98      0.82      1.00     23.29      1.01
         det_prob[218]      0.94      0.08      0.98      0.82      1.00     23.92      1.01
         det_prob[219]      0.94      0.09      0.98      0.81      1.00     24.10      1.01
         det_prob[220]      0.94      0.09      0.97      0.81      1.00     25.00      1.00
         det_prob[221]      0.94      0.09      0.97      0.81      1.00     25.50      1.00
         det_prob[222]      0.94      0.09      0.98      0.81      1.00     26.09      1.00
         det_prob[223]      0.94      0.09      0.97      0.81      1.00     26.85      1.00
         det_prob[224]      0.94      0.09      0.97      0.81      1.00     27.42      1.00
         det_prob[225]      0.94      0.09      0.98      0.81      1.00     26.95      1.00
         det_prob[226]      0.93      0.09      0.98      0.81      1.00     27.64      1.00
         det_prob[227]      0.93      0.09      0.98      0.80      1.00     29.25      1.00
             det_prob0      0.26      0.06      0.26      0.18      0.35    208.30      1.00
            det_prob_d      0.90      0.03      0.90      0.85      0.94    960.38      1.00
                 gamma      0.48      0.05      0.48      0.40      0.56    226.50      1.00
                 rw[0]     -0.16      1.02     -0.18     -1.80      1.48     36.60      1.00
                 rw[1]     -0.24      1.45     -0.28     -2.74      2.02     18.23      1.01
                 rw[2]     -0.29      1.78     -0.38     -3.21      2.66     12.70      1.01
                 rw[3]     -0.23      1.98     -0.29     -3.34      3.22     10.09      1.01
                 rw[4]     -0.15      2.26     -0.24     -3.44      4.05      8.28      1.02
                 rw[5]     -0.09      2.47     -0.29     -3.76      3.95      7.70      1.03
                 rw[6]      0.05      2.59     -0.20     -4.25      3.94      7.28      1.02
                 rw[7]      0.10      2.74     -0.22     -3.97      4.69      6.80      1.02
                 rw[8]      0.20      2.85     -0.10     -4.34      4.51      6.65      1.02
                 rw[9]      0.27      2.92     -0.14     -4.22      4.89      6.54      1.03
                rw[10]      0.52      3.00      0.01     -3.61      5.67      6.35      1.03
                rw[11]      0.65      3.07      0.19     -4.21      5.27      6.29      1.03
                rw[12]      0.67      3.12      0.25     -3.95      5.66      6.39      1.02
                rw[13]      0.64      3.14      0.25     -3.85      5.75      6.37      1.02
                rw[14]      0.52      3.14     -0.03     -4.28      5.50      6.30      1.02
                rw[15]      0.30      3.09     -0.30     -4.30      5.24      6.29      1.02
                rw[16]      0.08      3.07     -0.60     -4.05      5.36      6.29      1.02
                rw[17]     -0.16      3.06     -0.67     -4.79      4.55      6.46      1.02
