
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0     76.14    179.04      6.27      0.00    237.06    558.62      1.00
                    E0     29.70     36.76     17.24      0.10     72.44    296.96      1.00
                    H0      1.27      1.37      0.84      0.00      2.89   1215.17      1.00
                    I0     22.45     26.76     13.69      0.14     54.07    176.18      1.00
                 beta0      0.99      0.67      0.79      0.27      1.81     34.53      1.01
  confirmed_dispersion      1.13      0.09      1.13      0.97      1.26   1369.90      1.00
      death_dispersion      1.67      0.08      1.66      1.53      1.81   2038.02      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     39.46      1.01
            death_rate      0.05      0.01      0.05      0.04      0.07    480.03      1.00
           det_prob[0]      0.26      0.07      0.25      0.15      0.37    312.39      1.00
           det_prob[1]      0.25      0.07      0.23      0.13      0.36    253.41      1.00
           det_prob[2]      0.24      0.08      0.23      0.10      0.36    217.69      1.00
           det_prob[3]      0.23      0.08      0.22      0.10      0.36    222.66      1.00
           det_prob[4]      0.23      0.09      0.22      0.07      0.35    194.43      1.00
           det_prob[5]      0.22      0.09      0.21      0.08      0.36    181.79      1.00
           det_prob[6]      0.22      0.09      0.21      0.08      0.35    168.07      1.00
           det_prob[7]      0.21      0.09      0.20      0.06      0.34    147.95      1.00
           det_prob[8]      0.20      0.09      0.19      0.07      0.35    136.70      1.00
           det_prob[9]      0.20      0.09      0.18      0.07      0.35    123.93      1.00
          det_prob[10]      0.20      0.09      0.18      0.06      0.33    127.45      1.00
          det_prob[11]      0.19      0.10      0.18      0.05      0.34    129.06      1.00
          det_prob[12]      0.19      0.10      0.17      0.04      0.34    139.84      1.00
          det_prob[13]      0.19      0.10      0.16      0.04      0.33    132.31      1.00
          det_prob[14]      0.18      0.10      0.16      0.04      0.33    124.57      1.00
          det_prob[15]      0.18      0.10      0.16      0.04      0.32    121.44      1.00
          det_prob[16]      0.18      0.10      0.16      0.04      0.32    119.57      1.00
          det_prob[17]      0.18      0.10      0.15      0.04      0.32    113.44      1.00
          det_prob[18]      0.17      0.10      0.15      0.03      0.32    113.74      1.00
          det_prob[19]      0.17      0.10      0.15      0.04      0.32    107.80      1.00
          det_prob[20]      0.17      0.10      0.15      0.03      0.30    110.76      1.00
          det_prob[21]      0.17      0.10      0.14      0.03      0.30    106.51      1.00
          det_prob[22]      0.17      0.10      0.14      0.03      0.31    100.98      1.00
          det_prob[23]      0.17      0.10      0.14      0.04      0.30    102.28      1.00
          det_prob[24]      0.17      0.10      0.14      0.04      0.31    102.86      1.00
          det_prob[25]      0.17      0.10      0.14      0.04      0.30    103.71      1.00
          det_prob[26]      0.17      0.09      0.14      0.04      0.31    101.82      1.00
          det_prob[27]      0.17      0.09      0.15      0.03      0.29    100.23      1.00
          det_prob[28]      0.17      0.09      0.15      0.03      0.30     97.72      1.00
          det_prob[29]      0.17      0.09      0.15      0.03      0.30     97.60      1.00
          det_prob[30]      0.17      0.10      0.15      0.03      0.30     97.76      1.00
          det_prob[31]      0.17      0.10      0.15      0.04      0.31     97.44      1.00
          det_prob[32]      0.17      0.10      0.15      0.03      0.31     97.81      1.00
          det_prob[33]      0.18      0.10      0.15      0.03      0.31     92.96      1.00
          det_prob[34]      0.18      0.10      0.16      0.03      0.32     86.99      1.00
          det_prob[35]      0.18      0.10      0.17      0.03      0.32     89.33      1.00
          det_prob[36]      0.19      0.10      0.17      0.04      0.32     89.55      1.00
          det_prob[37]      0.19      0.10      0.17      0.03      0.33     85.07      1.00
          det_prob[38]      0.20      0.10      0.18      0.03      0.34     89.53      1.00
          det_prob[39]      0.20      0.10      0.18      0.04      0.36     85.53      1.00
          det_prob[40]      0.20      0.11      0.19      0.04      0.35     84.26      1.00
          det_prob[41]      0.21      0.11      0.19      0.04      0.36     87.87      1.00
          det_prob[42]      0.21      0.11      0.20      0.04      0.36     78.96      1.01
          det_prob[43]      0.22      0.11      0.21      0.05      0.38     80.49      1.00
          det_prob[44]      0.22      0.11      0.21      0.05      0.38     77.70      1.01
          det_prob[45]      0.23      0.11      0.21      0.05      0.38     79.18      1.01
          det_prob[46]      0.23      0.12      0.21      0.06      0.41     76.21      1.01
          det_prob[47]      0.24      0.12      0.22      0.06      0.43     75.46      1.01
          det_prob[48]      0.24      0.12      0.22      0.06      0.44     72.76      1.01
          det_prob[49]      0.25      0.13      0.23      0.07      0.45     68.80      1.02
          det_prob[50]      0.25      0.13      0.23      0.05      0.43     69.13      1.02
          det_prob[51]      0.26      0.13      0.24      0.07      0.45     67.00      1.02
          det_prob[52]      0.26      0.13      0.24      0.07      0.47     70.34      1.02
          det_prob[53]      0.27      0.14      0.24      0.06      0.47     70.96      1.02
          det_prob[54]      0.27      0.14      0.24      0.07      0.48     71.62      1.02
          det_prob[55]      0.27      0.14      0.25      0.07      0.49     69.81      1.02
          det_prob[56]      0.28      0.14      0.26      0.06      0.49     67.60      1.02
          det_prob[57]      0.28      0.14      0.26      0.06      0.50     62.94      1.02
          det_prob[58]      0.29      0.15      0.27      0.07      0.51     62.04      1.02
          det_prob[59]      0.29      0.15      0.27      0.08      0.52     64.05      1.02
          det_prob[60]      0.30      0.15      0.27      0.07      0.52     62.49      1.02
          det_prob[61]      0.31      0.16      0.28      0.08      0.54     58.38      1.02
          det_prob[62]      0.31      0.16      0.29      0.08      0.54     56.65      1.02
          det_prob[63]      0.32      0.16      0.30      0.09      0.56     55.86      1.02
          det_prob[64]      0.32      0.16      0.30      0.08      0.57     56.08      1.02
          det_prob[65]      0.33      0.16      0.30      0.10      0.59     58.04      1.02
          det_prob[66]      0.34      0.16      0.31      0.09      0.58     56.29      1.02
          det_prob[67]      0.34      0.17      0.31      0.08      0.60     55.83      1.01
          det_prob[68]      0.35      0.17      0.32      0.09      0.62     54.86      1.01
          det_prob[69]      0.36      0.18      0.33      0.09      0.62     53.94      1.01
          det_prob[70]      0.37      0.18      0.34      0.09      0.64     55.08      1.01
          det_prob[71]      0.37      0.18      0.34      0.09      0.65     55.37      1.01
          det_prob[72]      0.38      0.18      0.35      0.10      0.67     54.05      1.01
          det_prob[73]      0.39      0.18      0.36      0.12      0.70     54.90      1.01
          det_prob[74]      0.40      0.19      0.37      0.13      0.71     53.88      1.01
          det_prob[75]      0.42      0.19      0.39      0.13      0.73     54.14      1.01
          det_prob[76]      0.43      0.19      0.40      0.12      0.73     52.07      1.01
          det_prob[77]      0.43      0.20      0.40      0.11      0.73     51.49      1.01
          det_prob[78]      0.44      0.20      0.42      0.15      0.78     52.27      1.02
          det_prob[79]      0.45      0.20      0.43      0.13      0.77     50.87      1.02
          det_prob[80]      0.45      0.20      0.44      0.15      0.78     50.44      1.02
          det_prob[81]      0.47      0.21      0.46      0.15      0.79     50.36      1.02
          det_prob[82]      0.48      0.21      0.47      0.16      0.80     49.43      1.02
          det_prob[83]      0.49      0.21      0.48      0.18      0.83     48.82      1.02
          det_prob[84]      0.49      0.21      0.49      0.20      0.85     48.68      1.02
          det_prob[85]      0.50      0.21      0.50      0.16      0.83     48.94      1.02
          det_prob[86]      0.51      0.21      0.52      0.16      0.83     48.64      1.01
          det_prob[87]      0.52      0.21      0.52      0.20      0.86     48.84      1.01
          det_prob[88]      0.53      0.21      0.54      0.19      0.86     48.93      1.01
          det_prob[89]      0.54      0.21      0.56      0.21      0.88     48.89      1.02
          det_prob[90]      0.55      0.22      0.56      0.21      0.89     48.49      1.01
          det_prob[91]      0.55      0.22      0.56      0.23      0.90     48.88      1.02
          det_prob[92]      0.56      0.21      0.57      0.24      0.91     49.27      1.02
          det_prob[93]      0.57      0.22      0.59      0.23      0.89     48.50      1.01
          det_prob[94]      0.58      0.22      0.60      0.23      0.90     48.64      1.01
          det_prob[95]      0.59      0.21      0.61      0.22      0.89     49.65      1.01
          det_prob[96]      0.60      0.21      0.62      0.24      0.91     48.11      1.01
          det_prob[97]      0.61      0.21      0.63      0.26      0.92     47.21      1.01
          det_prob[98]      0.61      0.21      0.63      0.29      0.95     46.32      1.02
          det_prob[99]      0.62      0.21      0.65      0.30      0.96     46.54      1.01
         det_prob[100]      0.63      0.21      0.65      0.31      0.96     46.20      1.01
         det_prob[101]      0.63      0.21      0.66      0.32      0.96     46.11      1.01
         det_prob[102]      0.64      0.21      0.67      0.32      0.97     45.25      1.01
         det_prob[103]      0.65      0.21      0.68      0.30      0.95     44.11      1.01
         det_prob[104]      0.66      0.21      0.69      0.32      0.95     43.59      1.01
         det_prob[105]      0.66      0.21      0.69      0.35      0.98     43.87      1.01
         det_prob[106]      0.67      0.21      0.71      0.36      0.97     43.99      1.01
         det_prob[107]      0.67      0.20      0.70      0.35      0.97     43.64      1.01
         det_prob[108]      0.68      0.20      0.72      0.37      0.97     43.79      1.01
         det_prob[109]      0.69      0.20      0.72      0.37      0.97     44.35      1.01
         det_prob[110]      0.69      0.20      0.73      0.38      0.97     43.71      1.01
         det_prob[111]      0.70      0.19      0.73      0.39      0.98     42.22      1.01
         det_prob[112]      0.70      0.20      0.73      0.40      0.98     42.02      1.01
