
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.82      1.09      0.46      0.00      2.00   1075.58      1.00
                    E0     24.75     25.72     17.59      0.02     54.43     84.02      1.00
                    H0      2.39      2.34      1.76      0.02      5.39    433.64      1.01
                    I0      8.35     11.14      4.98      0.02     18.17     61.15      1.01
                 beta0      1.83      0.98      1.76      0.53      3.03      8.54      1.04
  confirmed_dispersion      0.24      0.04      0.24      0.17      0.30   1015.40      1.00
      death_dispersion      0.29      0.03      0.29      0.25      0.33   2297.56      1.00
            death_prob      0.02      0.00      0.02      0.01      0.02     16.49      1.03
            death_rate      0.05      0.01      0.04      0.03      0.06     41.91      1.04
           det_prob[0]      0.22      0.06      0.21      0.12      0.30    264.77      1.01
           det_prob[1]      0.20      0.06      0.19      0.10      0.29    195.25      1.01
           det_prob[2]      0.19      0.06      0.18      0.09      0.29    174.08      1.01
           det_prob[3]      0.18      0.07      0.17      0.07      0.27    129.74      1.01
           det_prob[4]      0.17      0.06      0.16      0.06      0.25    124.84      1.01
           det_prob[5]      0.16      0.06      0.15      0.06      0.25     99.64      1.01
           det_prob[6]      0.15      0.06      0.14      0.06      0.24     77.89      1.01
           det_prob[7]      0.14      0.06      0.13      0.05      0.22     65.50      1.02
           det_prob[8]      0.14      0.06      0.12      0.05      0.22     59.05      1.02
           det_prob[9]      0.13      0.06      0.12      0.05      0.22     46.00      1.02
          det_prob[10]      0.13      0.06      0.12      0.05      0.22     45.30      1.02
          det_prob[11]      0.13      0.06      0.12      0.05      0.22     39.63      1.02
          det_prob[12]      0.14      0.06      0.13      0.05      0.22     35.72      1.03
          det_prob[13]      0.14      0.06      0.13      0.05      0.22     34.58      1.04
          det_prob[14]      0.14      0.06      0.13      0.05      0.23     35.56      1.04
          det_prob[15]      0.15      0.06      0.14      0.05      0.23     33.36      1.04
          det_prob[16]      0.15      0.06      0.14      0.07      0.25     33.78      1.04
          det_prob[17]      0.15      0.06      0.14      0.07      0.25     27.93      1.05
          det_prob[18]      0.16      0.06      0.15      0.06      0.26     27.12      1.05
          det_prob[19]      0.16      0.06      0.15      0.07      0.27     26.16      1.05
          det_prob[20]      0.16      0.07      0.15      0.06      0.26     28.10      1.05
          det_prob[21]      0.16      0.07      0.15      0.07      0.28     30.82      1.05
          det_prob[22]      0.18      0.07      0.17      0.07      0.28     29.71      1.06
          det_prob[23]      0.19      0.07      0.18      0.07      0.29     24.47      1.06
          det_prob[24]      0.20      0.07      0.19      0.09      0.31     26.17      1.05
          det_prob[25]      0.21      0.08      0.20      0.10      0.34     26.97      1.05
