
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.65      0.77      0.41      0.00      1.53    736.74      1.00
                    E0     39.14     27.97     32.78      1.16     76.02    101.48      1.01
                    H0      1.64      1.53      1.19      0.02      3.52    276.46      1.01
                    I0      6.78      8.16      4.30      0.01     15.69    163.72      1.00
                 beta0      2.40      0.90      2.47      1.05      3.71      5.46      1.00
  confirmed_dispersion      0.12      0.02      0.12      0.10      0.14    536.78      1.00
      death_dispersion      0.21      0.02      0.21      0.18      0.23    363.70      1.00
            death_prob      0.02      0.00      0.02      0.02      0.02     20.67      1.00
            death_rate      0.05      0.01      0.05      0.04      0.07      6.16      1.26
           det_prob[0]      0.22      0.06      0.22      0.12      0.30     61.45      1.02
           det_prob[1]      0.21      0.06      0.20      0.11      0.29     48.65      1.02
           det_prob[2]      0.19      0.06      0.19      0.11      0.29     43.31      1.02
           det_prob[3]      0.18      0.06      0.17      0.10      0.28     38.87      1.02
           det_prob[4]      0.17      0.06      0.16      0.08      0.26     28.78      1.02
           det_prob[5]      0.16      0.06      0.15      0.07      0.24     25.61      1.03
           det_prob[6]      0.15      0.05      0.14      0.07      0.23     24.60      1.03
           det_prob[7]      0.14      0.05      0.13      0.07      0.22     22.30      1.04
           det_prob[8]      0.14      0.05      0.13      0.06      0.21     20.16      1.05
           det_prob[9]      0.13      0.04      0.13      0.07      0.20     17.75      1.06
          det_prob[10]      0.13      0.04      0.12      0.07      0.19     16.13      1.06
          det_prob[11]      0.13      0.04      0.12      0.07      0.19     14.78      1.08
          det_prob[12]      0.14      0.04      0.13      0.07      0.20     13.10      1.09
          det_prob[13]      0.15      0.04      0.14      0.08      0.21     12.73      1.11
          det_prob[14]      0.16      0.04      0.15      0.09      0.22     11.34      1.14
          det_prob[15]      0.16      0.04      0.15      0.09      0.23     13.80      1.12
          det_prob[16]      0.15      0.04      0.15      0.09      0.23     14.16      1.13
          det_prob[17]      0.15      0.04      0.14      0.08      0.21     15.88      1.12
          det_prob[18]      0.15      0.04      0.14      0.08      0.22     13.13      1.15
          det_prob[19]      0.16      0.05      0.15      0.09      0.23     11.75      1.17
          det_prob[20]      0.17      0.05      0.16      0.09      0.24     11.55      1.18
          det_prob[21]      0.17      0.05      0.17      0.09      0.25     11.07      1.18
          det_prob[22]      0.18      0.05      0.17      0.10      0.26     10.74      1.20
          det_prob[23]      0.19      0.05      0.18      0.10      0.27     10.81      1.19
          det_prob[24]      0.19      0.06      0.18      0.10      0.29     11.10      1.18
          det_prob[25]      0.20      0.06      0.19      0.12      0.31     10.85      1.19
          det_prob[26]      0.22      0.06      0.21      0.11      0.31     11.39      1.18
          det_prob[27]      0.23      0.06      0.22      0.13      0.33     11.64      1.18
          det_prob[28]      0.24      0.07      0.23      0.15      0.35     12.35      1.17
          det_prob[29]      0.25      0.06      0.24      0.16      0.36     14.00      1.14
          det_prob[30]      0.27      0.07      0.26      0.17      0.38     14.79      1.12
          det_prob[31]      0.28      0.07      0.27      0.18      0.40     17.01      1.11
          det_prob[32]      0.30      0.07      0.29      0.18      0.42     17.79      1.10
          det_prob[33]      0.32      0.08      0.31      0.21      0.46     17.95      1.09
          det_prob[34]      0.34      0.08      0.33      0.23      0.48     20.70      1.09
          det_prob[35]      0.36      0.08      0.36      0.24      0.48     27.39      1.07
          det_prob[36]      0.37      0.08      0.37      0.24      0.50     32.53      1.05
          det_prob[37]      0.38      0.08      0.37      0.24      0.51     30.73      1.04
          det_prob[38]      0.38      0.09      0.38      0.24      0.51     29.75      1.03
          det_prob[39]      0.39      0.09      0.39      0.23      0.53     29.50      1.02
          det_prob[40]      0.41      0.09      0.40      0.28      0.57     30.67      1.01
          det_prob[41]      0.43      0.09      0.43      0.29      0.58     28.73      1.00
          det_prob[42]      0.45      0.09      0.44      0.29      0.58     27.43      1.00
          det_prob[43]      0.46      0.09      0.45      0.31      0.60     26.58      1.00
          det_prob[44]      0.47      0.09      0.46      0.32      0.62     25.47      1.01
          det_prob[45]      0.47      0.09      0.47      0.32      0.62     24.05      1.01
          det_prob[46]      0.48      0.10      0.47      0.34      0.65     21.97      1.01
          det_prob[47]      0.50      0.10      0.49      0.36      0.67     22.40      1.01
          det_prob[48]      0.51      0.09      0.50      0.35      0.66     20.82      1.01
          det_prob[49]      0.53      0.09      0.52      0.39      0.69     20.82      1.01
          det_prob[50]      0.54      0.10      0.52      0.38      0.69     22.06      1.01
          det_prob[51]      0.54      0.11      0.52      0.37      0.70     22.72      1.01
          det_prob[52]      0.55      0.11      0.53      0.37      0.71     22.70      1.01
          det_prob[53]      0.55      0.11      0.54      0.36      0.72     22.61      1.02
          det_prob[54]      0.57      0.11      0.56      0.40      0.75     21.26      1.03
          det_prob[55]      0.58      0.10      0.57      0.40      0.74     20.84      1.04
          det_prob[56]      0.59      0.10      0.59      0.45      0.77     21.00      1.05
          det_prob[57]      0.60      0.10      0.59      0.45      0.79     20.85      1.06
          det_prob[58]      0.61      0.10      0.61      0.43      0.77     19.61      1.06
          det_prob[59]      0.61      0.10      0.61      0.43      0.76     20.22      1.07
          det_prob[60]      0.62      0.10      0.62      0.45      0.78     19.76      1.07
          det_prob[61]      0.63      0.10      0.64      0.46      0.79     21.23      1.07
          det_prob[62]      0.64      0.10      0.65      0.47      0.81     24.60      1.06
          det_prob[63]      0.65      0.10      0.66      0.48      0.82     27.07      1.05
          det_prob[64]      0.66      0.10      0.67      0.50      0.82     33.71      1.05
          det_prob[65]      0.67      0.10      0.67      0.52      0.84     39.93      1.04
          det_prob[66]      0.68      0.10      0.68      0.52      0.84     40.57      1.03
          det_prob[67]      0.69      0.10      0.70      0.54      0.85     41.72      1.03
          det_prob[68]      0.70      0.10      0.71      0.56      0.85     41.54      1.02
          det_prob[69]      0.71      0.10      0.73      0.55      0.85     42.24      1.03
          det_prob[70]      0.72      0.09      0.73      0.58      0.87     40.85      1.02
          det_prob[71]      0.73      0.09      0.74      0.60      0.87     39.28      1.02
          det_prob[72]      0.74      0.09      0.75      0.59      0.87     39.27      1.01
          det_prob[73]      0.75      0.08      0.76      0.61      0.89     39.71      1.01
          det_prob[74]      0.75      0.09      0.76      0.61      0.89     37.57      1.01
          det_prob[75]      0.76      0.08      0.77      0.62      0.89     38.20      1.01
          det_prob[76]      0.76      0.08      0.77      0.62      0.89     37.83      1.00
          det_prob[77]      0.77      0.08      0.78      0.62      0.89     36.51      1.00
          det_prob[78]      0.77      0.09      0.79      0.63      0.90     37.32      1.00
          det_prob[79]      0.78      0.08      0.79      0.65      0.91     36.98      1.00
          det_prob[80]      0.78      0.08      0.80      0.64      0.90     36.17      1.00
          det_prob[81]      0.79      0.09      0.81      0.66      0.92     35.74      1.00
          det_prob[82]      0.80      0.08      0.81      0.66      0.92     36.97      1.00
          det_prob[83]      0.80      0.08      0.82      0.67      0.92     36.54      1.00
          det_prob[84]      0.81      0.08      0.83      0.70      0.93     34.30      1.01
          det_prob[85]      0.82      0.07      0.83      0.70      0.93     37.72      1.01
          det_prob[86]      0.83      0.07      0.84      0.72      0.93     43.04      1.02
          det_prob[87]      0.83      0.07      0.84      0.73      0.93     41.48      1.03
          det_prob[88]      0.84      0.07      0.84      0.73      0.94     47.54      1.04
          det_prob[89]      0.84      0.07      0.85      0.75      0.95     49.11      1.05
          det_prob[90]      0.85      0.06      0.86      0.76      0.95     52.15      1.07
          det_prob[91]      0.85      0.06      0.86      0.75      0.94     50.97      1.08
          det_prob[92]      0.85      0.06      0.86      0.76      0.95     47.96      1.10
          det_prob[93]      0.85      0.06      0.86      0.75      0.95     44.11      1.10
          det_prob[94]      0.85      0.07      0.86      0.76      0.96     43.29      1.12
          det_prob[95]      0.85      0.07      0.86      0.76      0.96     37.33      1.13
          det_prob[96]      0.86      0.07      0.87      0.76      0.96     31.09      1.15
          det_prob[97]      0.86      0.06      0.87      0.77      0.96     27.28      1.18
          det_prob[98]      0.86      0.06      0.88      0.76      0.96     27.50      1.19
          det_prob[99]      0.86      0.07      0.88      0.77      0.97     24.83      1.19
         det_prob[100]      0.86      0.07      0.88      0.76      0.97     20.52      1.21
         det_prob[101]      0.87      0.07      0.88      0.75      0.96     22.20      1.20
         det_prob[102]      0.87      0.07      0.88      0.77      0.97     25.02      1.18
         det_prob[103]      0.87      0.07      0.89      0.77      0.97     24.66      1.18
         det_prob[104]      0.87      0.07      0.89      0.78      0.97     26.95      1.18
         det_prob[105]      0.87      0.07      0.89      0.77      0.96     24.28      1.17
         det_prob[106]      0.87      0.07      0.88      0.78      0.98     22.23      1.18
         det_prob[107]      0.87      0.07      0.88      0.76      0.96     23.97      1.17
         det_prob[108]      0.87      0.07      0.88      0.76      0.96     22.08      1.16
         det_prob[109]      0.86      0.07      0.87      0.76      0.96     19.99      1.16
         det_prob[110]      0.86      0.07      0.87      0.76      0.95     19.06      1.17
         det_prob[111]      0.86      0.07      0.86      0.75      0.95     16.37      1.17
         det_prob[112]      0.85      0.07      0.86      0.75      0.96     15.55      1.17
         det_prob[113]      0.85      0.07      0.86      0.75      0.96     14.36      1.19
         det_prob[114]      0.84      0.08      0.85      0.74      0.96     15.30      1.17
         det_prob[115]      0.83      0.08      0.85      0.73      0.96     15.12      1.18
         det_prob[116]      0.83      0.08      0.84      0.72      0.96     14.47      1.18
         det_prob[117]      0.82      0.08      0.83      0.71      0.96     14.58      1.18
         det_prob[118]      0.82      0.08      0.83      0.70      0.96     14.40      1.17
         det_prob[119]      0.81      0.09      0.82      0.68      0.95     14.41      1.16
         det_prob[120]      0.80      0.09      0.81      0.66      0.94     14.05      1.16
         det_prob[121]      0.79      0.09      0.80      0.63      0.92     14.26      1.15
         det_prob[122]      0.78      0.10      0.79      0.62      0.92     14.32      1.12
         det_prob[123]      0.77      0.10      0.78      0.61      0.92     13.94      1.12
         det_prob[124]      0.76      0.10      0.77      0.61      0.92     13.99      1.10
         det_prob[125]      0.76      0.10      0.76      0.60      0.92     13.25      1.10
         det_prob[126]      0.75      0.10      0.75      0.58      0.91     13.34      1.08
         det_prob[127]      0.74      0.11      0.74      0.57      0.90     12.93      1.08
         det_prob[128]      0.73      0.11      0.73      0.56      0.91     12.06      1.08
         det_prob[129]      0.73      0.11      0.72      0.56      0.91     11.91      1.06
         det_prob[130]      0.72      0.11      0.72      0.54      0.90     11.55      1.05
         det_prob[131]      0.72      0.11      0.72      0.55      0.90     11.31      1.04
         det_prob[132]      0.72      0.11      0.72      0.55      0.90     11.36      1.02
         det_prob[133]      0.72      0.11      0.73      0.54      0.90     11.81      1.01
         det_prob[134]      0.72      0.12      0.73      0.53      0.89     12.76      1.00
         det_prob[135]      0.71      0.12      0.73      0.53      0.91     13.67      1.00
         det_prob[136]      0.71      0.13      0.73      0.52      0.92     13.60      1.00
         det_prob[137]      0.71      0.13      0.72      0.51      0.92     14.37      1.01
         det_prob[138]      0.71      0.13      0.73      0.52      0.92     14.73      1.02
         det_prob[139]      0.72      0.13      0.74      0.53      0.94     14.45      1.03
         det_prob[140]      0.72      0.13      0.74      0.52      0.93     14.66      1.04
         det_prob[141]      0.72      0.13      0.74      0.50      0.92     14.25      1.06
         det_prob[142]      0.73      0.13      0.74      0.51      0.92     14.59      1.07
         det_prob[143]      0.73      0.13      0.75      0.54      0.96     14.84      1.08
         det_prob[144]      0.74      0.13      0.76      0.53      0.95     14.95      1.09
         det_prob[145]      0.75      0.12      0.77      0.55      0.94     14.54      1.10
         det_prob[146]      0.76      0.12      0.78      0.58      0.96     14.38      1.12
         det_prob[147]      0.77      0.12      0.79      0.60      0.97     13.96      1.12
         det_prob[148]      0.78      0.11      0.79      0.61      0.96     13.87      1.13
         det_prob[149]      0.78      0.11      0.79      0.62      0.97     13.57      1.14
         det_prob[150]      0.79      0.11      0.80      0.63      0.97     13.17      1.15
         det_prob[151]      0.80      0.11      0.81      0.65      0.97     13.15      1.15
         det_prob[152]      0.81      0.11      0.82      0.66      0.98     12.87      1.15
         det_prob[153]      0.81      0.11      0.83      0.67      0.97     12.75      1.15
         det_prob[154]      0.82      0.10      0.83      0.68      0.98     12.34      1.15
         det_prob[155]      0.83      0.10      0.84      0.68      0.98     12.26      1.15
         det_prob[156]      0.83      0.10      0.85      0.68      0.98     12.36      1.14
         det_prob[157]      0.84      0.10      0.86      0.68      0.98     12.59      1.14
         det_prob[158]      0.84      0.10      0.87      0.69      0.98     12.33      1.14
         det_prob[159]      0.85      0.10      0.88      0.70      0.98     12.21      1.15
         det_prob[160]      0.86      0.10      0.88      0.71      0.99     12.47      1.14
         det_prob[161]      0.86      0.10      0.88      0.72      0.98     12.84      1.14
         det_prob[162]      0.87      0.09      0.89      0.73      0.99     12.74      1.14
         det_prob[163]      0.87      0.09      0.89      0.73      0.99     12.56      1.14
         det_prob[164]      0.87      0.09      0.90      0.74      0.99     12.64      1.14
         det_prob[165]      0.88      0.09      0.90      0.75      0.99     12.60      1.14
         det_prob[166]      0.88      0.09      0.90      0.75      0.99     12.09      1.15
         det_prob[167]      0.88      0.09      0.91      0.75      0.99     12.21      1.14
         det_prob[168]      0.89      0.09      0.91      0.76      0.99     12.05      1.15
         det_prob[169]      0.89      0.09      0.91      0.77      0.99     12.24      1.14
         det_prob[170]      0.89      0.08      0.92      0.77      0.99     11.91      1.15
         det_prob[171]      0.90      0.08      0.92      0.78      0.99     12.12      1.15
         det_prob[172]      0.90      0.08      0.92      0.79      0.99     12.04      1.15
         det_prob[173]      0.91      0.08      0.93      0.80      0.99     12.17      1.14
         det_prob[174]      0.91      0.07      0.94      0.81      0.99     12.13      1.14
         det_prob[175]      0.92      0.07      0.94      0.81      0.99     12.40      1.12
         det_prob[176]      0.92      0.07      0.94      0.83      0.99     12.52      1.12
         det_prob[177]      0.92      0.06      0.94      0.84      0.99     11.99      1.13
         det_prob[178]      0.93      0.06      0.94      0.84      0.99     11.59      1.14
         det_prob[179]      0.93      0.06      0.95      0.84      1.00     11.75      1.13
         det_prob[180]      0.93      0.06      0.95      0.85      1.00     11.51      1.13
         det_prob[181]      0.93      0.06      0.95      0.86      0.99     11.80      1.12
         det_prob[182]      0.94      0.05      0.95      0.86      1.00     12.09      1.11
         det_prob[183]      0.94      0.05      0.95      0.86      1.00     11.51      1.11
         det_prob[184]      0.94      0.05      0.95      0.87      1.00     11.13      1.10
         det_prob[185]      0.94      0.05      0.96      0.87      1.00     11.06      1.09
         det_prob[186]      0.94      0.05      0.96      0.87      1.00     11.70      1.09
         det_prob[187]      0.94      0.05      0.96      0.87      1.00     12.16      1.08
         det_prob[188]      0.94      0.05      0.96      0.87      1.00     11.90      1.08
         det_prob[189]      0.94      0.05      0.96      0.88      1.00     11.72      1.08
         det_prob[190]      0.95      0.05      0.96      0.88      1.00     11.37      1.08
         det_prob[191]      0.95      0.05      0.96      0.88      1.00     11.17      1.08
         det_prob[192]      0.95      0.05      0.96      0.89      1.00     11.29      1.07
         det_prob[193]      0.95      0.05      0.96      0.88      1.00     11.00      1.07
         det_prob[194]      0.95      0.05      0.96      0.88      1.00     10.56      1.08
         det_prob[195]      0.95      0.05      0.96      0.88      1.00     10.67      1.07
         det_prob[196]      0.95      0.05      0.96      0.88      1.00     10.02      1.08
         det_prob[197]      0.95      0.05      0.96      0.88      1.00      9.74      1.09
         det_prob[198]      0.95      0.05      0.96      0.87      1.00      9.47      1.09
         det_prob[199]      0.95      0.05      0.96      0.88      1.00      9.29      1.09
         det_prob[200]      0.95      0.05      0.97      0.88      1.00      9.17      1.09
