
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.94      1.46      0.52      0.00      2.09   1079.74      1.00
                    E0     11.48     13.85      7.39      0.01     26.98     85.27      1.00
                    H0      1.30      1.26      0.95      0.00      2.97   2072.22      1.00
                    I0      4.49      6.19      2.58      0.01     10.48     45.17      1.01
                 beta0      1.69      0.91      1.66      0.50      2.92      7.97      1.02
  confirmed_dispersion      0.12      0.02      0.12      0.10      0.15   1033.56      1.00
      death_dispersion      0.43      0.06      0.42      0.32      0.52   1685.94      1.00
            death_prob      0.01      0.00      0.01      0.00      0.01     18.57      1.02
            death_rate      0.05      0.01      0.05      0.04      0.07    202.33      1.02
           det_prob[0]      0.25      0.07      0.24      0.14      0.35    362.27      1.00
           det_prob[1]      0.24      0.07      0.23      0.13      0.35    326.89      1.00
           det_prob[2]      0.23      0.08      0.22      0.11      0.35    263.10      1.00
           det_prob[3]      0.22      0.08      0.21      0.09      0.34    229.44      1.00
           det_prob[4]      0.21      0.08      0.20      0.09      0.34    213.57      1.00
           det_prob[5]      0.21      0.08      0.20      0.09      0.33    210.50      1.01
           det_prob[6]      0.21      0.08      0.19      0.07      0.32    218.41      1.01
           det_prob[7]      0.21      0.08      0.19      0.07      0.32    171.25      1.01
           det_prob[8]      0.21      0.08      0.19      0.08      0.34    132.05      1.02
           det_prob[9]      0.21      0.09      0.19      0.09      0.35    167.42      1.02
          det_prob[10]      0.22      0.09      0.20      0.09      0.35    154.33      1.02
          det_prob[11]      0.22      0.08      0.20      0.08      0.35    132.51      1.02
          det_prob[12]      0.22      0.09      0.20      0.10      0.35     97.39      1.03
          det_prob[13]      0.22      0.09      0.20      0.09      0.35     95.41      1.02
          det_prob[14]      0.22      0.08      0.20      0.10      0.36    110.14      1.03
          det_prob[15]      0.23      0.09      0.21      0.10      0.36     81.71      1.04
          det_prob[16]      0.23      0.08      0.21      0.10      0.35     67.05      1.05
          det_prob[17]      0.23      0.08      0.22      0.11      0.37     62.98      1.05
          det_prob[18]      0.24      0.08      0.23      0.12      0.36     66.98      1.05
          det_prob[19]      0.23      0.08      0.22      0.11      0.36     64.63      1.04
          det_prob[20]      0.23      0.08      0.22      0.09      0.33     67.19      1.05
          det_prob[21]      0.23      0.08      0.22      0.11      0.35     65.66      1.05
          det_prob[22]      0.23      0.08      0.22      0.11      0.35     59.88      1.06
          det_prob[23]      0.24      0.08      0.23      0.12      0.35     57.30      1.05
          det_prob[24]      0.24      0.08      0.23      0.13      0.36     56.81      1.04
          det_prob[25]      0.23      0.08      0.22      0.12      0.35     59.34      1.04
          det_prob[26]      0.23      0.08      0.22      0.11      0.36     61.96      1.04
          det_prob[27]      0.23      0.08      0.22      0.11      0.36     57.64      1.04
          det_prob[28]      0.26      0.08      0.24      0.12      0.37     43.84      1.04
          det_prob[29]      0.26      0.08      0.26      0.13      0.39     46.68      1.04
          det_prob[30]      0.27      0.08      0.26      0.14      0.40     54.96      1.03
          det_prob[31]      0.26      0.08      0.25      0.13      0.40     42.83      1.04
          det_prob[32]      0.25      0.08      0.24      0.13      0.39     37.86      1.05
          det_prob[33]      0.24      0.08      0.23      0.11      0.37     32.59      1.04
          det_prob[34]      0.24      0.08      0.23      0.11      0.37     32.65      1.04
          det_prob[35]      0.24      0.08      0.24      0.10      0.37     35.47      1.03
          det_prob[36]      0.26      0.09      0.25      0.13      0.40     32.21      1.03
          det_prob[37]      0.26      0.09      0.25      0.11      0.39     32.73      1.03
          det_prob[38]      0.25      0.09      0.24      0.12      0.38     33.43      1.02
          det_prob[39]      0.25      0.09      0.24      0.11      0.37     35.85      1.01
          det_prob[40]      0.25      0.09      0.25      0.10      0.38     33.85      1.01
          det_prob[41]      0.27      0.09      0.26      0.12      0.41     33.18      1.01
          det_prob[42]      0.28      0.09      0.27      0.13      0.42     33.71      1.01
          det_prob[43]      0.29      0.09      0.28      0.14      0.44     33.87      1.01
          det_prob[44]      0.29      0.10      0.28      0.14      0.45     35.98      1.01
          det_prob[45]      0.30      0.10      0.29      0.15      0.46     38.49      1.00
          det_prob[46]      0.31      0.10      0.29      0.14      0.46     38.49      1.00
          det_prob[47]      0.31      0.10      0.29      0.15      0.46     38.57      1.00
          det_prob[48]      0.32      0.10      0.31      0.17      0.48     37.73      1.00
          det_prob[49]      0.33      0.10      0.32      0.16      0.48     37.58      1.00
          det_prob[50]      0.33      0.10      0.32      0.16      0.49     40.32      1.00
          det_prob[51]      0.33      0.10      0.32      0.17      0.50     42.16      1.00
          det_prob[52]      0.33      0.10      0.32      0.16      0.50     42.50      1.00
          det_prob[53]      0.33      0.11      0.32      0.17      0.50     44.78      1.00
          det_prob[54]      0.33      0.11      0.32      0.17      0.50     41.76      1.00
          det_prob[55]      0.34      0.11      0.33      0.17      0.50     42.73      1.00
          det_prob[56]      0.35      0.10      0.34      0.17      0.50     43.82      1.00
          det_prob[57]      0.35      0.11      0.34      0.16      0.50     39.81      1.00
          det_prob[58]      0.35      0.11      0.35      0.19      0.53     43.82      1.00
          det_prob[59]      0.36      0.11      0.35      0.19      0.53     46.09      1.00
          det_prob[60]      0.36      0.11      0.35      0.19      0.54     47.50      1.00
          det_prob[61]      0.36      0.11      0.35      0.19      0.54     47.43      1.00
          det_prob[62]      0.37      0.11      0.36      0.19      0.56     46.10      1.00
          det_prob[63]      0.37      0.11      0.36      0.19      0.55     48.07      1.00
          det_prob[64]      0.38      0.12      0.37      0.19      0.56     50.61      1.00
          det_prob[65]      0.39      0.12      0.37      0.19      0.56     49.99      1.00
          det_prob[66]      0.39      0.12      0.37      0.20      0.58     49.26      1.00
          det_prob[67]      0.38      0.12      0.38      0.19      0.57     50.53      1.00
          det_prob[68]      0.39      0.12      0.38      0.21      0.58     49.19      1.00
          det_prob[69]      0.40      0.12      0.40      0.22      0.61     47.80      1.00
          det_prob[70]      0.41      0.12      0.40      0.22      0.60     52.01      1.00
          det_prob[71]      0.43      0.12      0.42      0.24      0.63     50.84      1.00
          det_prob[72]      0.44      0.12      0.42      0.23      0.61     51.66      1.00
          det_prob[73]      0.45      0.12      0.44      0.26      0.64     52.84      1.00
          det_prob[74]      0.45      0.12      0.44      0.23      0.63     60.37      1.00
          det_prob[75]      0.46      0.13      0.45      0.27      0.68     60.74      1.00
          det_prob[76]      0.47      0.13      0.46      0.27      0.68     60.75      1.00
          det_prob[77]      0.48      0.13      0.47      0.24      0.66     61.13      1.00
          det_prob[78]      0.49      0.13      0.48      0.26      0.69     59.90      1.00
          det_prob[79]      0.49      0.13      0.49      0.25      0.69     59.81      1.00
          det_prob[80]      0.49      0.14      0.48      0.28      0.72     58.89      1.01
          det_prob[81]      0.49      0.14      0.49      0.27      0.73     56.78      1.01
          det_prob[82]      0.50      0.14      0.49      0.30      0.76     57.82      1.01
