
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.00      1.94      0.52      0.00      2.33    764.81      1.00
                    E0     19.96     18.36     15.42      0.14     42.72    139.80      1.00
                    H0      2.72      2.29      2.14      0.01      5.70    263.22      1.01
                    I0      6.09      7.45      3.76      0.02     14.21    140.27      1.01
                 beta0      2.28      0.93      2.34      0.86      3.60      6.35      1.04
  confirmed_dispersion      0.11      0.01      0.11      0.10      0.12    584.80      1.00
      death_dispersion      0.47      0.04      0.47      0.40      0.53    543.83      1.00
            death_prob      0.02      0.00      0.02      0.01      0.02      7.08      1.36
            death_rate      0.06      0.02      0.06      0.04      0.09      9.10      1.21
           det_prob[0]      0.22      0.06      0.21      0.11      0.30     70.72      1.00
           det_prob[1]      0.20      0.06      0.20      0.11      0.30     60.15      1.01
           det_prob[2]      0.19      0.06      0.18      0.09      0.28     55.56      1.00
           det_prob[3]      0.18      0.06      0.17      0.08      0.27     48.72      1.00
           det_prob[4]      0.17      0.06      0.16      0.08      0.27     42.75      1.00
           det_prob[5]      0.17      0.06      0.16      0.08      0.26     34.01      1.00
           det_prob[6]      0.16      0.06      0.15      0.07      0.24     33.62      1.00
           det_prob[7]      0.16      0.06      0.15      0.08      0.24     30.85      1.00
           det_prob[8]      0.16      0.06      0.15      0.07      0.24     26.94      1.00
           det_prob[9]      0.15      0.05      0.14      0.07      0.23     22.68      1.00
          det_prob[10]      0.14      0.05      0.13      0.07      0.20     21.93      1.01
          det_prob[11]      0.13      0.04      0.13      0.07      0.20     21.93      1.01
          det_prob[12]      0.13      0.04      0.13      0.07      0.20     20.39      1.01
          det_prob[13]      0.13      0.04      0.12      0.06      0.19     23.89      1.02
          det_prob[14]      0.13      0.04      0.13      0.07      0.19     23.48      1.02
          det_prob[15]      0.13      0.04      0.13      0.06      0.19     28.77      1.02
          det_prob[16]      0.13      0.04      0.13      0.07      0.19     32.70      1.03
          det_prob[17]      0.14      0.04      0.13      0.07      0.20     30.28      1.03
          det_prob[18]      0.13      0.04      0.13      0.07      0.19     26.54      1.05
          det_prob[19]      0.13      0.04      0.13      0.07      0.19     26.31      1.05
          det_prob[20]      0.14      0.04      0.14      0.08      0.21     27.01      1.07
          det_prob[21]      0.14      0.04      0.14      0.08      0.22     30.90      1.06
          det_prob[22]      0.15      0.05      0.14      0.08      0.22     31.32      1.07
          det_prob[23]      0.15      0.05      0.14      0.07      0.23     38.94      1.06
          det_prob[24]      0.16      0.05      0.15      0.08      0.23     42.84      1.06
          det_prob[25]      0.16      0.05      0.15      0.08      0.24     42.21      1.07
          det_prob[26]      0.16      0.05      0.16      0.09      0.25     42.23      1.07
          det_prob[27]      0.17      0.05      0.16      0.09      0.25     42.41      1.08
          det_prob[28]      0.17      0.05      0.16      0.09      0.25     45.93      1.06
          det_prob[29]      0.17      0.05      0.17      0.10      0.26     47.51      1.05
          det_prob[30]      0.18      0.05      0.17      0.10      0.26     44.89      1.05
          det_prob[31]      0.17      0.05      0.17      0.10      0.25     44.04      1.04
          det_prob[32]      0.17      0.05      0.17      0.10      0.25     45.31      1.03
          det_prob[33]      0.18      0.05      0.18      0.10      0.26     44.94      1.03
          det_prob[34]      0.18      0.05      0.18      0.10      0.26     46.50      1.02
          det_prob[35]      0.19      0.05      0.18      0.11      0.27     52.11      1.01
          det_prob[36]      0.19      0.05      0.19      0.11      0.28     54.25      1.01
          det_prob[37]      0.20      0.05      0.19      0.11      0.27     52.56      1.00
          det_prob[38]      0.19      0.05      0.18      0.11      0.28     53.65      1.00
          det_prob[39]      0.20      0.05      0.19      0.10      0.27     43.98      1.00
          det_prob[40]      0.20      0.06      0.20      0.11      0.29     48.69      1.00
          det_prob[41]      0.21      0.06      0.20      0.12      0.30     42.47      1.01
          det_prob[42]      0.22      0.06      0.21      0.12      0.31     37.34      1.02
          det_prob[43]      0.24      0.06      0.23      0.14      0.33     35.57      1.04
          det_prob[44]      0.25      0.07      0.24      0.14      0.35     32.80      1.06
          det_prob[45]      0.26      0.07      0.25      0.15      0.35     31.41      1.07
          det_prob[46]      0.27      0.07      0.26      0.17      0.40     29.40      1.08
          det_prob[47]      0.29      0.07      0.28      0.18      0.40     30.78      1.09
          det_prob[48]      0.30      0.08      0.29      0.19      0.42     28.23      1.09
          det_prob[49]      0.32      0.08      0.31      0.21      0.45     25.67      1.10
          det_prob[50]      0.34      0.09      0.32      0.21      0.46     24.58      1.11
          det_prob[51]      0.35      0.09      0.34      0.23      0.50     24.66      1.10
          det_prob[52]      0.37      0.10      0.36      0.22      0.52     22.80      1.12
          det_prob[53]      0.38      0.10      0.37      0.23      0.55     20.82      1.15
          det_prob[54]      0.41      0.10      0.40      0.23      0.56     16.73      1.18
          det_prob[55]      0.42      0.10      0.42      0.25      0.58     14.65      1.21
          det_prob[56]      0.45      0.10      0.44      0.29      0.61     12.74      1.25
          det_prob[57]      0.47      0.10      0.46      0.29      0.62     11.55      1.27
          det_prob[58]      0.48      0.11      0.48      0.29      0.63     11.23      1.28
          det_prob[59]      0.50      0.11      0.50      0.31      0.67     10.62      1.29
