
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.84      1.29      0.48      0.00      1.85    953.51      1.00
                    E0     10.67     12.95      6.57      0.00     25.87    204.30      1.00
                    H0      1.26      1.40      0.82      0.00      2.97    404.90      1.00
                    I0     10.30     18.40      4.22      0.00     25.25     93.51      1.00
                 beta0      0.78      0.62      0.58      0.14      1.59     19.88      1.05
  confirmed_dispersion      0.75      0.10      0.74      0.59      0.92   1845.84      1.00
      death_dispersion      0.31      0.13      0.30      0.10      0.49   1095.45      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     38.56      1.00
            death_rate      0.04      0.01      0.04      0.03      0.06    515.20      1.00
           det_prob[0]      0.26      0.07      0.25      0.15      0.37    266.99      1.01
           det_prob[1]      0.25      0.07      0.24      0.11      0.35    235.69      1.01
           det_prob[2]      0.24      0.08      0.23      0.11      0.37    187.54      1.01
           det_prob[3]      0.23      0.09      0.22      0.10      0.38    195.89      1.01
           det_prob[4]      0.23      0.09      0.21      0.09      0.37    172.54      1.01
           det_prob[5]      0.22      0.09      0.21      0.08      0.37    146.82      1.02
           det_prob[6]      0.22      0.10      0.20      0.07      0.37    120.12      1.02
           det_prob[7]      0.22      0.10      0.20      0.08      0.38    124.76      1.02
           det_prob[8]      0.22      0.11      0.20      0.06      0.38    113.66      1.02
           det_prob[9]      0.22      0.11      0.19      0.06      0.39    109.11      1.02
          det_prob[10]      0.22      0.12      0.20      0.07      0.41    115.68      1.02
          det_prob[11]      0.23      0.12      0.20      0.06      0.41    107.00      1.02
          det_prob[12]      0.23      0.12      0.20      0.06      0.42    104.44      1.01
          det_prob[13]      0.23      0.12      0.20      0.06      0.41     88.93      1.02
          det_prob[14]      0.23      0.13      0.21      0.06      0.42     77.73      1.02
          det_prob[15]      0.24      0.13      0.20      0.05      0.41     75.52      1.02
          det_prob[16]      0.24      0.13      0.21      0.05      0.42     68.87      1.03
          det_prob[17]      0.25      0.13      0.22      0.05      0.42     63.51      1.03
          det_prob[18]      0.25      0.14      0.23      0.05      0.45     59.26      1.03
          det_prob[19]      0.26      0.14      0.23      0.05      0.46     58.14      1.03
          det_prob[20]      0.25      0.14      0.22      0.05      0.44     55.44      1.03
          det_prob[21]      0.25      0.14      0.22      0.04      0.44     53.60      1.03
          det_prob[22]      0.25      0.14      0.22      0.06      0.46     54.46      1.02
          det_prob[23]      0.25      0.15      0.22      0.05      0.47     51.67      1.02
          det_prob[24]      0.25      0.15      0.22      0.03      0.45     51.03      1.02
          det_prob[25]      0.25      0.15      0.22      0.04      0.46     49.47      1.02
          det_prob[26]      0.25      0.15      0.21      0.03      0.45     49.96      1.02
          det_prob[27]      0.25      0.15      0.21      0.04      0.46     48.15      1.02
          det_prob[28]      0.25      0.15      0.22      0.04      0.47     46.76      1.02
          det_prob[29]      0.25      0.16      0.22      0.03      0.47     45.96      1.02
          det_prob[30]      0.25      0.16      0.22      0.03      0.47     45.33      1.02
          det_prob[31]      0.25      0.16      0.21      0.03      0.48     45.15      1.03
          det_prob[32]      0.25      0.16      0.21      0.03      0.49     45.91      1.02
          det_prob[33]      0.25      0.17      0.21      0.03      0.50     45.25      1.02
          det_prob[34]      0.25      0.17      0.21      0.03      0.49     43.60      1.03
          det_prob[35]      0.25      0.17      0.21      0.03      0.51     44.65      1.02
          det_prob[36]      0.25      0.17      0.20      0.03      0.52     44.25      1.02
          det_prob[37]      0.25      0.18      0.20      0.02      0.52     43.32      1.02
          det_prob[38]      0.25      0.18      0.20      0.03      0.53     43.56      1.03
          det_prob[39]      0.25      0.18      0.20      0.02      0.52     43.51      1.02
          det_prob[40]      0.25      0.18      0.20      0.02      0.51     43.11      1.02
          det_prob[41]      0.26      0.18      0.21      0.02      0.53     41.54      1.02
          det_prob[42]      0.26      0.18      0.21      0.02      0.53     41.69      1.02
          det_prob[43]      0.27      0.19      0.22      0.02      0.54     40.23      1.02
          det_prob[44]      0.27      0.19      0.22      0.02      0.55     40.33      1.02
          det_prob[45]      0.28      0.19      0.23      0.03      0.56     39.05      1.01
          det_prob[46]      0.28      0.20      0.23      0.03      0.58     38.07      1.01
          det_prob[47]      0.29      0.20      0.24      0.03      0.59     38.08      1.01
          det_prob[48]      0.30      0.20      0.26      0.02      0.60     38.87      1.01
          det_prob[49]      0.31      0.20      0.27      0.03      0.62     37.16      1.01
          det_prob[50]      0.32      0.20      0.28      0.02      0.63     36.00      1.01
          det_prob[51]      0.34      0.20      0.30      0.03      0.65     37.22      1.01
          det_prob[52]      0.35      0.21      0.31      0.03      0.66     36.67      1.01
          det_prob[53]      0.36      0.21      0.32      0.05      0.69     35.57      1.01
          det_prob[54]      0.37      0.21      0.33      0.04      0.69     35.81      1.01
          det_prob[55]      0.38      0.21      0.35      0.05      0.71     35.04      1.01
          det_prob[56]      0.39      0.21      0.37      0.05      0.72     34.51      1.01
          det_prob[57]      0.39      0.22      0.37      0.05      0.73     34.68      1.00
          det_prob[58]      0.40      0.22      0.37      0.03      0.72     34.38      1.00
          det_prob[59]      0.40      0.22      0.38      0.04      0.73     35.11      1.00
          det_prob[60]      0.40      0.23      0.38      0.05      0.75     34.96      1.00
          det_prob[61]      0.41      0.23      0.39      0.05      0.75     35.47      1.00
          det_prob[62]      0.41      0.23      0.39      0.04      0.75     35.80      1.00
          det_prob[63]      0.42      0.23      0.39      0.04      0.77     35.63      1.00
          det_prob[64]      0.42      0.23      0.40      0.05      0.80     35.10      1.00
          det_prob[65]      0.43      0.23      0.41      0.04      0.78     34.86      1.00
          det_prob[66]      0.43      0.24      0.42      0.04      0.78     34.80      1.00
          det_prob[67]      0.43      0.24      0.42      0.04      0.78     34.67      1.00
          det_prob[68]      0.44      0.24      0.42      0.04      0.80     34.30      1.00
          det_prob[69]      0.44      0.24      0.42      0.05      0.80     34.57      1.00
          det_prob[70]      0.44      0.25      0.42      0.05      0.81     34.07      1.00
          det_prob[71]      0.45      0.25      0.42      0.05      0.82     33.60      1.00
          det_prob[72]      0.45      0.25      0.43      0.02      0.82     33.64      1.00
          det_prob[73]      0.45      0.25      0.43      0.03      0.82     33.49      1.00
          det_prob[74]      0.46      0.26      0.44      0.03      0.83     33.26      1.00
          det_prob[75]      0.46      0.26      0.44      0.04      0.85     33.04      1.00
          det_prob[76]      0.47      0.26      0.46      0.03      0.84     33.08      1.00
          det_prob[77]      0.48      0.26      0.46      0.06      0.88     33.35      1.00
          det_prob[78]      0.48      0.26      0.47      0.07      0.89     33.34      1.00
          det_prob[79]      0.49      0.26      0.48      0.06      0.88     33.34      1.00
          det_prob[80]      0.49      0.26      0.49      0.07      0.89     32.84      1.00
          det_prob[81]      0.50      0.26      0.50      0.08      0.90     32.28      1.00
          det_prob[82]      0.50      0.26      0.52      0.08      0.90     31.76      1.00
          det_prob[83]      0.51      0.26      0.52      0.12      0.95     31.56      1.00
          det_prob[84]      0.52      0.26      0.52      0.09      0.91     32.11      1.00
          det_prob[85]      0.52      0.27      0.53      0.12      0.94     31.78      1.00
          det_prob[86]      0.53      0.27      0.54      0.12      0.94     31.39      1.00
          det_prob[87]      0.54      0.27      0.55      0.13      0.95     30.65      1.00
          det_prob[88]      0.55      0.26      0.57      0.17      0.99     30.28      1.00
          det_prob[89]      0.55      0.26      0.58      0.18      0.99     30.17      1.00
          det_prob[90]      0.56      0.26      0.58      0.14      0.95     30.40      1.00
          det_prob[91]      0.56      0.26      0.58      0.19      0.99     30.27      1.00
          det_prob[92]      0.57      0.26      0.59      0.16      0.96     30.44      1.00
          det_prob[93]      0.57      0.26      0.60      0.20      0.99     30.27      1.00
          det_prob[94]      0.58      0.26      0.60      0.20      0.99     30.29      1.00
          det_prob[95]      0.58      0.26      0.61      0.21      0.99     30.30      1.00
          det_prob[96]      0.59      0.26      0.63      0.21      1.00     30.04      1.00
          det_prob[97]      0.59      0.26      0.63      0.22      1.00     29.97      1.00
          det_prob[98]      0.60      0.26      0.63      0.22      1.00     30.05      1.00
          det_prob[99]      0.60      0.26      0.64      0.22      1.00     29.83      1.00
         det_prob[100]      0.61      0.26      0.64      0.23      1.00     29.98      1.00
         det_prob[101]      0.61      0.26      0.65      0.24      1.00     29.90      1.00
         det_prob[102]      0.62      0.26      0.65      0.25      1.00     28.87      1.00
         det_prob[103]      0.62      0.26      0.66      0.25      1.00     28.31      1.00
         det_prob[104]      0.63      0.25      0.66      0.26      1.00     28.43      1.00
         det_prob[105]      0.63      0.25      0.67      0.27      1.00     27.99      1.00
         det_prob[106]      0.64      0.25      0.67      0.26      0.99     27.49      1.00
         det_prob[107]      0.65      0.25      0.69      0.27      1.00     27.78      1.00
         det_prob[108]      0.65      0.25      0.70      0.28      1.00     27.47      1.00
         det_prob[109]      0.66      0.24      0.70      0.29      1.00     27.13      1.00
         det_prob[110]      0.66      0.24      0.71      0.29      1.00     26.26      1.00
         det_prob[111]      0.67      0.24      0.72      0.30      1.00     26.47      1.00
         det_prob[112]      0.68      0.24      0.73      0.30      1.00     25.88      1.00
         det_prob[113]      0.68      0.24      0.74      0.32      1.00     25.40      1.00
         det_prob[114]      0.69      0.24      0.75      0.31      1.00     25.36      1.00
         det_prob[115]      0.69      0.24      0.75      0.32      1.00     24.48      1.00
         det_prob[116]      0.69      0.24      0.77      0.33      1.00     24.57      1.00
         det_prob[117]      0.70      0.23      0.77      0.34      1.00     24.01      1.00
         det_prob[118]      0.71      0.23      0.78      0.35      1.00     23.77      1.00
         det_prob[119]      0.71      0.22      0.77      0.37      1.00     24.05      1.00
         det_prob[120]      0.72      0.22      0.79      0.37      1.00     23.47      1.00
         det_prob[121]      0.72      0.22      0.79      0.39      1.00     23.20      1.00
         det_prob[122]      0.73      0.22      0.79      0.39      1.00     23.09      1.00
         det_prob[123]      0.73      0.22      0.80      0.40      1.00     22.87      1.00
         det_prob[124]      0.74      0.21      0.80      0.41      1.00     22.64      1.00
         det_prob[125]      0.74      0.21      0.80      0.43      1.00     22.49      1.00
         det_prob[126]      0.75      0.21      0.81      0.42      1.00     21.87      1.00
         det_prob[127]      0.75      0.21      0.81      0.44      1.00     21.79      1.00
         det_prob[128]      0.75      0.20      0.82      0.44      1.00     21.60      1.00
         det_prob[129]      0.76      0.20      0.81      0.43      1.00     21.32      1.00
         det_prob[130]      0.76      0.20      0.82      0.44      1.00     21.79      1.00
         det_prob[131]      0.76      0.20      0.82      0.44      1.00     22.16      1.00
         det_prob[132]      0.76      0.20      0.83      0.44      1.00     21.90      1.00
         det_prob[133]      0.76      0.20      0.83      0.44      1.00     22.17      1.00
         det_prob[134]      0.76      0.21      0.83      0.44      1.00     22.15      1.00
         det_prob[135]      0.76      0.21      0.83      0.42      1.00     22.17      1.00
         det_prob[136]      0.76      0.21      0.83      0.42      1.00     22.04      1.00
         det_prob[137]      0.76      0.21      0.83      0.43      1.00     22.03      1.00
         det_prob[138]      0.76      0.21      0.84      0.43      1.00     21.69      1.00
         det_prob[139]      0.77      0.21      0.84      0.43      1.00     21.67      1.00
         det_prob[140]      0.77      0.21      0.84      0.42      1.00     21.77      1.00
         det_prob[141]      0.77      0.21      0.84      0.43      1.00     21.67      1.00
         det_prob[142]      0.77      0.21      0.84      0.41      1.00     21.80      1.00
         det_prob[143]      0.76      0.22      0.84      0.42      1.00     21.66      1.00
         det_prob[144]      0.77      0.21      0.84      0.42      1.00     22.14      1.00
         det_prob[145]      0.77      0.21      0.85      0.42      1.00     21.95      1.00
         det_prob[146]      0.77      0.21      0.85      0.43      1.00     21.60      1.00
         det_prob[147]      0.77      0.21      0.86      0.42      1.00     21.38      1.00
         det_prob[148]      0.78      0.21      0.86      0.43      1.00     21.74      1.00
         det_prob[149]      0.78      0.21      0.86      0.42      1.00     21.82      1.00
         det_prob[150]      0.78      0.21      0.86      0.43      1.00     21.93      1.00
         det_prob[151]      0.78      0.21      0.86      0.44      1.00     22.13      1.00
         det_prob[152]      0.79      0.21      0.86      0.43      1.00     22.16      1.00
         det_prob[153]      0.79      0.21      0.87      0.44      1.00     21.89      1.00
         det_prob[154]      0.79      0.21      0.87      0.43      1.00     21.74      1.00
         det_prob[155]      0.79      0.21      0.87      0.44      1.00     21.29      1.00
         det_prob[156]      0.79      0.21      0.87      0.44      1.00     21.39      1.00
         det_prob[157]      0.79      0.20      0.87      0.45      1.00     21.39      1.00
         det_prob[158]      0.80      0.20      0.87      0.46      1.00     20.94      1.00
         det_prob[159]      0.80      0.20      0.87      0.48      1.00     21.19      1.00
         det_prob[160]      0.80      0.20      0.88      0.48      1.00     20.93      1.00
         det_prob[161]      0.81      0.19      0.88      0.49      1.00     20.84      1.00
         det_prob[162]      0.81      0.19      0.88      0.50      1.00     20.98      1.00
         det_prob[163]      0.81      0.19      0.88      0.50      1.00     21.04      1.00
         det_prob[164]      0.81      0.19      0.88      0.48      1.00     20.98      1.00
         det_prob[165]      0.81      0.19      0.88      0.49      1.00     21.06      1.00
         det_prob[166]      0.81      0.19      0.88      0.50      1.00     21.36      1.00
         det_prob[167]      0.81      0.19      0.88      0.51      1.00     21.93      1.00
         det_prob[168]      0.82      0.19      0.88      0.51      1.00     21.69      1.00
         det_prob[169]      0.82      0.18      0.88      0.52      1.00     21.86      1.00
         det_prob[170]      0.82      0.19      0.88      0.53      1.00     21.86      1.00
         det_prob[171]      0.82      0.19      0.88      0.52      1.00     21.78      1.00
         det_prob[172]      0.82      0.19      0.89      0.52      1.00     22.41      1.00
         det_prob[173]      0.82      0.19      0.88      0.52      1.00     22.38      1.00
         det_prob[174]      0.82      0.19      0.88      0.52      1.00     22.22      1.00
         det_prob[175]      0.82      0.19      0.89      0.53      1.00     22.36      1.00
         det_prob[176]      0.82      0.19      0.89      0.52      1.00     22.61      1.00
         det_prob[177]      0.82      0.19      0.89      0.52      1.00     22.99      1.00
         det_prob[178]      0.82      0.19      0.89      0.52      1.00     23.83      1.00
         det_prob[179]      0.82      0.19      0.89      0.53      1.00     23.55      1.00
         det_prob[180]      0.82      0.19      0.89      0.52      1.00     23.62      1.00
         det_prob[181]      0.82      0.19      0.89      0.53      1.00     23.54      1.00
         det_prob[182]      0.82      0.19      0.89      0.52      1.00     24.03      1.00
