
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      2.39     18.11      0.67      0.00      3.45    445.27      1.00
                    E0      7.63      8.29      5.10      0.01     16.76     94.15      1.02
                    H0      1.17      1.17      0.84      0.00      2.53   1132.67      1.00
                    I0      4.42      6.18      2.33      0.00     11.03     76.87      1.02
                 beta0      1.15      0.69      1.10      0.23      1.92      9.33      1.08
  confirmed_dispersion      0.26      0.05      0.26      0.18      0.33    910.14      1.00
      death_dispersion      0.67      0.13      0.66      0.46      0.87   1108.80      1.00
            death_prob      0.01      0.00      0.01      0.00      0.01     18.70      1.00
            death_rate      0.03      0.01      0.03      0.01      0.04    207.08      1.01
           det_prob[0]      0.27      0.07      0.26      0.15      0.37    132.11      1.02
           det_prob[1]      0.26      0.08      0.25      0.13      0.38    118.03      1.02
           det_prob[2]      0.26      0.08      0.25      0.14      0.40     93.03      1.03
           det_prob[3]      0.26      0.09      0.25      0.12      0.38     87.65      1.03
           det_prob[4]      0.26      0.09      0.24      0.11      0.39     76.18      1.03
           det_prob[5]      0.25      0.10      0.24      0.12      0.41     48.27      1.04
           det_prob[6]      0.26      0.10      0.24      0.10      0.40     43.76      1.04
           det_prob[7]      0.26      0.10      0.24      0.09      0.40     35.08      1.05
           det_prob[8]      0.26      0.10      0.25      0.10      0.41     32.32      1.05
           det_prob[9]      0.27      0.11      0.25      0.11      0.42     26.91      1.05
          det_prob[10]      0.27      0.11      0.26      0.10      0.43     24.96      1.06
          det_prob[11]      0.28      0.11      0.27      0.11      0.45     23.40      1.06
          det_prob[12]      0.29      0.11      0.28      0.13      0.48     22.92      1.06
          det_prob[13]      0.30      0.12      0.28      0.12      0.47     21.28      1.07
          det_prob[14]      0.29      0.12      0.28      0.12      0.47     20.67      1.07
          det_prob[15]      0.29      0.12      0.28      0.12      0.49     20.02      1.08
          det_prob[16]      0.29      0.12      0.27      0.10      0.47     19.15      1.08
          det_prob[17]      0.29      0.12      0.27      0.11      0.49     19.05      1.09
          det_prob[18]      0.29      0.12      0.28      0.10      0.49     19.19      1.09
          det_prob[19]      0.30      0.12      0.29      0.11      0.50     19.57      1.08
          det_prob[20]      0.31      0.12      0.30      0.13      0.52     19.76      1.09
          det_prob[21]      0.32      0.13      0.30      0.09      0.51     18.93      1.10
          det_prob[22]      0.32      0.13      0.30      0.12      0.53     19.22      1.10
          det_prob[23]      0.32      0.13      0.30      0.11      0.51     18.03      1.10
          det_prob[24]      0.31      0.13      0.30      0.11      0.52     18.56      1.08
          det_prob[25]      0.31      0.13      0.29      0.10      0.51     19.94      1.08
          det_prob[26]      0.31      0.13      0.29      0.12      0.53     20.89      1.07
          det_prob[27]      0.31      0.13      0.29      0.12      0.52     20.17      1.07
          det_prob[28]      0.31      0.13      0.29      0.09      0.49     19.44      1.07
          det_prob[29]      0.30      0.13      0.28      0.10      0.50     19.48      1.06
          det_prob[30]      0.29      0.13      0.27      0.12      0.52     19.64      1.05
          det_prob[31]      0.28      0.13      0.26      0.10      0.49     18.94      1.06
          det_prob[32]      0.27      0.13      0.25      0.08      0.48     18.93      1.06
          det_prob[33]      0.26      0.13      0.24      0.08      0.46     19.10      1.04
          det_prob[34]      0.26      0.12      0.23      0.06      0.44     19.18      1.03
          det_prob[35]      0.26      0.13      0.22      0.08      0.46     19.70      1.03
          det_prob[36]      0.26      0.13      0.23      0.08      0.47     19.33      1.02
          det_prob[37]      0.26      0.13      0.23      0.08      0.46     19.22      1.02
          det_prob[38]      0.26      0.13      0.23      0.08      0.46     19.06      1.01
          det_prob[39]      0.26      0.13      0.23      0.08      0.47     19.28      1.00
          det_prob[40]      0.26      0.13      0.23      0.06      0.46     18.89      1.00
          det_prob[41]      0.26      0.14      0.23      0.07      0.49     18.14      1.00
          det_prob[42]      0.27      0.14      0.25      0.07      0.50     18.64      1.00
          det_prob[43]      0.29      0.14      0.26      0.07      0.51     18.75      1.00
          det_prob[44]      0.30      0.15      0.27      0.08      0.53     18.97      1.00
          det_prob[45]      0.32      0.15      0.29      0.09      0.54     19.25      1.00
          det_prob[46]      0.34      0.15      0.32      0.13      0.58     19.62      1.00
          det_prob[47]      0.38      0.15      0.36      0.16      0.62     19.83      1.00
          det_prob[48]      0.37      0.15      0.34      0.13      0.61     19.18      1.00
          det_prob[49]      0.36      0.16      0.33      0.13      0.62     18.57      1.00
          det_prob[50]      0.37      0.16      0.34      0.14      0.64     18.67      1.00
          det_prob[51]      0.37      0.16      0.33      0.13      0.63     18.91      1.00
          det_prob[52]      0.37      0.16      0.33      0.10      0.60     19.30      1.01
          det_prob[53]      0.37      0.16      0.34      0.12      0.64     19.09      1.01
          det_prob[54]      0.37      0.16      0.33      0.13      0.65     18.62      1.01
          det_prob[55]      0.37      0.16      0.33      0.11      0.63     18.72      1.01
          det_prob[56]      0.37      0.16      0.34      0.13      0.66     18.33      1.01
          det_prob[57]      0.37      0.16      0.34      0.12      0.66     18.06      1.01
          det_prob[58]      0.37      0.16      0.33      0.12      0.65     17.83      1.02
          det_prob[59]      0.37      0.16      0.34      0.10      0.65     17.50      1.02
          det_prob[60]      0.38      0.16      0.35      0.12      0.66     18.05      1.02
          det_prob[61]      0.39      0.16      0.37      0.16      0.71     18.01      1.02
          det_prob[62]      0.40      0.17      0.38      0.17      0.72     18.62      1.02
          det_prob[63]      0.40      0.17      0.37      0.16      0.71     18.73      1.02
          det_prob[64]      0.40      0.17      0.38      0.14      0.69     19.85      1.02
          det_prob[65]      0.41      0.17      0.39      0.14      0.69     20.37      1.02
          det_prob[66]      0.42      0.17      0.40      0.15      0.70     20.81      1.02
          det_prob[67]      0.43      0.17      0.41      0.16      0.70     20.59      1.02
          det_prob[68]      0.44      0.17      0.42      0.18      0.74     21.48      1.02
          det_prob[69]      0.45      0.17      0.44      0.18      0.73     21.62      1.02
          det_prob[70]      0.47      0.17      0.45      0.20      0.75     23.13      1.01
          det_prob[71]      0.49      0.17      0.48      0.23      0.78     24.08      1.01
          det_prob[72]      0.50      0.17      0.48      0.21      0.76     24.87      1.01
          det_prob[73]      0.51      0.17      0.49      0.24      0.79     25.08      1.01
          det_prob[74]      0.51      0.17      0.49      0.22      0.78     27.14      1.01
          det_prob[75]      0.52      0.17      0.50      0.23      0.79     27.72      1.01
          det_prob[76]      0.52      0.17      0.51      0.28      0.85     27.38      1.01
          det_prob[77]      0.53      0.17      0.52      0.27      0.84     30.41      1.00
          det_prob[78]      0.54      0.18      0.53      0.24      0.83     31.23      1.00
          det_prob[79]      0.55      0.17      0.54      0.27      0.85     30.85      1.00
          det_prob[80]      0.56      0.17      0.56      0.31      0.88     32.76      1.00
          det_prob[81]      0.57      0.18      0.57      0.30      0.88     33.78      1.00
          det_prob[82]      0.57      0.18      0.57      0.31      0.89     34.06      1.00
          det_prob[83]      0.58      0.18      0.58      0.32      0.91     35.47      1.00
          det_prob[84]      0.59      0.18      0.58      0.31      0.90     35.75      1.00
          det_prob[85]      0.59      0.18      0.58      0.31      0.90     34.49      1.00
          det_prob[86]      0.59      0.19      0.58      0.32      0.92     35.83      1.00
          det_prob[87]      0.59      0.19      0.59      0.33      0.93     35.36      1.00
          det_prob[88]      0.60      0.19      0.60      0.35      0.96     35.91      1.00
          det_prob[89]      0.60      0.19      0.60      0.34      0.95     35.66      1.00
          det_prob[90]      0.61      0.19      0.61      0.35      0.96     35.33      1.00
          det_prob[91]      0.62      0.19      0.62      0.36      0.95     36.05      1.00
          det_prob[92]      0.63      0.19      0.64      0.36      0.94     35.69      1.00
          det_prob[93]      0.64      0.19      0.65      0.39      0.96     34.74      1.01
          det_prob[94]      0.65      0.18      0.66      0.39      0.96     34.93      1.01
          det_prob[95]      0.67      0.18      0.67      0.41      0.96     34.50      1.01
          det_prob[96]      0.68      0.18      0.68      0.43      0.97     32.82      1.01
          det_prob[97]      0.69      0.17      0.70      0.44      0.97     31.82      1.01
          det_prob[98]      0.70      0.17      0.72      0.45      0.97     31.59      1.01
