model,LS,MAE,date,horizon,place,forecast_date
resample_80_last_10,-0.0384,20.0000,2020-06-01,1.0000,FL,2020-05-31
resample_80_last_10,-0.0384,16.0000,2020-06-01,1.0000,TX,2020-05-31
resample_80_last_10,-0.0384,13.0000,2020-06-01,1.0000,MN,2020-05-31
resample_80_last_10,-0.0384,46.0000,2020-06-01,1.0000,NJ,2020-05-31
resample_80_last_10,-0.0384,12.0000,2020-06-01,1.0000,RI,2020-05-31
resample_80_last_10,-0.0384,0.0000,2020-06-01,1.0000,MT,2020-05-31
resample_80_last_10,-0.0384,1.0000,2020-06-01,1.0000,WV,2020-05-31
resample_80_last_10,-0.0384,2.5000,2020-06-01,1.0000,DE,2020-05-31
resample_80_last_10,-0.0384,2.5000,2020-06-01,1.0000,NE,2020-05-31
resample_80_last_10,-0.0384,15.0000,2020-06-01,1.0000,GA,2020-05-31
resample_80_last_10,-0.0384,1.0000,2020-06-01,1.0000,SD,2020-05-31
resample_80_last_10,-0.0384,40.0000,2020-06-01,1.0000,PA,2020-05-31
resample_80_last_10,-0.0384,8.0000,2020-06-01,1.0000,WI,2020-05-31
resample_80_last_10,-0.0384,10.0000,2020-06-01,1.0000,MS,2020-05-31
resample_80_last_10,-0.0384,2.0000,2020-06-01,1.0000,CT,2020-05-31
resample_80_last_10,-0.0384,1.0000,2020-06-01,1.0000,WY,2020-05-31
resample_80_last_10,-0.0384,2.0000,2020-06-01,1.0000,UT,2020-05-31
resample_80_last_10,-0.0384,18.0000,2020-06-01,1.0000,CA,2020-05-31
resample_80_last_10,-0.0384,135.0000,2020-06-01,1.0000,MA,2020-05-31
resample_80_last_10,-0.0384,4.0000,2020-06-01,1.0000,NH,2020-05-31
resample_80_last_10,-0.0384,0.0000,2020-06-01,1.0000,OR,2020-05-31
resample_80_last_10,-0.0384,2.0000,2020-06-01,1.0000,SC,2020-05-31
resample_80_last_10,-0.0384,1.0000,2020-06-01,1.0000,KS,2020-05-31
resample_80_last_10,-0.0384,25.0000,2020-06-01,1.0000,OH,2020-05-31
resample_80_last_10,-0.0384,8.0000,2020-06-01,1.0000,VA,2020-05-31
resample_80_last_10,-0.0384,2.0000,2020-06-01,1.0000,AR,2020-05-31
resample_80_last_10,-0.0384,3.0000,2020-06-01,1.0000,KY,2020-05-31
resample_80_last_10,-0.0384,1.0000,2020-06-01,1.0000,ME,2020-05-31
resample_80_last_10,-0.0384,6.0000,2020-06-01,1.0000,MI,2020-05-31
resample_80_last_10,-0.0384,0.0000,2020-06-01,1.0000,AK,2020-05-31
resample_80_last_10,-0.0384,46.5000,2020-06-01,1.0000,IL,2020-05-31
resample_80_last_10,-0.0384,12.0000,2020-06-01,1.0000,IN,2020-05-31
resample_80_last_10,-0.0384,5.0000,2020-06-01,1.0000,MO,2020-05-31
resample_80_last_10,-0.0384,9.0000,2020-06-01,1.0000,NC,2020-05-31
resample_80_last_10,-0.0384,2.0000,2020-06-01,1.0000,DC,2020-05-31
resample_80_last_10,-0.0384,1.0000,2020-06-01,1.0000,ND,2020-05-31
resample_80_last_10,-0.0384,0.0000,2020-06-01,1.0000,VT,2020-05-31
resample_80_last_10,-0.0384,0.0000,2020-06-01,1.0000,ID,2020-05-31
resample_80_last_10,-0.0384,2.0000,2020-06-01,1.0000,OK,2020-05-31
resample_80_last_10,-0.0384,4.0000,2020-06-01,1.0000,AZ,2020-05-31
resample_80_last_10,-0.0384,10.0000,2020-06-01,1.0000,IA,2020-05-31
resample_80_last_10,-0.0384,3.0000,2020-06-01,1.0000,NV,2020-05-31
resample_80_last_10,-0.0384,0.0000,2020-06-01,1.0000,HI,2020-05-31
resample_80_last_10,-0.0384,13.0000,2020-06-01,1.0000,MD,2020-05-31
resample_80_last_10,-0.0384,62.0000,2020-06-01,1.0000,NY,2020-05-31
resample_80_last_10,-0.0384,4.0000,2020-06-01,1.0000,TN,2020-05-31
resample_80_last_10,-0.0384,5.0000,2020-06-01,1.0000,LA,2020-05-31
resample_80_last_10,-0.0384,2.0000,2020-06-01,1.0000,WA,2020-05-31
resample_80_last_10,-0.0384,1.0000,2020-06-01,1.0000,NM,2020-05-31
resample_80_last_10,-0.0384,1.0000,2020-06-01,1.0000,CO,2020-05-31
resample_80_last_10,-0.0384,6.0000,2020-06-01,1.0000,AL,2020-05-31
resample_80_last_10,-0.0347,18.0000,2020-06-02,2.0000,FL,2020-05-31
resample_80_last_10,-0.0347,9.0000,2020-06-02,2.0000,TX,2020-05-31
resample_80_last_10,-0.0347,15.0000,2020-06-02,2.0000,MN,2020-05-31
resample_80_last_10,-0.0347,69.5000,2020-06-02,2.0000,NJ,2020-05-31
resample_80_last_10,-0.0347,13.0000,2020-06-02,2.0000,RI,2020-05-31
resample_80_last_10,-0.0347,0.0000,2020-06-02,2.0000,MT,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,WV,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,DE,2020-05-31
resample_80_last_10,-0.0347,6.0000,2020-06-02,2.0000,NE,2020-05-31
resample_80_last_10,-0.0347,4.0000,2020-06-02,2.0000,GA,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,SD,2020-05-31
resample_80_last_10,-0.0347,3.0000,2020-06-02,2.0000,PA,2020-05-31
resample_80_last_10,-0.0347,9.0000,2020-06-02,2.0000,WI,2020-05-31
resample_80_last_10,-0.0347,3.0000,2020-06-02,2.0000,MS,2020-05-31
resample_80_last_10,-0.0347,29.0000,2020-06-02,2.0000,CT,2020-05-31
resample_80_last_10,-0.0347,0.0000,2020-06-02,2.0000,WY,2020-05-31
resample_80_last_10,-0.0347,4.0000,2020-06-02,2.0000,UT,2020-05-31
resample_80_last_10,-0.0347,3.0000,2020-06-02,2.0000,CA,2020-05-31
resample_80_last_10,-0.0347,128.0000,2020-06-02,2.0000,MA,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,NH,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,OR,2020-05-31
resample_80_last_10,-0.0347,10.0000,2020-06-02,2.0000,SC,2020-05-31
resample_80_last_10,-0.0347,5.0000,2020-06-02,2.0000,KS,2020-05-31
resample_80_last_10,-0.0347,48.0000,2020-06-02,2.0000,OH,2020-05-31
resample_80_last_10,-0.0347,21.0000,2020-06-02,2.0000,VA,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,AR,2020-05-31
resample_80_last_10,-0.0347,1.0000,2020-06-02,2.0000,KY,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,ME,2020-05-31
resample_80_last_10,-0.0347,1.0000,2020-06-02,2.0000,MI,2020-05-31
resample_80_last_10,-0.0347,0.0000,2020-06-02,2.0000,AK,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,IL,2020-05-31
resample_80_last_10,-0.0347,20.0000,2020-06-02,2.0000,IN,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,MO,2020-05-31
resample_80_last_10,-0.0347,16.0000,2020-06-02,2.0000,NC,2020-05-31
resample_80_last_10,-0.0347,4.5000,2020-06-02,2.0000,DC,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,ND,2020-05-31
resample_80_last_10,-0.0347,0.0000,2020-06-02,2.0000,VT,2020-05-31
resample_80_last_10,-0.0347,0.0000,2020-06-02,2.0000,ID,2020-05-31
resample_80_last_10,-0.0347,0.0000,2020-06-02,2.0000,OK,2020-05-31
resample_80_last_10,-0.0347,2.0000,2020-06-02,2.0000,AZ,2020-05-31
resample_80_last_10,-0.0347,5.0000,2020-06-02,2.0000,IA,2020-05-31
resample_80_last_10,-0.0347,8.0000,2020-06-02,2.0000,NV,2020-05-31
resample_80_last_10,-0.0347,0.0000,2020-06-02,2.0000,HI,2020-05-31
resample_80_last_10,-0.0347,1.0000,2020-06-02,2.0000,MD,2020-05-31
resample_80_last_10,-0.0347,45.0000,2020-06-02,2.0000,NY,2020-05-31
resample_80_last_10,-0.0347,10.0000,2020-06-02,2.0000,TN,2020-05-31
resample_80_last_10,-0.0347,14.0000,2020-06-02,2.0000,LA,2020-05-31
resample_80_last_10,-0.0347,4.0000,2020-06-02,2.0000,WA,2020-05-31
resample_80_last_10,-0.0347,0.0000,2020-06-02,2.0000,NM,2020-05-31
resample_80_last_10,-0.0347,1.0000,2020-06-02,2.0000,CO,2020-05-31
resample_80_last_10,-0.0347,1.0000,2020-06-02,2.0000,AL,2020-05-31
resample_80_last_10,-0.0437,23.0000,2020-06-03,3.0000,FL,2020-05-31
resample_80_last_10,-0.0437,5.0000,2020-06-03,3.0000,TX,2020-05-31
resample_80_last_10,-0.0437,22.0000,2020-06-03,3.0000,MN,2020-05-31
resample_80_last_10,-0.0437,27.0000,2020-06-03,3.0000,NJ,2020-05-31
resample_80_last_10,-0.0437,18.0000,2020-06-03,3.0000,RI,2020-05-31
resample_80_last_10,-0.0437,0.0000,2020-06-03,3.0000,MT,2020-05-31
resample_80_last_10,-0.0437,1.0000,2020-06-03,3.0000,WV,2020-05-31
resample_80_last_10,-0.0437,5.0000,2020-06-03,3.0000,DE,2020-05-31
resample_80_last_10,-0.0437,9.0000,2020-06-03,3.0000,NE,2020-05-31
resample_80_last_10,-0.0437,10.0000,2020-06-03,3.0000,GA,2020-05-31
resample_80_last_10,-0.0437,3.0000,2020-06-03,3.0000,SD,2020-05-31
resample_80_last_10,-0.0437,25.5000,2020-06-03,3.0000,PA,2020-05-31
resample_80_last_10,-0.0437,11.0000,2020-06-03,3.0000,WI,2020-05-31
resample_80_last_10,-0.0437,3.0000,2020-06-03,3.0000,MS,2020-05-31
resample_80_last_10,-0.0437,39.0000,2020-06-03,3.0000,CT,2020-05-31
resample_80_last_10,-0.0437,0.0000,2020-06-03,3.0000,WY,2020-05-31
resample_80_last_10,-0.0437,3.0000,2020-06-03,3.0000,UT,2020-05-31
resample_80_last_10,-0.0437,8.0000,2020-06-03,3.0000,CA,2020-05-31
