quantile,value,type,location,target,forecast_date,target_end_date
0.010,4409,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.025,4626,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.050,4877,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.100,5163,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.150,5371,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.200,5502,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.250,5681,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.300,5807,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.350,5951,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.400,6073,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.450,6203,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.500,6330,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
,6330,point,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.550,6455,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.600,6578,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.650,6720,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.700,6917,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.750,7115,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.800,7366,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.850,7586,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.900,7862,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.950,8399,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.975,9128,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.990,9911,quantile,US,1 wk ahead inc death,2020-08-09,2020-08-15
0.010,3579,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.025,3890,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.050,4079,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.100,4367,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.150,4594,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.200,4728,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.250,4858,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.300,5019,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.350,5135,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.400,5292,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.450,5436,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.500,5558,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
,5558,point,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.550,5698,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.600,5876,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.650,6006,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.700,6195,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.750,6396,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.800,6629,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.850,6937,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.900,7332,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.950,7919,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.975,8451,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.990,9774,quantile,US,2 wk ahead inc death,2020-08-09,2020-08-22
0.010,2962,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.025,3262,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.050,3424,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.100,3694,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.150,3870,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.200,4016,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.250,4124,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.300,4247,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.350,4380,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.400,4515,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.450,4635,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.500,4756,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
,4756,point,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.550,4883,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.600,4998,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.650,5122,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.700,5302,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.750,5485,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.800,5747,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.850,5979,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.900,6558,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.950,7401,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.975,8272,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.990,9295,quantile,US,3 wk ahead inc death,2020-08-09,2020-08-29
0.010,2532,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
0.025,2678,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
0.050,2866,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
0.100,3060,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
0.150,3240,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
0.200,3366,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
0.250,3516,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
0.300,3642,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
0.350,3726,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
0.400,3818,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
0.450,3920,quantile,US,4 wk ahead inc death,2020-08-09,2020-09-05
