quantile,value,type,location,target,forecast_date,target_end_date
0.010,2993,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.025,3146,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.050,3278,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.100,3473,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.150,3614,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.200,3743,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.250,3855,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.300,3965,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.350,4038,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.400,4133,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.450,4234,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.500,4313,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
,4313,point,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.550,4392,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.600,4484,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.650,4566,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.700,4674,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.750,4777,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.800,4925,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.850,5098,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.900,5305,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.950,5659,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.975,5991,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.990,6260,quantile,US,1 wk ahead inc death,2020-06-28,2020-07-04
0.010,2886,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.025,3119,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.050,3298,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.100,3609,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.150,3782,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.200,3939,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.250,4102,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.300,4288,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.350,4447,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.400,4559,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.450,4711,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.500,4874,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
,4874,point,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.550,5030,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.600,5200,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
0.650,5404,quantile,US,2 wk ahead inc death,2020-06-28,2020-07-11
