quantile,value,type,location,target,forecast_date,target_end_date
0.010,12362,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.025,13157,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.050,14061,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.100,15204,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.150,16077,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.200,16834,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.250,17550,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.300,18183,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.350,18667,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.400,19169,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.450,19625,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.500,20269,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
,20269,point,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.550,20788,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.600,21417,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.650,22022,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.700,22726,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.750,23460,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.800,24218,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.850,25312,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.900,27093,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.950,29304,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.975,31219,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.990,34279,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.010,10832,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.025,11667,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.050,12485,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.100,13810,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.150,14525,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.200,15216,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.250,15950,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.300,16459,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.350,17178,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.400,17710,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.450,18116,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.500,18736,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
,18736,point,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.550,19305,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.600,20005,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.650,20521,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.700,21097,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.750,21800,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.800,22740,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.850,23846,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.900,25344,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.950,27587,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.975,29051,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.990,32689,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.010,9199,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.025,10182,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
