quantile,value,type,location,target,forecast_date,target_end_date
0.010,2903,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.025,3069,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.050,3310,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.100,3520,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.150,3684,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.200,3819,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.250,3924,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.300,4007,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.350,4110,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.400,4187,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.450,4275,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.500,4414,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
,4414,point,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.550,4534,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.600,4651,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.650,4770,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.700,4913,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.750,5076,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.800,5252,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.850,5456,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.900,5768,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.950,6151,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.975,6520,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.990,7515,quantile,US,1 wk ahead inc death,2020-10-18,2020-10-24
0.010,2368,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.025,2598,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.050,2749,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.100,2982,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.150,3177,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.200,3296,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.250,3430,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.300,3548,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.350,3651,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.400,3737,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.450,3850,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.500,3962,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
,3962,point,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.550,4076,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.600,4224,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.650,4370,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.700,4538,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.750,4724,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.800,4971,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.850,5327,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.900,5879,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
0.950,7152,quantile,US,2 wk ahead inc death,2020-10-18,2020-10-31
